xxx_303806307	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	那之后，就是我们在耶洛沙的故事了。	那之後，就是我們在耶洛沙的故事了。	――そして、そのあとに続いたのが、\nあのイェロシャでの出来事だ。	그 후, 우리가 옐로샤에서 겪은 이야기가 이어졌다.	After that was our operation in Yehrus.						0
2	米德加尔特，初冬。	米德加爾特，初冬。	ミッドガルド、初冬。	미드가르드, 초겨울.	Midgard, early winter.						0
3	我记得抵达耶洛沙没多久，好像是谁坐在车上大喊着什么“我好紧张啊”之类的？	我記得抵達耶洛沙沒多久，好像是誰坐在車上大喊著什麼「我好緊張啊」之類的？	そういえば、イェロシャに着いて間もない頃だったな。輸送車の中で、「ああもう、緊張で死にそうなんだけどー！」って叫んでいた人がいたっけ。	옐로샤에 도착하고 얼마 안 돼서, 누가 차 안에서 '너무 긴장돼!'라고 외쳤던 것 같은데?	I seem to remember not long after we arrived in Yehrus, someone was sitting in the car yelling something about being nervous?						0
4	哇——那种有损本天师勇敢稳重机敏聪慧形象的事情就不要再提了吧！	哇——那種有損本天師勇敢穩重機敏聰慧形象的事情就不要再提了吧！	わーーーっ！その、この天師の勇敢で落ち着いてて機転も利いて超かしこいイメージを崩すようなエピソードは、ここで封印しませんか！？	와! 점술사님의 용감하고 침착하고 민첩하고 총명한 이미지에 손상을 주는 그런 이야기는 이제 그만!	Woah!!! Let's not bring up stuff that ruins my image of being brave, steady, quick-witted, and clever!						0
5	求求分析员了哇！让卜卜干什么都可以的——	求求分析員了啊！讓卜卜做什麼都可以的——	お願い、分析員～！ブブにできることなら何でもするから～！	분석가 제발! 보보가 뭐든지 할 테니까!	Please, please, Adjutant! I'll do anything—						0
6	嘴上说着让我不要再提，卜卜自己倒是将脸埋进我怀里，作闭目塞听状。	嘴上說著叫我不要再提，卜卜自己倒是將臉埋進我懷裡，作閉目塞聽的樣子。	そんなことを言いながら、ブブは自分から私の胸元に顔を押しつけてきて、「何も聞こえません」と言わんばかりに耳を塞いでしまう。	보보는 입으로는 이제 그만하라고 하면서 내 품에 얼굴을 파묻고 눈을 감고 귀를 막는 시늉을 했다.	Even as she begged, Bubu buried her face in my chest, pretending she could block it all out like that.						0
7	耶洛沙的经历在脑海中快速掠过，种种千钧一发的瞬间，还有在我背后那些可靠的坚守。	耶洛沙的經歷在腦海中快速掠過，種種千鈞一髮的瞬間，還有在我背後那些可靠的堅守。	脳裏には、イェロシャでのあれこれが駆け足でよみがえる。幾度となく訪れた綱渡りの瞬間。そのたびに、背中を預け合った確かな気配。	옐로샤에서 겪은 일들이 머릿속을 빠르게 스쳐 지나갔다. 위기의 순간들과, 믿음직하게 내 뒤를 수비해 주던 것들.	Memories of Yehrus sped through my mind — all the close calls, and all the steadfast support behind me.						0
8	回忆中的北国寒风已不再刺骨。	回憶中的北國寒風已不再刺骨。	北国の鋭い寒風は、記憶の中ではもう痛くない。	기억 속 북쪽의 찬바람은 이제 더 이상 살을 에는 것처럼 차갑지 않았다.	But I no longer felt my bones chilled by the icy northern wind in those memories.						0
9	现在吹到脸上的，只有混合着温暖的轻柔凉意。	現在吹到臉上的，只有混合著溫暖的輕柔涼意。	今、頬を撫でていくのは、ぬくもりにほどよい冷たさが混ざった、柔らかな風だけだ。	지금 얼굴에 닿는 것은 따뜻함이 섞인 부드러운 서늘함뿐이었다.	What brushed against my face now was only a gentle coolness laced with warmth.						0
10	“啪！”地一声，一簇活泼的火苗跃起，山洞里最后一丝寒冷也随即消融。	「啪！」地一聲，一簇活潑的火苗躍起，山洞裡最後一絲寒冷也隨即消融。	ぱちり、と乾いた音を立ていて、焚き火の炎がひときわ高く跳ね上がる。山洞の中に残っていた冷気は、その一瞬でほとんど溶けて消えた。	 '탁!' 하는 소리와 함께 생기 넘치는 불꽃이 튀어 올랐고, 동굴 안에 남아있던 추위도 이내 녹아내렸다.	With the "pop" of some sparks, a lively flame leapt up, and the last trace of cold in the cave quickly melted away.						0
11	是卜卜刚才支起的火堆。	是卜卜剛才支起的火堆。	ついさきほど、ブブが山の中で手際よく組み上げた焚き火だった。	보보가 방금 피운 모닥불이었다.	Bubu had just built a campfire.						0
12	先前和卜卜在山林里正走着，不知何时天空竟飘起了小雪。	先前和卜卜在山林裡正走著，不知何時天空竟飄起了小雪。	さっきまで森の中を歩いていたときは、いつのまにか空から細かな雪が舞い始めていた。	보보랑 숲속을 걷고 있을 때, 어느새 하늘에서 가랑눈이 내리기 시작했다.	Earlier, Bubu and I were walking in the forest when snowflakes began drifting down from the sky.						0
13	雪花只有米粒般大小，还没等落到地上就已融化。	雪花只有米粒般大小，還沒等落到地上就已融化。	米粒ほどの小さな雪片は、地面に届く前にすぐ溶けてしまう。	쌀알만 한 크기의 눈송이는 땅에 닿기도 전에 녹아버렸다.	Each flake was only grain-sized, melting before it even reached the ground.						0
14	反正不急着返程，我和卜卜便找了这一处山洞，稍事休息。	反正不急著返程，我和卜卜便找了這一處山洞，稍作休息。	急いで戻る理由もない。私とブブは山の斜面に開いた洞を見つけ、そこでひと息入れることにしたのだった。	서둘러 돌아갈 필요는 없었기에 나와 보보는 동굴을 찾아서 잠깐 쉬기로 했다.	Since we weren't in any rush to get back, Bubu and I found a cave and decided to rest for a bit.						0
