xxx_4196567374	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	如果一开始，就坚信自己能赢。	如果一開始，就堅信自己能贏。	――最初から、自分が勝つと信じている者は…	처음부터 자신의 승리를 굳게 믿는 사람.	If from the very beginning, one firmly believes they can win—						0
2	这样的人还算赌徒吗？	這樣的人還算賭徒嗎？	果たしてそれを「ギャンブラー」と呼ぶんだろうか？	그런 사람도 도박꾼이라고 할 수 있을까?	Can such a person truly be called a gambler?						0
3	在妮塔吐露所有后，我没有急着回应，只是递过一杯热水。	在妮塔吐露所有後，我沒有急著回應，只是遞過一杯熱水。	何も言わず、彼女に温かい飲み物を手渡す。	니타가 모든 것을 토로한 뒤, 나는 곧바로 대답하지 않고 따뜻한 물 한 잔을 건넸다.	After Nita revealed everything, I didn't rush to respond, simply handing her a cup of warm water.						0
4	她咕咚咕咚灌下去三分之二，热水的温暖让她的脸上总算有了些血色。	她咕嚕咕嚕灌下去三分之二，熱水的溫暖讓她的臉上總算有了點血色。	ニタはごくごく半分以上飲んだところで、やっと血色が戻った気がする。	그녀는 3분의 2 정도를 벌컥벌컥 마셨고, 따뜻한 물의 온기 덕분에 그녀의 얼굴에 혈색이 돌았다.	She gulped down two-thirds of it, the warmth finally bringing some color back to her pale face.						0
5	做完这些，我看向她，缓缓吐出话语。	做完這些，我看向她，緩緩吐出話語。	それから、意を決して口を開く。	그제야 나는 그녀를 바라보며 천천히 입을 열었다.	Afterward, I looked at her and slowly began to speak.						0
6	我见过很多赌徒，牌桌前、战场上。但不管在哪里，她们都有些共同的特点。	我看過很多賭徒，牌桌前、戰場上。但不管在哪裡，她們都有些共同的特點。	今までいろんな賭け事をする人を見てきた。カジノでも戦場でも、場所は違えど同じだ。	난 도박꾼을 많이 봤어. 도박판에서도, 전장에서도. 하지만 어디에서든, 그녀들은 같은 특징을 갖고 있었어.	I've seen many gamblers — at card tables, on battlefields. No matter where they are, they all share certain traits.						0
7	比如，即使她们已经掌握许多筹码，但在骰点揭晓前，她们的手在桌前永远颤抖不已。	比如，即使她們已經掌握許多籌碼，但在骰子點數揭曉前，她們的手在桌前永遠顫抖不已。	共通しているのは、勝ち確の手札を掴んでいても、サイコロが止まるまで手が震えてることだ。	이를테면 이미 많은 패를 쥐고 있는데도, 주사위 숫자가 공개되기 전까지 그들은 테이블 앞에서 계속 손을 떨었어.	For instance, however many chips they hold, their hands always tremble before the dice reveal their fate.						0
8	又比如，她们信仰运气。	又比如，她們信仰運氣。	それに運命を崇拝してる――	또 어떤 이들은 운을 신봉했어.	Also, luck is their faith.						0
9	我用了“信仰”这个词，因为幸运已经成了她们的神。信徒就该匍匐跪地，虔诚地祈求眷顾与赐福。	我用了「信仰」這個詞，因為幸運已經成了她們的神。信徒就該匍匐跪地，虔誠地祈求眷顧與賜福。	「信仰」って言ってもいい。幸運を神と仰ぎ、ひれ伏して祈りを捧げるんだ。	내가 '신봉'이라는 단어를 쓴 이유는, 행운이 이미 그들의 신이 됐기 때문이야. 신자들은 바닥에 엎드려 경건한 자세로 보살핌과 은총을 간구하지.	I use the word "faith" because luck becomes a god for them. True believers prostrate themselves, devoutly praying for favors.						0
10	但就在刚才……	但就在剛才……	でもさ…	하지만 방금…	But just now...						0
11	她们膜拜的神，在你心里还比不上一些拾荒技巧。	她們膜拜的神，在你心裡還比不上一些拾荒技巧。	さっきのニタは、神様より拾いのコツを選んだろ。	그들이 엎드려 절하는 그 신이 네 마음속에서는 폐품 줍기보다도 못했어.	That belief meant less to you than scavenging techniques.						0
12	还以为你会把好运水晶给她，是舍不得吗？	還以為你會把好運水晶給她，是捨不得嗎？	てっきりクリスタルを渡すかと思ったけど…惜しかったか？	네가 행운 수정을 주려는 줄 알았는데, 그러기엔 아까웠어?	I thought you'd give her the lucky crystal. Didn't want to part with it?						0
13	没有，没有舍不得。	沒有，沒有捨不得。	…ううん、惜しくはないよ。	아니, 아깝지는 않았어.	Nah, I wasn't being stingy.						0
