xxx_1049439587	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	现在是中午十二点十分，我早早等候在了约好的地点。	現在是中午十二點十分，我早早等候在了約好的地點。	昼の十二時十分、私は約束の場所に早く着いた。	지금 시각은 오후 12시 10분, 나는 약속 장소에 일찍 도착해 기다리고 있었다.	It was 12:10 PM, and I arrived early at the place we'd agreed on.						0
2	约定的时间是十二点半，午后阳光正好，我正在路边张望着，恰巧见到晴迈着匆匆忙的步子小跑过来。	約定的時間是十二點半，午後陽光正好，我正在路邊張望著，恰巧見到晴邁著匆匆忙的步子小跑過來。	約束の時間は十二時半。午後の陽射しが心地よく、道端で待っていると、晴が慌てて小走りでやってきた。	약속 시간은 12시 30분, 한낮의 햇살은 따사로웠고 나는 길가에서 두리번거리고 있었다. 그때 마침 하루가 서둘러 뛰어오는 모습이 보였다.	We were set to meet at 12:30 PM. The afternoon sun was just right. I was glancing around by the roadside when Haru hurried over at a quick trot.						0
3	分析员，我在这里！	分析員，我在這裡！	分析員、ここだ！	분석가, 여기야!	Adjutant, I'm here!						0
4	你来得好早啊，我原本以为我会先到的……	你來得好早啊，我原本以為我會先到的……	早いな、自分のほうが先に着くと思ってたのに……	엄청 일찍 왔네? 내가 먼저 올 줄 알았는데…	You're so early. I thought I'd be here first...						0
5	我应该再早一点来才好的……	我應該再早一點來才好的……	もっと早く来るべきだった……	좀 더 일찍 올 걸 그랬나…	I should have come earlier...						0
6	晴有一句没一句地和我搭上了话。	晴有一句沒一句地和我搭上了話。	晴は、ぼそぼそと私に話しかけてきた。	하루는 띄엄띄엄 말했다.	Haru started making small talk with me.						0
7	——我当然知道晴有早到的习惯，特意提早了半个小时等她。	——我當然知道晴有早到的習慣，特意提早了半個小時等她。	——晴はきっと早く来ると思っていたから、三十分前には来ていたんだ。	…하루가 일찍 오는 습관이 있다는 걸 당연히 알고 있었기에 일부러 30분 일찍 와서 기다렸다.	—Of course I knew she had a habit of arriving early and came half an hour ahead to wait for her.						0
8	于是我目送着少女向我跑来，她的眼中闪烁着雀跃的光。	於是我目送著少女向我跑來，她的眼中閃爍著雀躍的光。	私に向かって駆けてきた彼女の瞳には、光が輝いていた。	그래서 나는 소녀가 내게 달려오는 모습을 바라보았고, 그녀의 눈이 반짝반짝 빛나고 있었다.	So I had the pleasure of watching her run toward me, her eyes sparkling with excitement.						0
9	我注意到她的脸蛋上多了不少虽说粗糙但很用心的妆容，似乎出发前早有准备。	我注意到她的臉蛋上多了不少雖說粗糙但很用心的妝容，似乎出發前早有準備。	彼女の顔には、少し不器用だが心を込めたメイクが施されていて、しっかり準備してきたことがわかる。	그녀의 얼굴에 서툴지만 정성 들인 화장이 더해져 있었다. 출발하기 전부터 일찍이 준비한 듯했다.	Her makeup was a little rough, but clearly applied with care, showing she had prepared for today.						0
10	是晴的风格没错了。	是晴的風格沒錯了。	まさに晴らしい感じだ。	하루다운 스타일이었다.	It was definitely Haru's style.						0
11	今天的打扮很不错。	今天的打扮很不錯。	今日の格好、すごく似合ってる。	오늘 예쁘게 꾸몄네요.	I like what you've done with yourself.						0
12	啊……哪，哪有打扮？我不过是随意收拾了一下……	啊……哪，哪有打扮？我不過是隨意收拾了一下……	あ……そ、そうだろうか。ちょっと整えただけで……	아… 꾸, 꾸몄다니? 그냥 대충 나왔는데…	Ah... I—I haven't done anything really... Just tidied up a bit...						0
13	她似是有些心虚，连忙换了个话题。	她似乎是有些心虛，連忙換了個話題。	どこか気まずそうに、彼女は慌てて話題を変えた。	그녀는 찔린 듯 서둘러 화제를 바꾸었다.	She seemed a little awkward and quickly changed the subject.						0
14	啊对了，我们今天是准备去哪里……我是说，约会？	啊對了，我們今天是準備去哪裡……我是說，約會？	あ、そうだ、今日はどこに……じゃなくて、今日のデートはどこに行くんだ？	아 참, 오늘은 어디로 갈까… 내 말은, 데이트 말이야.	Right, so, where are we going today... I mean, for our date?						0
15	我已经准备好了。	我已經準備好了。	準備はできてる。	난 준비됐어.	I'm ready.						0
16	她的神色自然跃跃欲试，而我的回答则简单明了。	她的神色自然躍躍欲試，而我的回答則簡單明瞭。	彼女の顔には自然と期待が浮かぶ。私の答えは簡単だった。	의욕이 넘치는 그녀의 표정과 달리 내 대답은 심플했다.	Her eyes gleamed with anticipation, and my answer was simple.						0
17	去你想的任何地方。	去你想的任何地方。	晴が行きたいところなら、どこでもいいよ。	하루가 원하는 곳이라면, 어디든지요.	Anywhere you want to go.						0
18	事实上，晴脑补的约会十分单纯且朴素。	事實上，晴腦補的約會十分單純且樸素。	晴が思い描くデートは、とても素朴で純粋だった。	사실, 하루가 상상하는 데이트는 매우 단순하고 소박했다.	As it turned out, Haru's idea of a date was sweet and simple.						0
19	她能想到的约会画面大多都是些诸如“手牵手一起逛街”或者“二人互相买礼物”之类的常规场景，若非得说更进一步的话……互相进行食物投喂应当算是比较出格的了。	她能想到的約會畫面大多都是些諸如「手牽手一起逛街」或者「二人互相買禮物」之類的普通場景，若非得說更進一步的話……互相進行食物投餵應當算是比較出格的了。	彼女にとってデートと言えば「手をつないで歩く」「贈り物をする」といった定番の行為で、さらに踏み込んだとしても、せいぜい食べさせ合うくらいだった。	그녀가 상상할 수 있는 데이트는 대부분 '손잡고 쇼핑하기'나 '서로 선물 사주기' 같은 평범한 것들이었고, 더 진도를 뺀다고 해도… 서로 음식을 먹여주는 정도가 가장 대담한 상상이었다.	She mostly pictured us "going for a walk holding hands" and "buying gifts for each other." Anything more daring... like feeding each other during a meal was already pushing her boundaries.						0
20	对此我表示可能这就是晴的风格吧。	對此我表示可能這就是晴的風格吧。	それが、やっぱり晴らしいところなんだろう。	역시 그런 게 하루답겠지, 나는 그렇게 생각했다.	And yet... it was just Haru being Haru.						0
21	于是在经历了一系列常规约会项目后，晴似乎也陷入了“接下来究竟该做什么好呢？”的迷茫，但对我而言，接下来的行程早已成竹在胸。	於是在經歷了一系列常規約會項目後，晴似乎也陷入了“接下來究竟該做什麼好呢？”的迷茫，但對我而言，接下來的行程早已成竹在胸。	定番のデートを一通り終えると、晴は「次は何をすればいいんだろう？」と迷っているようだった。だが、私はもう、その後のことを決めていた。	일반적인 데이트 코스를 거친 하루는 '이제 뭘 해야 하지?' 하며 고민하는 것 같았지만, 나는 이미 다음 일정을 모두 생각해 두었다.	So, after a few routine date activities, Haru seemed at a loss over what to do next. Meanwhile, I already had the rest of the date in mind.						0
21_1	——这种常规约会，自然不足以成为今日的重点。	——這種常規約會，自然不足以成為今日的重點。	——こんな定番のデートが、今日のメインになるはずもない。	이런 일반적인 데이트는 오늘의 하이라이트가 아니었다.	The routine date activities were naturally not enough to be today's main event.						0
22	此刻的她正在一整排玩具熊前徘徊来徘徊去，看起来似乎对这些毛茸茸的小家伙非常有兴趣。看了一阵子后，晴是意识到了我的目光，连忙咳嗽两声，佯装毫不在意地摆了摆手。	此刻的她正在一整排玩具熊前徘徊來徘徊去，看起來似乎對這些毛茸茸的小傢伙非常有興趣。看了一陣子後，晴是意識到了我的目光，連忙咳嗽兩聲，佯裝毫不在意地擺了擺手。	彼女は今、ずらりと並ぶテディベアの前を、夢中で行ったり来たりしていた。しばらく眺めていると私の視線に気づき、慌てて咳払いをして平然を装った。	지금 그녀는 한 줄로 늘어선 곰 인형들 앞에서 왔다 갔다 했고, 이 복슬복슬한 녀석들에게 매우 관심이 있어 보였다. 하루는 잠시 지켜보다가 내 시선을 의식한 듯, 급히 헛기침을 두어 번 하고는 무심한 척 손을 휘휘 저었다.	Right now, she was pacing back and forth in front of a row of toy bears, clearly very interested in the fluffy toys. After a while, Haru noticed my gaze, coughed, and tried to brush it off.						0
23	咳……咳咳！虽，虽然我对那个玩具熊一点兴趣都没有，但不管怎么说今天的约会还是非常……唔？	咳……咳咳！雖，雖然我對那個玩具熊一點興趣都沒有，但不管怎麼說今天的約會還是非常……唔？	ごほ……ごほごほ！べ、別にあのテディベアに興味なんてないが、とにかく今日のデートは……ん？	크흠… 크흐흠! 저, 저 곰 인형에는 조금도 관심이 없지만, 아무튼 오늘 데이트는 정말… 응?	Ahem! E—Even though I'm not at all interested in the toy bears, today's date has still been very... Huh?						0
24	我二话不说抱来一只玩具熊，摁在她的怀里。	我二話不說抱來一隻玩具熊，塞到她的懷裡。	テディベアを抱えてきて、彼女の腕の中に押し込んだ。	나는 잠자코 곰 인형 하나를 가져와 그녀의 품에 안겨주었다.	Without a word, I picked up a toy bear and pressed it into her arms.						0
25	我，我没说我想要它啦，我只是多看了两眼……	我，我沒說我想要它啦，我只是多看了兩眼……	べ、別に欲しいなんて言ってないだろう、ちょっと見てただけで……	나, 난 갖고 싶다고 한 적 없는데? 그냥 몇 번 쳐다봤을 뿐이야…	I—I didn't say I want it... I was just... looking...						0
26	熟悉的殷红从晴的脸颊处漫了上来。	熟悉的殷紅從晴的臉頰處漫了上來。	いつものように晴が頬を赤らめた。	익숙한 홍조가 하루의 뺨에 번졌다.	A familiar flush crept up her cheeks.						0
27	真的只是看了两眼，真的！	真的只是看了兩眼，真的！	本当に、ちょっと見てただけだ！	진짜 딱 두 번 봤어, 진짜라니까!	Really, I was just looking!						0
28	那就再多看两眼吧，我只是想把它送给你。	那就再多看兩眼吧，我只是想把它送給你。	欲しがってると決めつけてるわけじゃない。ただ私が、あげたいだけだ。	그럼 좀 더 쳐다봐요. 난 그냥 하루에게 선물해 주고 싶었거든요.	You don't have to like it... but I want you to have it.						0
29	就当是我的礼物，怎么样？	就當是我的禮物，怎麼樣？	私からのプレゼントだ。どうだい？	제 선물이라고 생각해 줘요, 어때요?	Consider it a gift from me. How about that?						0
30	晴犹豫了一阵子，最终讪讪地点了点头。	晴猶豫了一陣子，最終尷尬地點了點頭。	晴はしばらくためらって、気恥ずかしそうにうなずいた。	잠시 망설이던 하루는 결국 부끄러운 듯 고개를 끄덕였다.	Haru hesitated for a moment, then awkwardly nodded.						0
31	那我们还要去哪里呢？我今天规划的行程已经结束了。	那我們還要去哪裡呢？我今天規劃的行程已經結束了。	このあとはどうする？今日の予定は完了したが。	그럼, 이따가 어디로 갈 거야? 오늘 계획했던 일정은 다 끝났는데.	So where are we going next? I've already done everything I planned.						0
32	她虽然嘴上说得正经严肃像是在办什么公事，但眼眸里的期待却闪动着，那样跃跃欲试，就差把“快说呀快说呀我们继续约会呀“给写在脸上了。	她雖然嘴上說得正經嚴肅像是在辦什麼公事，但眼眸裡的期待卻閃動著，那樣躍躍欲試，就差把“快說呀快說呀我們繼續約會呀”給寫在臉上了。	さすが晴、デート中でも言葉遣いは真面目で、まるで公務のようだ。だが瞳は期待に満ちており、「次もデートしよう！」と顔に書いてあるようだった。	무슨 중요한 업무라도 보듯 진지하고 엄숙하게 말했지만, 눈동자는 기대감에 반짝이고 있었다. 그 들뜬 모습은 마치 얼굴에 '어서, 어서 말해봐. 계속 데이트하자'라고 쓰여 있는 것 같았다.	Though she tried to keep her tone formal and serious, the glimmer in her eyes betrayed her. In fact, her eyes were full of excitement, so eager that "come on, say it already! Let's keep our date going!" was practically written all over her face.						0
33	于是我也故作正经地微微颔首。	於是我也故作正經地微微頷首。	だから私も、あえて改まってうなずいた。	나도 일부러 사뭇 진지한 척 살짝 고개를 끄덕였다.	So I put on a straight face to play along and nodded slightly.						0
34	你这么一问，我还真有个地方想带你去。	你這麼一問，我還真有個地方想帶你去。	そうだな、晴を連れて行きたい場所がひとつあるんだ。	하루가 그렇게 물어보니까, 마침 같이 가고 싶은 곳이 생겼어요.	Since you asked, there is a place I'd like to take you.						0
35	一个非常……适合你的地方。	一個非常……適合你的地方。	君にとても……よく似合う場所だ。	하루랑… 정말 잘 어울리는 곳이죠.	A place that's... perfect for you.						0
36	……	……	……	……	...						0
37	分析员，你确定是这里？	分析員，你確定是這裡？！	分析員、ここで本当に合ってるのか？	분석가, 정말 여기가 맞아?	Are you sure this is the place, Adjutant?						0
38	我们今天是来约会的，对……吧？	我們今天是來約會的，對……吧？	今日は、デートしに……来たんだよな？	우리 오늘 데이트하러 온 거 맞… 지?	We're still on a date... right?						0
39	我笑了笑，将手放在了训练室的启动按钮上。	我笑了笑，將手放在了訓練室的啟動按鈕上。	私は笑って、訓練室の起動ボタンに手を置く。	나는 미소를 지으며 훈련실의 가동 버튼에 손을 올렸다.	I smiled and placed my hand on the training room's start button.						0
b-1											0
40	按下按钮。	按下按鈕。	ボタンを押した。	버튼을 누른다.	Press the button						0
