xxx_2662882645	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	炸响的火光之间，庞然的巨物悲鸣着沉入海底。	炸響的火光之間，龐然的巨物悲鳴著沉入海底。	爆発による閃光とともに、巨大な怪物は悲鳴を上げながら海底に沈んでいった。	폭발하는 불빛 사이로 거대한 괴물이 비명을 지르며 바다 밑으로 가라앉았다.	Amid the roaring blaze, the colossus let out a final, echoing wail and vanished beneath the waves.						0
2	我最后看了一眼那场伟岸沉没的收尾，看着它连带原本坍塌到海面的断桥一并吞没，才回过头来。	我最後看了一眼那場偉岸沉沒的收尾，看著它連帶原本坍塌到海面的斷橋一併吞沒，才回過頭來。	その壮大な沈没が崩壊してゆく橋をも飲み込んだ光景を確認してから、私は振り返った。	나는 마지막으로 그 장대한 몰락의 끝을 바라보았다. 바다로 무너져 내려 끊어진 다리와 함께, 녀석이 삼켜지는 모습을 확인한 후에야 고개를 돌렸다.	It took the broken span of the bridge with it, sinking into the sea's cold embrace. I let my eyes linger on the spectacular scene a moment longer, then turned away.						0
3	此刻我与薇蒂雅正位于距离海面接近八十米的高空，爬上了海上大桥的断面。	此刻我與薇蒂雅正位於距離海面約八十公尺的高空，爬上了海上大橋的斷面。	今の私とヴィディアは、海面からおおよそ80メートルの高さがある、海上横断橋の断面を登っていた。	지금 나와 비디야는 해수면에서 약 80미터 높이에 있는 해상 다리의 끊어진 단면에 올라와 있다.	Vidya and I clung to the jagged edge of the shattered bridge — suspended nearly 100 meters above the ocean.						0
4	看着眼前近在咫尺的桥面，我一只手攀上断裂的边沿，身体的核心猛地发力，率先一步爬上了桥面，然后伸手将跟在身后的薇蒂雅一齐拉了上来。	看著眼前近在咫尺的橋面，我一隻手攀上斷裂的邊緣，身體的核心收緊發力，率先一步爬上了橋面，然後伸手將跟在身後的薇蒂雅拉了上來。	片手を崩れた縁に置いた私は、一瞬で力を込めて、先に登ったあと、また振り返ってヴィディアを引き上げた。	눈앞의 다리를 바라보며, 나는 한 손으로 끊어진 가장자리를 붙잡고 몸의 중심에 힘을 실어 단숨에 다리 위로 올라섰다. 그리고 손을 뻗어 내 뒤에 있는 비디야를 끌어 올렸다.	Bracing myself, I channeled power through my core, hauled myself up with a grunt, and swung a leg over the ledge. Once steady, I reached down and pulled Vidya up after me.						0
5	哈……结束了啊。	哈……結束了啊。	はぁ……終わったようだな。	하아… 끝났군.	Hah... It's finally over.						0
6	我呈大字仰倒在桥面。	我以大字仰倒在橋面。	私は大の字になって橋の上に倒れ込んだ。	나는 다리 위에 대자로 드러누웠다.	I let myself fall back across the bridge, limbs slack.						0
7	虽然身后垫着的是冰凉的地板，但是压在我身上的，却是丰盈的香气与柔软。	雖然身後墊著的是冰涼的地板，但是壓在我身上的，卻是豐盈的香氣與柔軟。	私の背中にあるのは冷たい床だが、すぐに豊満な香りと柔らかさがのしかかってきた。	차가운 바닥이 등에 닿았지만, 부드럽고도 향기로운 감촉이 내 몸 위에 느껴졌다.	The concrete beneath me was cold and unyielding — but the body pressed against mine was warm, soft... and faintly sweet.						0
8	分析员。	分析員。	分析員さん。	분석가님.	Adjutant.						0
9	她像是小猫一样，用脸颊蹭着我的胸膛。	她像是小貓一樣，用臉頰磨蹭著我的胸膛。	彼女は子猫のように、頬を私の胸に擦り寄せた。	그녀는 고양이처럼 볼을 내 가슴에 비벼댔다.	She nuzzled into my chest like a kitten.						0
10	少女黑色的发丝扫过我的脖颈，带着令人内心发痒的香味。	少女黑色的髮絲掃過我的脖頸，帶著令人內心發癢的香味。	少女の黒髪は心をくすぐる香りとともに、私の首筋を掠めた。	소녀의 검은 머리카락이 내 목덜미를 스치며 마음을 간지럽히는 향기를 퍼뜨렸다.	Her ebony hair spilled across my neck, carrying a scent that stirred my heart.						0
11	乌云渐渐散开，光线一点点洒落。	烏雲漸漸散開，光線一點點灑落。	暗雲が徐々に散り、隙間から光が差し込んでくる。	먹구름이 서서히 걷히고, 빛이 조금씩 쏟아졌다.	Above, the clouds slowly parted, sunlight pouring down in soft, golden threads.						0
12	光影之间，我和她一起从地上爬起。不过薇蒂雅并不曾离开对我的依偎。	光影之間，我和她一起從地上爬起。不過薇蒂雅並不曾離開對我的依偎。	そんななか、私は彼女と一緒に立ち上がった。しかし、ヴィディアは私から離れようとしなかった。	우리는 빛 사이에서 함께 일어났다. 하지만 비디야는 내게서 떨어지지 않고 여전히 품에 기대어 있었다.	In that shifting light, we rose together — Vidya still in my arms.						0
13	在我的怀抱中，她欣喜地仰起笑脸。	在我的懷抱中，她欣喜地仰起笑臉。	私の腕の中で、彼女は嬉しそうに顔を上げた。	내 품 안에서 그녀는 환하게 웃으며 고개를 들어 나를 바라보았다.	She looked up, a bright smile spreading across her face.						0
14	分析员，我做到啦，对吧？	分析員，我做到了，對吧？	分析員さん、私、できました、よね？	분석가님, 제가 해냈어요, 그렇죠?	Adjutant... I did it, didn't I?						0
15	眼镜下，紫罗兰一样美丽的瞳孔，带着无限的期待，期待我的答复。	眼鏡下，紫羅蘭一樣美麗的瞳孔，帶著無限的期待，期待我的答覆。	スミレ色の美しい瞳はメガネ越しに、無限の期待を込めて、私の返事を待っていた。	안경 너머로, 바이올렛처럼 아름다운 눈동자가 내 대답을 기다리며 빛나고 있었다.	Her violet eyes shone behind the lenses, aglow with hope and triumph.						0
16	在这个属于她的舞台，她闪着光亮，是无可挑剔的女主。	在這個屬於她的舞台，她閃爍著光，是無可挑剔的女主角。	彼女はこの舞台で、文句のつけようがない輝くヒロインだ。	그녀만의 무대에서, 그녀는 빛나고 있었고 그 누구보다 완벽한 여주인공이었다.	In that moment, she stood radiant in the spotlight — the perfect heroine.						0
17	是啊。	是啊。	そうだな。	그래.	You did.						0
18	辛苦了，薇蒂雅。	辛苦了，薇蒂雅。	お疲れ様、ヴィディア。	수고했어, 비디야.	You were amazing, Vidya. Thank you.						0
19	我伸手抚摸着她的脸颊，她的发丝。	我伸手撫摸著她的臉頰，她的髮絲。	私はヴィディアの頬と髪を優しく撫でた。	나는 손을 뻗어 그녀의 볼과 머리카락을 어루만졌다.	I reached up and gently brushed her cheek, then slowly ran my fingers through her hair.						0
20	嘿嘿~	嘿嘿~	ふふ……	헤헤~	Heehee~						0
21	那么，回去之后，分析员会给我怎样的奖励呢……	那麼，回去之後，分析員會給我怎樣的獎勵呢……	それじゃあ、帰ったらどんなご褒美がもらえるんでしょう……	그럼, 돌아가면 분석가님은 제게 어떤 보상을 주려나요…	So... what sort of reward do I get when we get back?						0
22	是和昨天晚上一样的缠绵吗？	是和昨天晚上一樣的纏綿嗎？	昨日のような甘い夜でしょうか？	어젯밤과 같은 애틋함일까요?	Something as sweet — and as steamy — as last night, perhaps?						0
23	娇柔地捧住自己的脸颊，少女似乎又要迷离在某种期待的幻想之中。	嬌柔地捧住自己的臉頰，少女似乎又要迷離在某種期待的幻想之中。	ヴィディアは両手で頬を包み込み、再び幻想に迷い込もうとした。	소녀는 수줍게 자기 얼굴을 감싸며, 또다시 어떤 기대에 찬 환상 속으로 빠져드는 듯했다.	Cheeks cupped in both hands, she wore a coy little smile, already half-lost in the daydream.						0
