xxx_1961593440	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	一段时间后，使用学院高层交付的临时指令，我们打开了污染区实验室的大门，进到了实验室内部。	一段時間後，使用學院高層給的臨時指令，我們打開了汙染區實驗室的大門，進到了實驗室內部。	しばらくして、私たちは学院上層部から渡された臨時コマンドを使って、汚染エリア実験室のドアを開けて、中に入った。	어느 정도 시간이 흐른 뒤, 우리는 아카데미 고위층의 임시 지령을 사용해 오염 구역 실험실 문을 열고 실험실 내부로 들어갔다.	Later, with a temporary access code issued by the Acropolis' top brass, we unlocked the door to the lab deep within the Contaminated Section and stepped inside.						0
2	就是这里了吧，学院用于存放异变奇物的地方。	就是這裡了吧，學院用來存放異變奇物的地方。	ここが、学院のマーベルズを保管する場所だな。	아카데미가 돌연변이 기물을 보관하는 곳이 바로 이곳이야.	This must be the place where the Acropolis keeps its curios.						0
3	是的，这里的地图芙提雅老师已经载入到自动破案机里了。分析员，接下来我们要往这边走。	是的，這裡的地圖芙提雅老師已經載入到自動破案機裡了。分析員，接下來我們要往這邊走。	うん、ここの地図はあらかじめ調査機に入れておいたから。分析員、こっちに向かうよ。	맞아. 프티야 선생님이 이미 이곳 지도를 추리 로봇에 입력해 뒀어. 분석가, 이제 이쪽으로 가면 돼.	Mhm! I've already uploaded the full layout of this place to the Detective Bot. This way, Adjutant!						0
4	分析员哥哥，这边走。	分析員哥哥，這邊走。	分析員お兄ちゃん、こっちでス。	분석가 오빠, 이쪽이에요.	Mr. Adjutant~ This way, please~						0
5	……	……	……	…	...						0
6	冷不丁响起的机械声音让我和薇蒂雅她们都忍不住一阵沉默。	突然響起的機械聲音讓我和薇蒂雅她們都忍不住一陣沉默。	突然響き渡った機械音に、私たちは思わず黙ってしまった。	뜬금없이 울린 기계음에 나와 비디야 일행 모두 말을 잃을 수밖에 없었다.	The sudden mechanical voice made both Vidya and me pause in awkward silence.						0
7	奇怪。	奇怪。	あれ。	이상하네.	That's weird.						0
8	我记得我和芙提雅学姐设计程序的时候，好像没有加入这么奇怪的设定才对。	我記得我和芙提雅學姊設計程式的時候，好像沒有加入這麼奇怪的設定才對。	フリティア先輩とプログラムを作ってたとき、こういう設定は入れてなかったと思うんだけど。	나랑 프티야 선배가 프로그램을 설계할 때 이런 이상한 설정을 넣지는 않았을 텐데.	I'm pretty sure Fritia and I didn't program anything like that.						0
9	本机擅长学习。	本機擅長學習。	ワタシは学習能力が高いんでス。	저는 학습 능력이 뛰어나요.	This unit excels at adaptive learning.						0
10	……芙提雅老师好像确实给它开了最高的学习权限，但是不是什么东西都要你学啦！	……芙提雅老師好像的確幫它開了最高的學習權限，但是不是什麼東西都要你學啦！	……確かに最上位の学習権限を与えたけど、なんでも勉強してほしいわけじゃないからね！	… 프티야가 최고 등급의 학습 권한을 부여하기는 했지만 너무 쓸데없는 것까지 배우는 거 아냐?	...Oh. Right. I did grant it full learning permissions... But still — some things really aren't necessary to be learned, okay!?						0
11	请将具体不需要学习的东西写入本机的程序。	請將具體不需要學習的東西寫入本機的程式。	では、学習してほしくないものを入力してくだサイ。	학습할 필요가 없는 것들은 제 프로그램에 입력해 주세요.	Please specify which learning parameters should be restricted and update this unit's behavior accordingly.						0
12	诶，芙提雅老师现在可没空做这种事情……	欸，芙提雅老師現在才沒空做這種事……	え、それは……今はそんな時間ないから……	어, 난 지금 그런 걸 할 시간은 없는데…	Uh, well, I'm a bit busy for that at the moment...						0
13	收到……分析员哥哥，请往这边走。	收到……分析員哥哥，請往這邊走。	わかりましタ……分析員お兄ちゃん、こっちでス。	알겠습니다… 분석가 오빠, 이쪽으로 가시죠.	Acknowledged... Mr. Adjutant~ This way, please~						0
14	……！！！	……！！！	えぇ……！	… !!!	...						0
15	吵吵闹闹中，我们往前的氛围倒是轻松了不少。	吵吵鬧鬧中，我們往前的氣氛倒是輕鬆了不少。	口喧嘩のおかげで、いつの間にか雰囲気は和らいでいた。	작은 소란 속에서 우리의 긴장됐던 분위기가 점차 풀렸다.	As silly as it was, the back-and-forth managed to lift our spirits.						0
16	虽然在来实验室的路上受到不少的阻碍，但接下来的一段路，我们倒是走得畅通无阻。	雖然在來實驗室的路上受到不少的阻礙，但接下來的一段路，我們倒是走得暢通無阻。	実験室への道ではいくつかの邪魔が入ったが、そこから先はすんなり行けた。	실험실로 오는 동안 꽤 많은 장애물을 만났지만 그 이후로는 막힘없이 나아갔다.	We'd fought hard to get here — and finally, the last stretch went surprisingly smoothly.						0
17	没花几分钟，我们就顺利地找到了编号YX-111观测之刃的储存地。	沒花幾分鐘，我們就順利地找到了編號YX-111觀測之刃的存放地。	数分もかからずに、私たちは登録番号YX-111観測の刃の保管場所を見つけた。	몇 분 지나지 않아 우리는 연구 번호 YX-111 관측 칼날의 보관 장소를 순조롭게 찾아냈다.	It only took us a few minutes to locate the designated storage site for Item YX-111: the Observer's Blade.						0
18	再次使用临时指令，我们打开了存储异变奇物的箱子。	再次使用臨時指令，我們打開了存放異變奇物的箱子。	もう一度臨時コマンドを使用して、私たちはマーベルズを収納する金庫を開けた。	우리는 임시 지령을 다시 사용하여 돌연변이 기물의 보관 상자를 열었다.	Once again, we used the temporary access code to unlock the curio containment case.						0
19	和之前在照片上看到的一样，这把刀被一块布包裹着。	和之前在照片上看到的一樣，這把刀被一塊布包裹著。	写真で見たのと同じように、ナイフ状のそれは布に覆われている。	전에 사진에서 봤던 것처럼, 이 칼은 어떤 천으로 싸여 있었다.	Inside, just as in the photos, the blade was wrapped in a piece of cloth.						0
20	而且这张灰色的布……我应该在哪里见过一样的。	而且這張灰色的布……我應該在哪裡看過一樣的。	しかしこの灰色の布……どこかで見た覚えがあるな。	그리고 이 회색 천은… 왠지 모르게 익숙했다.	That gray fabric... it looked familiar, somehow. I couldn't quite place it, but I was sure I'd seen a cloth just like it before.						0
21	脑中闪过这个念头，我向着那把小刀伸出手去。	腦中閃過這個念頭，我朝著那把小刀伸出手去。	そう考えながら、私はナイフに手を伸ばした。	머릿속에 이런 생각이 스치자, 나는 그 단검을 향해 손을 뻗었다.	The thought lingered at the back of my mind as I reached toward the blade.						0
22	与树污染相关的物品，显然是我来触碰最为安全。	與樹汙染相關的物品，顯然是我來觸碰最安全。	デンドロン汚染に関係する物品は、私が触るのが一番安全だ。	역시나, 나무 오염과 관련된 물건은 내가 만지는 게 가장 안전하다.	Given its exposure to Tree-borne contamination, I was the only one who could safely handle it.						0
23	我抓住布包裹的刀柄部分，将小刀拿起，然而在我掀开布上半部覆盖刀的部分后，几道惊讶的声音几乎从我身边同时响起。	我抓住布包裹的刀柄部分，將小刀拿起，然而在我掀開布上半部覆蓋刀的部分後，幾道驚訝的聲音幾乎從我身邊同時響起。	私は布に包まれた柄を掴んで、ナイフを持ち上げた。だが、刃の部分を覆った布をめくると、横から驚きの声がほぼ同時に上がった。	나는 천으로 싸인 칼자루 부분을 잡고 단검을 집어 들었다. 그러나 칼을 덮고 있는 천의 윗부분을 젖히자, 내 옆에 있던 소녀들이 거의 동시에 놀랐다.	Grasping the hilt through the cloth, I gently lifted the blade. Then, peeling back the upper fold of fabric to reveal the blade beneath — a chorus of gasps broke out beside me.						0
24	咦……	咦……	あれ……	아…	Huh...?						0
25	为什么……会没有。	為什麼……會沒有。	なんで……ないの？	왜… 없지?	Wait... where is it!?						0
26	分析员，分析员，伊切尔好像看不到底下的刀！！	分析員，分析員，伊切爾好像看不到底下的刀！！	分析員、分析員！ボク、ナイフが見えないぞ！	분석가, 분석가! 이첼은 천 아래의 칼이 안 보이는데!!	Adjutant, Adjutant! I can't see the blade!						0
27	刚才布包裹的形状，底下应该是有东西的才对。	剛才布包裹的形狀，底下應該是有東西的才對。	布の形からすると、ここになにかがあるはずなんですが……	방금 천이 감싸고 있던 모양을 봤을 땐 분명 칼이 있을 것 같았는데요.	The way it was wrapped before, there should definitely have been something inside.						0
28	这就是这把刀的异常性吗？	這就是這把刀的異常性嗎？	これが観測の刃の変異なのか？	이게 이 칼의 변이성인가?	So this is the curio's anomalous property?						0
