xxx_2159292262	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	等到两人的心跳渐渐平复后，我们的思绪重新回到恒约仪式上。	等到兩人的心跳漸漸平復後，我們的思緒重新回到恆約儀式。	ふたりの鼓動が落ち着いてくる頃に、私たちはまた儀式について考え始めた。	두 사람의 두근거림이 점점 진정되자, 우리의 생각은 다시 언약 의식으로 돌아갔다.	After our heartbeats gradually slowed, our thoughts shifted back to our Covenant ceremony.						0
2	肴轻巧地从床上滑下，重新整理了一下装甲。在伸了个懒腰后，逐渐变得精神起来。	肴輕巧地從床上滑下，重新整理了一下裝甲。在伸了個懶腰後，逐漸變得精神起來。	軽やかにベッドから降りた肴は身なりを整えて、伸びをすると、元気を取り戻したようだ。	야오는 침대에서 가볍게 내려와 슈트를 정돈했다. 기지개를 한 번 쭉 켜더니 점점 더 생기가 도는 모습이었다.	Yao deftly slid out of bed and straightened her exosuit. She then stretched out, gradually perking up.						0
3	好啦，这下我们都吃饱了，得干正事~咯~	好啦，這下我們都吃飽了，得做正事~了~	よし……どっちの欲も満たしたことだし、そろそろ仕事するか！	좋아, 이제 배도 채웠으니 본격적으로 일하러 가자~	Okey-dokey. Now that we're full, let's get down to business~						0
4	肴翻开随身手册，轻轻转动着指尖的笔，目光扫过一行行待办事项。	肴翻開隨身手冊，輕輕轉動指尖的筆，目光掃過一行行待辦事項。	肴は手帳を開いて、指先でペンを遊びながら、タスクを一行一行確認した。	야오는 휴대용 수첩을 펼치고, 손가락으로 펜을 살짝 돌리며 할 일 목록을 하나씩 훑어봤다.	Yao opened the notebook she was carrying. As she delicately twirled the pen between her fingers, she scanned her to-do list.						0
5	我的终端突然响起提示音。点开一看，是肴申请的带薪假审批流转到了我这里。	我的終端突然響起提示音。點開一看，是肴申請的帶薪假審核流轉到了我這裡。	すると、私の端末が急に鳴り出した。確認すると、肴の有給申請がこっちに届いたようだ。	그 순간, 내 단말기에서 알림음이 울렸다. 화면을 열어 보니 야오가 신청한 유급 휴가 요청의 결재 단계가 내게로 넘어온 상태였다.	A prompt suddenly sounded from my terminal. I tapped on the notification to see that Yao's paid leave application had been sent to me for approval.						0
6	我毫不犹豫地点下确认，通过了审核。	我毫不猶豫地點下確認，通過了審核。	私は躊躇せずそれに許可した。	나는 망설임 없이 승인 버튼을 눌렀다.	I tapped "Confirm" without hesitation.						0
7	带薪假这么长，想好去哪里度蜜月了吗？	帶薪假這麼長，想好去哪裡度蜜月了嗎？	有給がこれだけ長いんだから、ハネムーンはどこで過ごそうか。	유급 휴가를 이렇게 길게 잡다니, 신혼여행은 어디로 갈지 정했어?	With all this vacation time, have you decided where you want to go for our honeymoon?						0
8	恒约仪式的事都没安排妥当，你就开始想蜜月了？	恆約儀式的事都沒安排妥當，你就開始想蜜月了？	儀式のこともまだ決まってないのに、もうハネムーンのことを考えてるの？	언약 의식도 제대로 못 정리했으면서 벌써 신혼여행 타령이야?	We haven't even planned our Covenant ceremony yet, and you're already thinking about the honeymoon?						0
9	肴嗔怪地瞥了我一眼，但随即陷入沉思，似乎真的在认真考虑这个问题。	肴嗔怪地瞥了我一眼，但隨即陷入沉思，似乎真的在認真考慮這個問題。	肴は非難するように私を一瞥したが、またすぐに黙り込んで、私の質問を考えはじめた。	야오는 나를 살짝 노려보더니, 곧 생각에 잠긴 듯했다. 정말로 어디를 갈지 고민하는 눈치였다.	Yao pouted jokingly as she glanced over at me. But she was soon lost in thought, seemingly seriously considering my question.						0
10	去哪里好呢……	去哪裡好呢……	どこにしようかな……	어디로 가면 좋을까…	Where should we go...						0
11	突然，她像是想起什么似的眼前一亮。	突然，她像是想起什麼似的眼前一亮。	すると、彼女はなにか思いついたのか、目を輝かせた。	갑자기 야오는 뭔가 생각난 듯 눈빛이 반짝였다.	Suddenly, her eyes lit up as if she'd remembered something.						0
12	对了！	對了！	そうだ！	아, 맞다!	Oh!						0
13	一阵翻箱倒柜后，肴从收纳箱里找出两张度假酒店的优惠券，在我眼前晃了晃。	一陣翻箱倒櫃後，肴從收納箱裡找出兩張度假酒店的優惠券，在我眼前晃了晃。	肴は部屋中を探し回って、収納ケースからリゾートホテルのクーポン券を2枚取り出し、私の目の前でひらひら振った。	야오는 서랍과 상자를 뒤적거리더니, 리조트 호텔 할인권 두 장을 찾아내 내 눈앞에서 흔들었다.	After rifling through some boxes and cabinets, Yao found two coupons for a hotel stashed in a storage box, waving them in front of me.						0
14	上次试享后她们给的优惠券，一直没用上。正好趁着蜜月，我们再去体验一次？	上次試享後她們給的優惠券，一直沒用。剛好趁著蜜月，我們再去體驗一次？	この前のお試しで、ホテルがくれたクーポン券だよ。ずっと使うタイミングがなかったから、ハネムーンはここでどう？	지난번 체험하러 갔을 때 받은 할인권이야. 아직 못 썼거든. 마침 신혼여행 겸 다시 한번 가볼까?	I still haven't used the coupons they gave me after that trial before. Why don't we head back for our honeymoon?						0
15	在互相知晓彼此心意后的某个下午，肴的消息突然涌入终端。	在互相知曉彼此心意後的某個下午，肴的訊息突然湧入終端。	ふたりの心を確かめ合ったあとの、とある午後のことだった。肴は突然通信をかけてきた。	서로의 마음을 확인한 어느 오후, 야오의 메시지가 갑자기 내 단말기로 쏟아졌다.	One afternoon after we had confessed our feelings, my terminal was suddenly flooded with messages from Yao.						0
16	分析员，你看这是什么？	分析員，你看這是什麼？	分析員！これ、なんだと思う？	분석가, 이거 뭐게?	...Adjutant, do you know what this is?						0
17	我看看……贵宾试享卡？哪儿来的。	我看看……貴賓試享卡？哪裡來的。	どれどれ……VIPお試しカード？どこで手に入れたんだ？	어디 보자… VIP 체험 카드? 이건 어디서 난 거야?	Let me see... "VIP Trial Card"? Where did you get this?						0
18	一家想和世界树搭上关系的超豪华度假酒店。	想跟世界樹搭上關係的超豪華度假飯店。	ユグドラシルと商売がしたい、超豪華リゾートホテルなんだって。	위그드라실이랑 제휴하려는 초호화 리조트 호텔에서 준 거야.	It's from a super fancy hotel that wants to do business with Yggdrasil.						0
