xxx_304360038	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	因为接下来，取决于芬妮的回答，我们有可能要出席一个相当重要的庆典。	因為接下來，取決於芬妮的回答，我們有可能要出席一個相當重要的慶典。	君の返事次第で、君とふたりで大事な式典に出ることになるからな。そのとき、これを使ってほしいんだ。	그러니까 앞으로 페니의 대답에 따라 엄청 중요한 축제를 참석해야 할 수도 있어.	Because, depending on your answer, Fenny, we might just have a big celebration to look our best for.						0
2	庆典？	慶典？	式典？	축제?	A celebration!?						0
3	第一缕晨光，透过透明的玻璃，洒在少女羞红的脸上。	第一縷晨光，透過透明的玻璃，灑在少女羞紅的臉上。	朝日が窓から差し込み、ファニーの紅潮した顔を照らしていた。	아침을 비추는 첫 번째 햇빛, 투명한 유리를 통과해 소녀의 붉은 얼굴 위로 쏟아졌다.	The first rays of morning light filtered through the clear glass, illuminating the girl's blushing face.						0
4	金色的发丝被风吹动，伴随着她脸上的笑容翩翩起舞……	金色的髮絲被風吹動，伴隨著她臉上的笑容翩翩起舞……	金色の髪が風になびく。暁光を浴びて、幸せそうな笑顔が輝き始めた。	금색 머리카락이 바람에 흩날리고, 그녀의 얼굴에 활짝 핀 미소와 함께 춤을 춘다…	Her blonde hair danced in the breeze, framing her radiant smile.						0
5	那一定是我见过的，最闪耀的光景——	那一定是我見過的，最閃耀的光景——	これは私が見てきた中で、一番輝かしい光景に違いない。	그건 단언컨대 내가 본 것 중, 가장 눈부신 풍경이었다…	It was surely the most beautiful sight I'd ever seen...						0
6	……	……	……	……	...						0
7	随后，她深深地吸一口气，接过我手中的小盒子，缓缓将那心底的期许，慢慢吐出。	隨後，她深深吸一口氣，接過我手中的小盒子，緩緩將那心底的期許，慢慢吐出。	彼女は深く息を吸い込むと、私からその小さな箱を受け取り、ゆっくりと返事を口にした。	그녀는 숨을 깊게 들이마시고는 나의 손에 있는 작은 박스를 받아 들고 천천히 마음속 깊이 기대하고 있던 말들을 내뱉는다.	Taking a deep breath, she took the small box from me and slowly voiced her dearest wish.						0
8	playername……本小姐愿意哦。	playername……本小姐願意哦。	いいわ……playername。	playername… 난 좋아.	playername... Yes, I do.						0
9	……	……	……	……	...						0
10	夜，昏暗的大厅内，终端屏幕散发的微光映照着少女精致的脸蛋。	夜，昏暗的大廳內，終端螢幕散發的微光映照著少女精緻的臉蛋。	深夜。暗い部屋の中で、端末の光が少女の顔を映し出す。	밤, 어두운 로비, 단말기 스크린에서 뿜어져 나오는 미세한 불빛이 소녀의 아름다운 얼굴을 비춘다.	In the dimly lit hall, the faint glow from the terminal screen illuminated the girl's delicate features.						0
11	距离从分析员手中得到那参加庆典的信物，已经过去了几天。	距離從分析員手中得到那參加慶典的信物，已經過去了幾天。	分析員から誓いの印をもらってから、すでに何日か経っていた。	분석가에게 축제 증표를 받고 난 뒤, 벌써 며칠이라는 시간이 흘렀다.	It had been days since she received that keepsake from the Adjutant for the upcoming celebration.						0
12	而她最重要的日子，那场命中注定的庆典，已经定在了两天之后。	而她最重要的日子，那場命中註定的慶典，已經定在兩天後了。	今の彼女には、人生においてもっとも大事なイベントが、二日後に控えている。	가장 중요한 날, 운명이 정해지는 축제는 이미 2일 뒤 주최하는 것으로 확정이 났다.	The most important day of her life, that fated celebration meant just for her and her love, was now only two days away.						0
13	分析员挑了个惠风和畅的天气，想与她一起在海边的礼堂缔结恒约。	分析員挑了個惠風和暢的天氣，想與她一起在海邊的禮堂締結恆約。	予報では、その日は快晴。式典の場所は、海に面した教会。	분석가는 부드럽고 따뜻한 바람이 부는 날을 선택했고, 그녀와 함께 바닷가 식장에서 영원한 약속을 맺고 싶었다.	The Adjutant had chosen a bright, breezy day at a seaside hall to pledge their eternal vows.						0
14	恒约的现场，透过巨大的落地窗，就能望见波光粼粼的海面。远眺是水天一色的空明景象，仿佛他们交融的爱恋。	恆約的現場，透過巨大的落地窗，就能望見波光粼粼的海面。遠眺是水天一色的空明景象，彷彿他們交融的愛戀。	一面のガラス窓から、水天一碧の絶景が見えるそこで、二人は永遠の誓いを交わすことになっている。	영원한 약속을 맺는 현장, 거대한 창문을 통해 반짝반짝 빛나는 해수면을 볼 수 있다. 멀리 바라보면 하늘과 바다가 이어져 한색으로 어우러진다, 그 모습은 마치 그들의 조화로운 연애를 연상케 했다.	The venue, with its grand floor-to-ceiling windows, offered a stunning view of the glistening sea merging with the azure sky, a perfect reflection of their inseparable love.						0
15	他们将于那样的美好中，向对方托付自己的一切。	他們將於那樣的美好中，向對方託付自己的一切。	広大な海と空に見守られながら、二人はお互いに自分のすべてを託し合うだろう。	그들은 그런 아름다움 속에서, 상대방에게 자신의 모든 것을 맡겼다.	In that serene beauty, they would devote themselves entirely to each other.						0
16	身体互相依靠，灵魂抵死缠绵。	身體互相依靠，靈魂抵死纏綿。	そして身も心も一つになり、魂まで交わっていく。	육체를 서로 의지한 체 영혼 깊은 곳까지 사로잡혀 빠져나오지 못했다.	Bodies and souls entwined, they would declare their undying affection.						0
17	而走到终点，最后站在那“领奖”的高台时，应该还要有“获奖感言”。	而走到終點，最後站在那「領獎」的高台時，應該還要有「得獎感言」。	これは間違いなく、生涯最高の「受賞式」。となれば、「受賞コメント」も欠かせない。	종점에 도달하고, 마지막 '수상' 무대에 오르려면 '수상 소감'이 있어야 한다.	And at the end of the aisle, standing on that platform, they would need to share a few heartfelt words.						0
18	不过，到底要说些什么呢。	不過，到底要說些什麼呢。	しかし、一体何を言えばいいんだろう？	근데, 대체 무슨 말을 해야 하는 거야.	What should I say?						0
19	少女遐想着那一刻，思考那将与心意一起送达给他的，纯白色的，誓词。	少女遐想著那一刻，思考那將與心意一起送達給他的，純白色的，誓詞。	少女は全力で考えた。この気持ちは、一体どんな言葉にしたら伝わるだろうか？	소녀는 잠시 생각에 잠겼고, 그녀의 마음과 함께 전해줄, 순수한 선언문을 고민했다.	Lost in thought, she imagined that moment, pondering the pure, heartfelt vows she would offer, filled with her deepest feelings.						0
20	想要向他倾诉的实在太多，千言万语反而都因此萦绕在胸口，那些心意难以具象，无法变成从笔尖倾泻的文字。	想要向他傾訴的實在太多，千言萬語反而都因此縈繞在胸口，那些心意難以具象，無法變成從筆尖傾瀉的文字。	しかし、彼に伝えたいことはあまりにも多く、とてもひとことやふたことで伝えきれるものではなかった。	그에게 말하고 싶은 게 정말 많았지만, 수많은 말들이 가슴속에 맴돌았고, 구현하기 힘든 말들은 오히려 글로 써 내려가기 힘들었다.	There was so much she wanted to tell him, but the words tangled in her heart, eluding her pen.						0
21	真讨厌……在这里坐了这么长时间，居然一个字都没憋出来。	真討厭……在這裡坐了這麼長時間，居然一個字都沒憋出來。	本当、嫌になっちゃう……何時間も考えたのに、いい言葉が思いつかない。	정말 짜증 나… 이렇게 오래 앉아 있었는데 한 글자도 못 썼잖아.	Ugh... I've been sitting here forever and got nothing.						0
22	哼，肯定是笨蛋分析员老是在终端找本小姐聊天，耽搁了本小姐的灵感。	哼，肯定是笨蛋分析員老是在終端機找本小姐聊天，耽擱了本小姐的靈感。	それもこれも、全部あのバカ分析員のせいよ。メッセージをこんなに送ってきて、こっちは返事するたびに気が散るのよ！	흥, 바보 분석가가 항상 단말기로 나랑 대화를 해서 이 몸의 영감이 다 사라진 게 분명해.	Hmph, it's all that dummy's fault! Always messaging me, stealing my muse.						0
23	娇憨嘀咕完，她的手掌按在胸口，感受到自己蓬勃的心跳，思绪被忽然扯回了那个有些激烈的夜晚。	嬌憨嘀咕完，她的手掌按在胸口，感受到自己蓬勃的心跳，思緒被忽然扯回了那個有些激烈的夜晚。	独り言をしながらも、ファニーは自分の早まる鼓動をはっきりと自覚する。あの人のことを考えると、あの激しい夜が脳裏に蘇る。	귀엽게 불평을 중얼거린 뒤, 그녀는 손바닥을 가슴 앞에 두고 힘차게 뛰고 있는 심장을 느끼며 격렬했던 그 밤의 기억을 떠올렸다.	She grumbled playfully, placing her hand over her chest, feeling the strong rhythm of her heart. Her mind drifted back to that wild night.						0
24	可恶啊，那天只有我一个人，被分析员从头到脚，从内到外，从身体到灵魂都搅弄得一塌糊涂。	可惡啊，那天只有我一個人，被分析員從頭到腳，從內到外，從身體到靈魂都攪弄得一塌糊塗。	ほんっとうにムカつくわ。あたしだけ、一方的にめちゃくちゃにされるなんて、不公平よ。	젠장, 그날 나 혼자만 분석가 때문에 머리부터 발끝까지, 안에서 밖에까지 육체에서 영혼까지 다 엉망진창이 되었어.	Darn it... That night, it was just me, completely overwhelmed by the Adjutant from head to toe, inside and out, body and soul.						0
25	明明我也想要占据主动，居然一句话都说不出来。	明明我也想要佔據主動，居然一句話都說不出來。	あたしだって、たまにはリードしたいのに……なのに、あの時のあたし、何も言えなかった。	나도 주도권을 잡고 싶었는데, 한마디도 하지 못했어.	I tried to take the lead, but I couldn't even get a word out!						0
26	错失了反败为胜的良机，她还想要抢回主动权的话，后天的庆典就是良机。	錯失了反敗為勝的良機，她還想要搶回主動權的話，後天的慶典就是良機。	チャンスを一度逃した彼女が主導権を握りたいなら、明後日の式典しかない。	역전할 기회를 놓쳤지만 주도권을 다시 가져오고 싶다면 모레에 있을 축제가 절호의 기회이다.	Having missed her chance to take control, she saw the upcoming celebration as her chance for redemption.						0
27	而誓词，将成为她的“武器”。她也想要给予分析员一些直击灵魂的体验。	而誓詞，將成為她的「武器」。她也想要給予分析員一些直擊靈魂的體驗。	そのためには、誓いの言葉を工夫しなければならない。分析員の魂を揺さぶる武器になる言葉を、どうしても絞り出したい。	그리고 선언문이 그녀의 '무기'가 될 것이다. 그녀도 분석가에게 영혼이 직격탄을 맞는 느낌을 체험시켜 주고 싶었다.	And her vow would be her "weapon" — she wanted to blow the Adjutant's mind so much that his very soul would tremble.						0
28	这样想着，她的目光落向终端的界面。	這樣想著，她的目光落向終端的介面。	そう考えながら、彼女は視線を端末に戻す。	그녀는 이런 생각을 하며 단말기 화면으로 시선을 옮겼다.	With that determination, her gaze returned to the terminal's screen.						0
b-1											0
29	——通讯与简讯记录——	——通訊與簡訊記錄——	——通信記録——	——통화 및 메시지 기록——	——Message History——						0
b-2											0
30	——联系人——	——聯絡人——	——連絡先——	——연락처——	——Contacts——						0
b-3											0
31	最喜欢的人（置顶）	最喜歡的人（置頂）	大好きな人（ピン留め）	가장 좋아하는 사람(상단 고정)	[Pinned] My Favorite Person						0
b-4											0
32	——22:23——	——22:23——	——22：23——	——22:23——	——22:23——						0
33	<span color="#91BBFFFF">最喜欢的人</>\n要我过来吗？	<span color="#91BBFFFF">最喜歡的人</>\n要我過來嗎？	<span color="#91BBFFFF">大好きな人</>\n今から行ってもいいか？	<span color="#91BBFFFF">가장 좋아하는 사람</>\n내가 갈까?	<span color="#91BBFFFF">My Favorite Person</>\nWant me to come over?						0
34	<span color="#FDAE6FFF">分析员的小狮子</>\n不许来！分析员肯定又想来做坏事……你明天要出任务，不能起不来。	<span color="#FDAE6FFF">分析員的小獅子</>\n不准來！分析員一定又想來做壞事……你明天要出任務，不能起不來。	<span color="#FDAE6FFF">分析員のライオンちゃん</>\nダメ！来たらまた変なことする気でしょ？……あんた、明日も任務があるじゃない。	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n오지 마! 또 나쁜 짓 하려고 그러지… 내일 임무에 나가야 하는데, 못 일어나면 안 돼.	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nNo! You're just looking to do bad things to me again... Plus, you have a mission tomorrow, you need your rest!						0
35	<span color="#FDAE6FFF">分析员的小狮子</>\n还有，分析员记得改下名字，别以为我给你备注了就不会注意到……“狮子管理员”是什么奇怪的名字？？！	<span color="#FDAE6FFF">分析員的小獅子</>\n還有，分析員記得改下名字，別以為我給你備註了就不會注意到……「獅子管理員」是什麼奇怪的名字？？！	<span color="#FDAE6FFF">分析員のライオンちゃん</>\nそれと、変なニックネーム使わないでよ！気づかないとでも思ってるわけ！？「ライオン飼育員」って何よ！？	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n그리고 이름 좀 바꿔, 내가 애칭으로 바꿨다고 모를 줄 아나 본데… '사자 관리자'가 대체 뭐야!	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nAlso, change that ridiculous name on your profile. You think I wouldn't notice because I gave you a nickname on my terminal? Nuh-uh! "Lion Keeper"? Really?						0
36	<span color="#91BBFFFF">最喜欢的人</>\n有问题吗，我觉得很好啊。	<span color="#91BBFFFF">最喜歡的人</>\n有問題嗎，我覺得很好啊。	<span color="#91BBFFFF">大好きな人</>\n何か問題でも？私はいいと思うけど。	<span color="#91BBFFFF">가장 좋아하는 사람</>\n무슨 문제 있어? 난 정말 좋은데?	<span color="#91BBFFFF">My Favorite Person</>\nWhat's wrong with it? I think it's a good name.						0
37	<span color="#FDAE6FFF">分析员的小狮子</>\n太羞耻了！！！	<span color="#FDAE6FFF">分析員的小獅子</>\n太羞恥了！！！	<span color="#FDAE6FFF">分析員のライオンちゃん</>\n恥ずかしすぎるわよ！！	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n너무 수치스러워!!!	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nIt's too embarrassing!!!						0
38	<span color="#91BBFFFF">最喜欢的人</>\n改成“后天结芬”你觉得怎么样？	<span color="#91BBFFFF">最喜歡的人</>\n改成「後天結芬」你覺得怎麼樣？	<span color="#91BBFFFF">大好きな人</>\nじゃあ、「ファニーは俺の嫁」なんてどうだ？	<span color="#91BBFFFF">가장 좋아하는 사람</>\n그럼 '모레 결혼'으로 바꿀까?	<span color="#91BBFFFF">My Favorite Person</>\nHow about "Fenny's Future Hubby," then?						0
39	<span color="#FDAE6FFF">分析员的小狮子</>\n……你就不能老老实实改回原来的名字吗。	<span color="#FDAE6FFF">分析員的小獅子</>\n……你就不能老實改回原來的名字嗎？	<span color="#FDAE6FFF">分析員のライオンちゃん</>\n……大人しく自分の名前にしなさいよ。	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n… 그냥 원래 이름으로 하면 안 돼?	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\n...Can't you stick with your original name?						0
40	<span color="#91BBFFFF">最喜欢的人</>\n你都不肯叫我一声亲爱的。	<span color="#91BBFFFF">最喜歡的人</>\n你都不肯叫我一聲親愛的。	<span color="#91BBFFFF">大好きな人</>\nダーリンって呼んでくれたら考えてもいい。	<span color="#91BBFFFF">가장 좋아하는 사람</>\n왜 날 자기야라고 안 불러줘?	<span color="#91BBFFFF">My Favorite Person</>\nYou don't even call me "darling."						0
41	<span color="#FDAE6FFF">分析员的小狮子</>\n亲爱的亲爱的亲爱的亲爱的亲爱的！	<span color="#FDAE6FFF">分析員的小獅子</>\n親愛的親愛的親愛的親愛的親愛的！	<span color="#FDAE6FFF">分析員のライオンちゃん</>\nダーリンダーリンダーリンダーリンダーリン！	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n자기야자기야자기야자기야자기야!	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nDarling, darling, darling, darling, darling!						0
42	<span color="#91BBFFFF">最喜欢的人</>\n嗯。	<span color="#91BBFFFF">最喜歡的人</>\n嗯。	<span color="#91BBFFFF">大好きな人</>\nいいね。	<span color="#91BBFFFF">가장 좋아하는 사람</>\n응.	<span color="#91BBFFFF">My Favorite Person</>\nThat's more like it.						0
43	<span color="#FDAE6FFF">分析员的小狮子</>\n明天的也叫过了。	<span color="#FDAE6FFF">分析員的小獅子</>\n明天的也叫過了。	<span color="#FDAE6FFF">分析員のライオンちゃん</>\nついでに明日の分まで呼んだからね。	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n내일 거까지 다 불렀네.	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nThere, I even covered the quota for tomorrow.						0
44	<span color="#91BBFFFF">最喜欢的人</>\n芬妮是当天晚上吃撑了，第二天就不吃饭的那种人吗？	<span color="#91BBFFFF">最喜歡的人</>\n芬妮是當天晚上吃撐了，隔天就不吃飯的那種人嗎？	<span color="#91BBFFFF">大好きな人</>\nファニーって、一日に2日分食べたら、翌日何も食べなくてもいいタイプなのか？	<span color="#91BBFFFF">가장 좋아하는 사람</>\n페니는 그날 배 터지게 먹었다고, 다음날에 밥을 안 먹는 사람이었어?	<span color="#91BBFFFF">My Favorite Person</>\nSo, when Fenny stuffs herself at night, she just skips meals the next day?						0
45	<span color="#FDAE6FFF">分析员的小狮子</>\n？？？	<span color="#FDAE6FFF">分析員的小獅子</>\n？？？	<span color="#FDAE6FFF">分析員のライオンちゃん</>\n？？？	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n???	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\n???						0
46	<span color="#FDAE6FFF">分析员的小狮子</>\n懒得理你。快改！	<span color="#FDAE6FFF">分析員的小獅子</>\n懶得理你。快改！	<span color="#FDAE6FFF">分析員のライオンちゃん</>\nわけのわからないこと言ってないで、さっさと変えなさい！	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n귀찮게 하지 말고, 어서 바꿔!	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nI'm not letting you distract me right now. Just change your name!						0
47	“狮子管理员（最喜欢的人）”\n修改名字为\n“playername（最喜欢的人）”	「獅子管理員（最喜歡的人）」\n修改名字為\n「playername（最喜歡的人）」	「ライオン飼育員（大好きな人）」がニックネームを「playername（大好きな人）」に変更しました。	 '라이언 관리자(가장 좋아하는 사람)'에서\n'playername(가장 좋아하는 사람)'으로\n변경.	"Lion Keeper (My Favorite Person)"\nUpdated to\n"playername (My Favorite Person)"						0
48	<span color="#FDAE6FFF">分析员的小狮子</>\n真乖，现在顺眼多了。	<span color="#FDAE6FFF">分析員的小獅子</>\n真乖，現在順眼多了。	<span color="#FDAE6FFF">分析員のライオンちゃん</>\n素直でよろしい。やっとまともな名前になったわね。	<span color="#FDAE6FFF">분석가의 리틀 라이언</>\n잘했어, 이제야 좀 보기 좋아졌네.	<span color="#FDAE6FFF">The Adjutant's Little Lioness</>\nGood boy. Looks much better now.						0
49	<span color="#91BBFFFF">最喜欢的人</>\n毕竟是我亲爱的芬妮小姐的命令。	<span color="#91BBFFFF">最喜歡的人</>\n畢竟是我親愛的芬妮小姐的命令。	<span color="#91BBFFFF">大好きな人</>\n大好きなファニーからのお願いだからな。	<span color="#91BBFFFF">가장 좋아하는 사람</>\n나의 사람 페니의 명령이잖아.	<span color="#91BBFFFF">My Favorite Person</>\nAnything for my dearest Fenny.						0
