xxx_198747837	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	这一次，不会再让你从我这儿溜走了！	這一次，不會再讓你從我這裡溜走了！	今回は、絶対に逃がさないからっ！	이번에는 도망가게 내버려두지 않을 거다!	You're not getting away this time!						0
2	唔呃！！！！	嗚呃！！！！	ぐっ……！	으악!!!!	Urrgh!!!						0
3	那怪物本想振翅起飞，但是那刚刚羽化出的翅膀，却被米娅一枪轰碎。	那怪物本來想振翅起飛，但是剛剛羽化出的翅膀，卻被米婭一槍轟碎。	起源種は飛んで逃げようとしたが、生えたばかりの翼はミアの銃弾に撃ち抜かれた。	괴물은 날개를 펼쳐 날아오르려 했지만, 날개가 막 생겨나자마자 미아의 사격에 산산조각 났다.	The creature tried to unfurl new wings and escape, but with a single shot, Mia blasted them apart.						0
4	霎时间，璀璨的羽翼碎片如同星屑般飘满整个宇宙，而后，下坠。成为了将其死死扣牢在这片大地上的暴雨。	霎時間，璀璨的羽翼碎片如同星屑般飄滿整個宇宙，而後，下墜。成為了將其死死扣牢在這片大地上的暴雨。	その瞬間、キラキラ輝く翼の欠片は星屑のように宇宙の中を舞い、起源種の頭上から降り注ぐ豪雨となった。	그 순간, 찬란한 날개 파편이 별 가루처럼 우주를 가득 채우더니 금세 추락했고, 이 땅에 단단히 고정시키는 폭우가 되었다.	In an instant, radiant fragments scattered like stardust across the cosmos, then rained down in a storm that drove it crashing to the ground.						0
5	分析员，晴姐姐，就是现在！	分析員，晴姐姐，就是現在！	分析員、晴姉、今だよっ！	분석가, 하루 언니, 바로 지금이야!	Adjutant, Miss Haru, now!						0
6	收到，最后一击就交给我……	收到，最後一擊交給我……	わかった。トドメは自分が……	응, 마지막 일격은 나한테 맡겨…	Got it. I'll give it the final blow...						0
b-1											0
7	站到晴的身边。	站到晴的身邊。	晴の横に立つ	하루의 곁으로 간다.	Step up beside Haru						0
8	分析员？！	分析員？！	分析員！？	분석가?!	Adjutant...!?						0
9	晴，一起上吧。	晴，一起上吧。	晴、一緒に行こう。	하루, 같이 가요.	Let's end this together, Haru.						0
10	……嗯！	……嗯！	……ああ！	… 응!	...Mm!						0
11	无数的光粒从我们的脚下涌现，流向少女的剑刃上，汇聚成了切开黑暗的光柱。	無數的光粒從我們的腳下湧現，流向少女的劍刃上，匯聚成了切開黑暗的光柱。	無数の光の粒が私たちの足元から湧き出し、\n晴の剣に集まり、闇を切り裂く光の柱となった。	무수한 빛의 입자가 우리의 발밑에서 솟아나고 소녀의 검날로 흘러 들어가더니, 어둠을 가르는 빛의 기둥이 되었다.	Countless motes of light surged from beneath us, streaming into her blade. They converged into a radiant beam that tore through the dark.						0
b-2											0
12	握紧她手中的剑柄	握緊她手中的劍把	彼女と一緒に剣を握る	그녀의 검자루를 함께 잡는다	Grasp her hand, wrapped tight around the hilt						0
13	仅以此剑为引——	僅以此劍為引——	この剣に導かれて——	오직 이 검으로…	With this sword as my guide...						0
14	万般思念，化作光芒，汇聚此刃——	萬般思念，化作光芒，匯聚此刃——	万感の思いよ！光と化し、剣に宿れ――	모든 그리움이 빛이 되어, 이 칼날에 모인다…	Let every longing blaze into light, and gather upon this edge...						0
15	霆光，永劫断绝！！！	霆光，永劫斷絕！！！	雷光、永劫断絶！！！	번개여, 영원히 단절하라!!!	Raikou, sever eternity!						0
16	咳……	咳……	ぐはっ……	크윽…	Ghhk—!						0
17	还没有结束……我……	還沒結束……我……	私は……まだ……終わって……いない……	아직 안 끝났어… 나는…	This isn't... over... I...						0
18	最后的言语还没有说完，自它胸口那狰狞的空洞开始，崩塌便已开始蔓延。	最後的話語還沒有說完，自它胸口那猙獰的空洞開始，崩塌便已開始蔓延。	最後の言葉を言い終わらないうちに、彼女の体が胸の禍々しくおぞましい裂け目から崩壊し始めた。	마지막 말을 못다 한 채, 녀석의 가슴에 난 섬뜩한 구멍으로부터 붕괴가 시작되었다.	Its last words faded into silence. The collapse began, radiating outward from the gaping void in its chest.						0
19	伴随着响彻虚空的巨响，那头诞生于恐惧中的巨兽轰然倒地。	伴隨著響徹虛空的巨響，那頭誕生於恐懼中的巨獸轟然倒地。	虚空に響き渡る轟音と共に、恐怖から生まれた巨大な獣は地面に倒れ込んだ。	허공을 울리는 거대한 굉음과 함께, 공포 속에서 태어난 그 거대한 괴물이 쓰러졌다.	With a thunderous crash that echoed through the void, the colossus born of fear finally fell.						0
