xxx_1953936235	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	也许，我无法抵达那个位置， 拼尽全力都抵达不了。	也許，我無法抵達那個位置，拼盡全力都抵達不了。	たぶん、あたしが全力を出しても、あそこまでは辿り着けないかもしれない。	어쩌면, 나는 그곳에 닿지 못할지도 모르겠다. 온 힘을 다해도 도달하지 못할 것이다.	Maybe no matter how hard I try, I'll never reach it.						0
2	但即便如此，我依旧选择迈开脚步，奔跑起来。	但即便如此，我依舊選擇邁開腳步，奔跑起來。	それでもあたしは、走ることにした。	하지만 그럴지라도, 나는 발걸음을 내딛고 달릴 것이다.	Even so, I chose to take that first step. To start running.						0
3	啊……一定是这样的，我一定是为了能够触及到那道光芒，才奔跑起来的。	啊……一定是這樣的，我一定是為了能夠觸及到那道光芒，才奔跑起來的。	うん……きっとそう。あの光に触れるために、走り始めたのだと思う。	아… 분명 그럴 것이다. 나는 그 빛에 닿기 위해 달리기 시작한 게 분명하다.	Ah... that must be it. I started running because I wanted to reach that light.						0
4	映入眼帘的是一望无际的天空。	映入眼簾的是一望無際的天空。	視界に入るのは果てしない空だった。	끝없는 하늘이 시야에 들어왔다.	Beyond, an endless sky unfurled.						0
5	那是无需仰视，仅仅是目视前方便能看到的风景。	那是無需仰望，僅是目視前方便能看到的風景。	それは見上げる必要もなく、前を見るだけで見える景色だった。	올려다볼 필요도 없이, 단지 정면만 바라보아도 볼 수 있는 풍경이었다.	It was a view that needed no upward glance. One needed simply look ahead to see it.						0
6	没有可以踏足的道路，也没有尽头。	沒有可以踏足的道路，也沒有盡頭。	踏みしめる道もなければ、終わりもない。	발을 디딜 수 있는 길도, 끝도 없었다.	It offered no road to tread upon, and no end in sight.						0
7	与生活在地面上的人不同，生活在新恒提罗的人们似乎并没有“边界”的概念。	與生活在地面上的人不同，生活在新恆提羅的人們似乎沒有「邊界」的概念。	地上で暮らす人々とは異なり、ニューガントラで暮らす人々には「境界」という概念がないらしい。	지상에 사는 사람들과는 달리, 뉴헨틸로에 사는 사람들은 '경계'라는 개념이 없는 듯했다.	Unlike those below, the people of New Hentiro lived as if "boundaries" didn't exist.						0
8	可即便如此，她们似乎依旧被什么东西拖住了脚步。	但即便如此，她們好像仍被什麼東西拖住了腳步。	それでも、何かに足を引っ張られているようだ。	그런데도 그녀들은 여전히 무언가에 발이 묶여있는 것 같았다.	And yet... something still held them back.						0
9	……	……	……	……	...						0
10	正是这一望无际的天空。	正是這一望無際的天空。	この果てしない空こそが。	바로 이 끝없는 하늘.	That very same sky.						0
