xxx_1307884244	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	敌人……好像没有追上来。	敵人……好像沒有追上來。	敵は……追ってきてないみたい。	적들이… 쫓아오지 않는 것 같아.	The enemies don't seem to be following us...						0
2	伴随着身后的巨响，敌人的炮火被彻底隔绝在了那一扇沉重的大门后。	伴隨著身後的巨響，敵人的砲火被徹底隔絕在了那一扇沉重的大門後。	背後の轟音と共に、敵の砲火は重厚な扉の向こうに完全に遮断された。	뒤에서 굉음이 울리는 동시에, 적들의 포화는 묵직한 대문 뒤로 완전히 차단되었다.	A thunderous boom echoed as the heavy door slammed shut, cutting off the enemy's barrage inside.						0
3	而外面的世界，似乎也并未察觉到刚刚的异变，一切都静若来时。	而外面的世界，似乎也並未察覺到剛剛的異變，一切都靜若來時。	外の世界は、異変に気付いていないようで、来た時と同じくらい静かだった。	그리고 외부의 세계는 방금 일어난 이상 현상을 전혀 눈치채지 못한 듯, 모든 것이 막 도착했을 때처럼 조용했다.	Outside, the world seemed unaware of the disturbance — everything was as calm as before.						0
4	四周没有一个路人，远处也没有任何骚动……看样子外围的安保系统并未被入侵。	四周沒有一個路人，遠處也沒有任何騷動……看起來外面的保全系統並未被入侵。	周囲に人影はなく、遠くで騒ぎが起きた様子もない……どうやら外周の警備システムは侵入されていないようだ。	주변에 행인은 한 명도 없고, 멀리서도 소란스러운 기색이 전혀 없었다… 외곽의 보안 시스템은 침입당하지 않은 것 같았다.	No pedestrians in sight, no commotion in the distance... It looked like the external security systems hadn't been breached.						0
5	嗯，它们的行动权限被限制在汉诺塔内部。	嗯，它們的行動權限被限制在漢諾塔內部。	ハイ、敵の行動権限は、ハノイの塔内部に制限されているノデ。	음, 녀석들의 행동 권한은 하노이 타워 내부로 제한되어 있네요.	Yes. Their operational range is confined to the Tower of Hanoi.						0
6	看来入侵者还没有完全掌控这套系统。	看來入侵者還沒有完全掌控這套系統。	侵入者はまだシステムを完全にハッキング出来てないようだ。	침입자들이 아직 이 시스템을 완전히 통제하진 못한 모양이야.	It seems the intruders haven't fully seized control of the system yet.						0
7	分析员，芙提雅和猫汐尔发来回信，她们发来了接入系统的申请。	分析員，芙提雅和貓汐爾回訊，她們傳來了接入系統的申請。	分析員、フリティアとマーシルから返事があった。システムへの接続申請を出したとのことだ。	분석가, 프티야와 캣 시에라에게서 회신이 왔는데, 시스템 접속 신청을 보내왔어.	Adjutant, Fritia, and Mauxir just replied — they're requesting system access.						0
8	宇迦，麻烦你了。	宇迦，麻煩你了。	ユガ、頼めるか。	우카, 부탁할게.	YUGA, if you would.						0
9	接入许可已发送。有了两位的协助，我方预计在2小时内从入侵者手中夺回控制权。	接入許可已傳送。有了兩位的協助，我方預計在2小時內從入侵者手中奪回控制權。	アクセス許可を送信しマシタ。お二人のご協力により、2時間以内に制御権を奪還できそうデス。	접속 허가를 발송했습니다. 두 사람의 도움을 받는다면, 2시간 이내에 침입자로부터 제어권을 되찾을 수 있을 것으로 예상됩니다.	Access granted. With their support, control over the system is projected to be regained from the intruders within two hours.						0
10	说起入侵者……分析员，在星辉室时究竟发生了什么？	說起入侵者……分析員，在星輝室時究竟發生了什麼？	分析員、侵入者についてのことだが……星輝の部屋で一体何があったんだ？	침입자 얘기가 나왔으니 말인데… 분석가, 별빛 공간에서 대체 무슨 일이 있었던 거야?	About the intruders... Adjutant, what exactly happened in the Starlight Hall?						0
11	……	……	……	……	...						0
12	我看到了一个熟悉的身影。	我看到了一個熟悉的身影。	お馴染みのあいつに会ったんだ。	익숙한 모습을 봤어요.	I saw a familiar figure.						0
13	见四周已无追兵，于是我便向三人说明了我在那个空白空间所经历的一切。	見四周已無追兵，於是我便向三人說明了我在那個空白空間所經歷的一切。	追っ手がいなくなったのを見て、私は3人にあの空間で起きたことを説明した。	주변에 추격자가 없는 것을 확인한 나는 그 공백 공간에서 겪었던 모든 일을 세 사람에게 설명해 주었다.	With no pursuers in sight, I told them everything that had happened in that void.						0
14	从那个黑雾扩散开始，再到我展开心流内景，最后，是那个形似罗赞的女人利用黑洞逃向了天界乐土……	從那個黑霧擴散開始，再到我展開心流內景，最後，是那個形似羅贊的女人利用黑洞逃向了天界樂土……	黒い霧が拡散したこと、私が心象風景を展開したこと、最後はあのロザンに似た人影が黒い渦を通して天界楽土に逃げ込んだこと。	검은 안개가 퍼지기 시작한 순간부터, 내가 내면의 흐름을 펼치고, 마지막으로 로잔을 닮은 여자가 블랙홀을 이용해 천계낙원으로 도망간 순간까지…	From the spreading black mist, to when I called on my inner mind to defend myself, and finally — the woman resembling Rozan who escaped into the Elysium through a black hole...						0
15	但是不知道为何，即便是刚刚发生的事情，但我的记忆似乎有些模糊了。	但我不知道為何，即便是剛剛發生的事情，但我的記憶似乎有點模糊了。	しかし、ついさっきの出来事のはずなのに、私の記憶は妙にぼやけている気がする。	하지만 왜인지 모르게, 방금 일어난 일인데도 내 기억이 조금 흐릿해진 것 같았다.	But strangely, even though it had just happened, my memory was already starting to fade.						0
16	其中有些决定性的画面，无论如何都无法回忆起来。	其中有些關鍵性的畫面，無論如何都無法回憶起來。	特に、その中でも決定的な場面が、なぜかどうしても思い出せない。	그중 몇 가지 결정적인 장면들은 어떻게 해도 기억해 낼 수가 없었다.	And no matter how hard I tried, I couldn't recall certain decisive moments.						0
17	罗赞……那就和情报吻合了。	羅贊……那就和情報吻合了。	ロザンか……それなら情報と一致するな。	로잔… 그렇다면 정보와 일치하네.	Rozan... that lines up with intel.						0
18	哎？什么情报？	欸？什麼情報？	え？なんの情報？	응? 무슨 정보?	Huh? What intel?						0
19	部分当初在天界乐土庆典现场的升格体曾表示，她们在天界乐土的黑洞中，看到了罗赞的身影。	部分當初在天界樂土慶典現場的升格體曾表示，她們在天界樂土的黑洞中，看到了羅贊的身影。	騒ぎになった当時、天界楽土に居合わせた昇格体が証言しマシタ。黒い渦の中で……ロザンの姿を目撃したそうデス。	당시 천계 낙원 축제 현장에 있던 일부 승격체들이, 천계 낙원의 블랙홀 속에서 로잔의 모습을 봤다고 진술했습니다.	A few transcendents present at the Elysium celebration reported seeing Rozan within one of the black holes.						0
20	这么说那个女人，她又回来了吗……	這麼說那個女人，她又回來了嗎……	じゃあ、あの人がまた戻ってきたんだ……	그렇다면 그 여자가 다시 돌아온 건가…	So that woman... she's really back...?						0
21	米娅握紧了拳头，嘴角微微颤抖。	米婭握緊了拳頭，嘴角微微顫抖。	ミアは拳を握りしめ、唇を微かに震わせた。	주먹을 꽉 쥔 미아의 입가가 미세하게 떨렸다.	Mia clenched her fists, her lips quivering.						0
22	作为土生土长的新恒提罗人，她对罗赞的敌意自然万分深刻。	作為土生土長的新恆提羅人，她對羅贊的敵意自然萬分深刻。	ニューガントラで生まれ育った彼女の胸には、ロザンへの憎悪が深く刻まれていた。	태생부터 뉴헨틸로 사람인 그녀는, 로잔에 대한 적대감이 우리 중 누구보다도 더 날카롭고 순수했다.	As a native of New Hentiro, Mia's hatred for Rozan burned pure and fierce.						0
23	但这份敌意之下，还涌动着更为复杂的情绪。	但這份敵意之下，還湧動著更為複雜的情緒。	しかしその敵意の下には、さらに複雑な感情が渦巻いていた。	하지만 이 적대감 아래에는, 더욱 복잡한 감정이 소용돌이치고 있었다.	Yet beneath that hatred stirred something far more complex:						0
24	初次见到外来者时的困惑，尊严与生存权利被践踏后的愤怒，以及……	初次見到外來者時的困惑，尊嚴與生存權利被踐踏後的憤怒，以及……	初めて外来者と会った時の戸惑い、尊厳と生存権を踏みにじられた怒り、そして……	처음 외지인을 봤을 때의 혼란, 존엄과 생존권이 짓밟힌 후의 분노, 그리고…	The confusion of facing an intruder for the first time. The fury of having her dignity — her very right to exist — trampled, and...						0
25	藏在那微微发抖的指尖里，连她自己都不愿承认的……	藏在那微微發抖的指尖裡，連她自己都不願承認的……	微かに震える指先に隠された、彼女自身も認めたくない……	미세하게 떨리는 손끝에 숨겨진, 그녀 자신조차 인정하기 싫어하는…	Hidden in the faint tremor of her fingertips, something she wouldn't admit...						0
26	恐惧。	恐懼。	恐怖心。	두려움.	Fear.						0
27	不，现在下结论还太早了，也不排除有可能是其他人伪装成她发动袭击。	不，現在下結論還太早了，也不排除有可能是其他人偽裝成她發襲擊。	いや、結論を出すのはまだ早い。他の誰かが彼女になりすまして攻撃を仕掛けてきた可能性もある。	아니, 아직 단정 짓기엔 일러. 다른 누군가가 그녀로 위장해서 공격했을 가능성도 있지.	No. It's too early to jump to conclusions. Someone might've been posing as her to stage the whole attack.						0
28	处于信息态下的物质对人类的意识很敏感。	處於資訊態下的物質對人類的意識很敏感。	情報体の物質は、人間の意識に敏感に反応する。	이념 형태 상태의 물질은 인간의 의식에 매우 민감하니까.	Matter in a fragmented state responds strongly to human consciousness.						0
