xxx_828447974	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	呜……这也太高了吧……就没有电梯能直达吗？	嗚……這也太高了吧……就沒有電梯能直達嗎？	うう……高すぎるし……エレベーターとかないの？	으으… 너무 높잖아… 바로 가는 엘리베이터는 없는 거야?	Woah... This is way too high... Isn't there, like, an express elevator or something?						0
2	很遗憾，汉诺塔内并未设置直达顶层的电梯。	很遺憾，漢諾塔內並未設有直達頂樓的電梯。	残念ながら、ハノイの塔には塔頂へ向かうエレベーターはアリマセン。	죄송하지만, 하노이 타워에는 최상층으로 바로 이동하는 엘리베이터가 설치되어 있지 않습니다.	I'm afraid not. The Tower of Hanoi was never equipped with direct transport to the top floor.						0
3	你们平时都是这样……只用一块浮空踏板上去的吗？	你們平常都是這樣……只用一塊浮空踏板上去的嗎？	普段からこんなふうに……タイルに乗って登るのか？	너희는 평소에도 이렇게… 공중 발판 하나로만 올라가는 거야?	So this is how you usually ascend? Using only a floating platform?						0
4	嗯，理论上是这样的，但实际上自从卡尔帕娜女士离世过后，那里就再也无人造访了。	嗯，理論上是這樣的，但實際上自從卡爾帕娜女士離世後，那裡就再也無人造訪了。	はい、理論上そうなりマスが、カルパナさんが世を去ったあと、そこを訪れた人はイマセン。	네. 이론상으로는 그렇습니다만, 사실 칼파나 여사가 돌아가신 이후로는 아무도 그곳을 방문하지 않았습니다.	In theory, yes. But since Lady Kalpana's passing, no one has set foot there again.						0
5	但恒沙的本体，一直都在那里注视着一切，对吧？	但恆沙的本體，一直都在那裡注視著一切，對吧？	でもゴウシャの本体はずっとそこから、すべてを見守ってきたんだろう？	하지만 항사의 본체는 계속 거기서 모든 것을 지켜보고 있잖아, 안 그래?	And yet... the host of GANGES has remained up there all this time, keeping its watchful gaze on everything below — hasn't it?						0
6	唔，就好像高居云端的神明大人一样，用天空划清了自己与凡人的界限……	嗯……就好像高居雲端的神明大人一樣，用天空劃清了自己與凡人的界線……	ふーん……雲の上にいる神様って感じで、あたしたち「凡人」と壁を作ってるみたいだね……	음, 마치 구름 위의 신처럼, 하늘로 자신과 인간들의 경계를 그어놓은 것 같아…	Mmm... like some goddess in the clouds, using the sky itself as the boundary between her and everyone else...						0
7	米娅嘟起小嘴，就这样当着代理人小姐的面吐槽道。	米婭嘟起小嘴，就這樣當著代理人小姐的面吐槽道。	ミアは口を尖らせ、代理人に遠慮することなく文句を言い出した。	미아는 입을 삐죽거리며, 대리인 아가씨 앞에서 대놓고 투덜거렸다.	Mia's lips curved into a faint pout as she commented right in front of the proxy.						0
8	您误会了，米娅小姐。	您誤會了，米婭小姐。	それは誤解デス。	오해입니다, 미아 아가씨.	You misunderstand, Miss Mia.						0
9	卡尔帕娜女士，她毕生的理想就是创造一个所有人类都能不分高低贵贱，和谐共处的世界。	卡爾帕娜女士，她畢生的理想就是創造一個所有人類都能不分高低貴賤，和諧共處的世界。	カルパナさんは、全人類が地位に囚われず、ともに生きる世界を作るために努力してきマシタ。	칼파나 여사는, 모든 인류가 계급이나 귀천 없이 조화롭게 공존하는 세상을 만드는 것이 평생의 꿈이었습니다.	Lady Kalpana's lifelong dream was to build a world where humanity could live in harmony — a society free from status, hierarchy, or class.						0
10	而新恒提罗只是卡尔帕娜女士迈出的第一步，同时，也是她在当时条件下能够抵达的极限。	而新恆提羅只是卡爾帕娜女士踏出的第一步，同時，也是她在當時條件下能夠抵達的極限。	ニューガントラはカルパナさんの夢への第一歩であり、当時の条件で到達できる最頂点だったのデス。	그리고 뉴헨틸로는 칼파나 여사가 내디딘 첫걸음일 뿐이자, 당시 조건에서 도달할 수 있는 한계였습니다.	New Hentiro was only the first step... and the furthest she could reach within the constraints of her era.						0
11	总有一天，我们会彻底消除这片天空的分界线。	總有一天，我們會徹底消除這片天空的分界線。	いつか、この空の境界線を完全に消してみせマス。	언젠가는, 저희가 이 하늘의 경계선을 완전히 없앨 겁니다.	One day, we will erase that boundary in the sky completely.						0
12	嗯……“总有一天”啊……	嗯……「總有一天」啊……	ふーん……「いつか」ね……	음… '언젠가는'이라…	"One day," huh...						0
13	米娅若有所思地重复了一遍代理人小姐的话，随后便将头扭了过去。	米婭若有所思地重複了一遍代理人小姐的話，隨後便將頭扭了過去。	ミアは思案しながら代理人の言葉を繰り返し、そっと顔を背けた。	미아는 생각에 잠긴 듯 대리인 아가씨의 말을 한 번 더 되뇌고는 고개를 돌렸다.	Mia echoed the proxy's words thoughtfully, then turned her gaze away.						0
