xxx_3412841009	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	为了明天的仪式，罗森兰所有的裁缝都齐聚庄园，为我们赶制礼服。	為了明天的儀式，羅森蘭所有的裁縫匠都齊聚莊園，為我們趕製禮服。	明日の式に向けて、ローズランの仕立て職人たちが総出で屋敷に集まり、私たちの礼服を急いで仕立ててくれている。	내일 의식을 위해 로젠란의 모든 재봉사들이 장원에 모여 서둘러 우리의 예복을 만들고 있었다.	It felt as if every skilled tailor in Luchellan had been summoned to the Andreotti manor, all scrambling to finish our outfits before tomorrow's ceremony.						0
2	而茉莉安被类似试衣、试妆的各种杂事拖住了脚步，困在自己的房间中。	而茉莉安被試衣、試妝等的各種雜事拖住了腳步，困在自己的房間中。	マリアンは試着やメイクなど儀式の準備で、自分の部屋から出られずにいた。	마리안 역시 의상 피팅, 메이크업 등 온갖 일에 발이 묶여 자신의 방에 갇혀 있었다.	Marian had been tucked in her room all day, caught up in make-up trials and a steady rotation of outfit fittings.						0
3	虽然安德烈奥蒂家为我们安排了各自的房间，但安卡希雅还是习惯和我睡在一起。	雖然安德烈奧蒂家為我們安排了各自的房間，但安卡希雅還是習慣和我睡在一起。	アンドレオッチ家は、個人個人に部屋を用意してくれていたが、アカシアは私と一緒に寝たいのか、	안드레오티 가문에서는 우리에게 각각 방을 배정해 주었지만, 아카시아는 나와 함께 자는 것을 선호했다.	Although the Andreottis gave each of us our own room, Acacia still ended up in mine. She's used to sleeping beside me, after all.						0
4	这会就赖在我的床上，津津有味地翻看着一本礼服图集。	現在就賴在我的床上，津津有味地翻看著一本禮服圖集。	今も私の部屋のベッドの上でごろごろしながら、ドレスカタログのページを興味津々でめくっている。	지금도 내 방 침대에서 예복 도안을 열심히 넘겨보고 있었다.	Right now, she's sprawled across my bed, idly flipping through a formalwear pamphlet as if she has all the time in the world.						0
5	而玛德琳则站在我身后，正用各种工具实验着明天仪式上的造型。	而瑪德琳則站在我身後，正用各種工具實驗著明天儀式上的造型。	マデリンのほうは、私の後ろに立ち、様々な道具を使って明日の儀式のヘアスタイルを試している。	한편 마들렌은 내 뒤에 서서 내일 의식에서 선보일 헤어스타일을 여러 도구로 실험하고 있었다.	Madeleine stood behind me, testing different tools as she experimented on my hair for tomorrow's ceremony.						0
6	虽然她的眼睛盯着我的头发，目光却渐渐涣散失焦，整个人看上去心不在焉的。	雖然她的眼睛盯著我的頭髮，目光卻漸漸渙散失焦，整個人看上去心不在焉的。	彼女は私の髪を見つめていたが、心ここにあらずなのか、どこかしら、ぼーっとしている。	내 머리에 고정되어 있던 그녀의 시선은 점점 초점을 잃고 흐려지더니 완전히 딴생각에 빠진 듯 보였다.	Her eyes were on me, but the focus wasn't. Her gaze had gone distant, her mind clearly elsewhere.						0
7	等到一阵糊味传来，电夹板和我头发接触的地方还发出轻微的滋滋声，玛德琳才回过神来。	等到一陣燒焦味傳來，電棒和我頭髮接觸的地方還發出輕微的滋滋聲，瑪德琳才回過神來。	焦げ臭いにおいが漂い、ヘアアイロンと私の髪が接触している部分からジューッと音がしたとき、マデリンはようやく我に返った。	탄 냄새가 풍기고, 고데기와 내 머리카락이 닿은 부분에서 지직거리는 소리가 나자, 마들렌은 그제야 정신을 차렸다.	She didn't snap out of it until the sharp scent of burnt hair hit her. The curling iron in her hand was still pressed to a strand of my hair, sizzling.						0
8	啊！糊了！糊了！	啊！焦了！焦了！	あちゃ……焦げちゃったわ！	아! 탔다! 탔어!	Oh no! It's burning!						0
9	她用手疯狂扇着从我发丝处冒出的缕缕黑烟，试图补救一下，但为时已晚。	她用手瘋狂扇著從我髮絲處冒出的縷縷黑煙，試圖補救一下，但為時已晚。	彼女は手で髪から立ち上る煙を必死に扇いだが、もう手遅れだった。	그녀는 내 머리카락에서 검은 연기가 피어오르자 손으로 미친 듯이 부채질하며 수습하려 했지만, 이미 때는 늦었다.	She started frantically fanning at the thin trail of smoke as if that would reverse anything, but the damage was already done.						0
