xxx_987887790	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	清晨。	清晨。	朝。	이른 아침.	Early morning.						0
2	规律作息养成的生物钟准时地将我唤醒，恍惚了片刻后，我轻轻掀开被子一角，走下了床。	規律作息養成的生理時鐘準時地將我喚醒，恍惚了片刻後，我輕輕掀開被子一角，走下了床。	規則正しい生活習慣のおかげで、私は朝になったら自然と目が覚める。布団の中で少しぼんやりしたあと、私は起き上がってベッドから降りた。	규칙적인 생활로 길든 바이오리듬이 정확한 시간에 나를 깨웠고, 나는 잠시 멍하니 있다가 이불 한쪽을 살며시 들춰 침대에서 내려왔다.	My body clock, trained by a strict routine, woke me right on time. Still a little groggy, I gently peeled back the edge of my blanket and slipped out of bed.						0
3	在我的床上，凯茜娅正伴随着均匀的呼吸声，沉沉熟睡着，嘴角还挂着一抹浅笑。	在我的床上，凱茜婭正伴隨著均勻的呼吸聲，沉沉熟睡著，嘴角還掛著一抹淺笑。	私のベッドでは、カーシアがわずかに微笑みながら、寝息を立てて静かに眠っている。	캐시아는 내 침대에서 고른 숨소리를 내며 깊이 잠들어 있었고, 입가에는 옅은 미소도 걸려 있었다.	Katya was fast asleep on my bed, breathing evenly, a faint smile lingering at the corner of her lips.						0
4	虽然我们已经恒约，但比起去她的房间共度春宵，她倒是一如既往的，更喜欢在晚上突然出现在我的房间里，昨天也不例外。	雖然我們已經恆約，但比起去她的房間共度春宵，她倒是一如既往的，更喜歡在晚上突然出現在我的房間裡，昨天也不例外。	私たちはすでに誓約を結んだ仲だが、彼女は私を自分の部屋に招くよりも、不意に私の部屋に突撃してくるのが好きなようだ。もちろん昨夜も例外ではなかった。	우리는 언약을 맺었지만, 그녀는 자기 방에서 함께 밤을 보내기보다는 평소처럼 밤마다 내 방에 불쑥 나타나곤 했고, 어제도 예외는 아니었다.	It's been a while since our Covenant ceremony, but she still prefers sneaking into my room at night over inviting me into hers. Last night was no exception.						0
5	我没有打搅她的好梦，而是走到了一旁的桌前，打开终端开始浏览今天要处理的文件和报告。	我沒有打擾她的好夢，而是走到了一旁的桌前，打開終端開始瀏覽今天要處理的檔案和報告。	彼女を起こすことなく、ベッド横の机の前に座ると、私は端末で今日分の書類と報告書を確認しはじめた。	나는 그녀의 단잠을 방해하지 않고 옆에 있는 책상으로 갔고, 단말기를 켜서 오늘 처리해야 할 파일과 보고서를 살펴보기 시작했다.	Not wanting to disturb her, I walked over to my desk, switched on my terminal, and dove into the files and reports waiting for me today.						0
6	一小时后，在我手头的工作告一段落的同时，我也听到身后传来翻身的声音。	一小時後，我手頭的工作告一段落的同時，我也聽到身後傳來翻身的聲音。	一時間を使って仕事をおおむね片付けた頃、後ろから寝返りを打つ音が聞こえてきた。	한 시간 후, 하던 일이 마무리될 즈음 뒤에서 몸을 뒤척이는 소리가 들렸다.	An hour later, just as I wrapped up my work, I heard her shift behind me.						0
7	凯茜娅？	凱茜婭？	カーシア？	캐시아?	Katya?						0
8	……嗯。	……嗯。	……ん。	… 응.	...Yeah.						0
9	带着半梦半醒的声音，她回应了我的呼唤。	帶著半夢半醒的聲音，她回應了我的呼喚。	彼女は寝ぼけた声で私に答えた。	그녀는 반쯤 잠에 취한 목소리로 내 부름에 답했다.	She answered in a sleepy, half-awake voice.						0
