xxx_2179237169	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	在等待克罗瑞娜醒来的时间里，我一直在回想着关于她的种种。	在等待克羅瑞娜醒來的時間裡，我一直在回想著關於她的種種。	クラウリナが目覚めるのを待つ間、私はずっと彼女との記憶を思い返していた。	클라리나가 깨어나기를 기다리는 동안, 나는 계속 그녀에 대한 것들을 생각했다.	While waiting for Clarina to wake, I kept thinking back on everything about her.						0
2	虽然她自幼被当作名门淑女培养，肩负着成为下一任继承人的期许，但在繁琐的教条之外，她并非一个拘谨扭捏的女孩。	雖然她自幼被當作名門淑女培養，肩負著成為下一任繼承人的期許，但在繁瑣的教條之外，她並非一個拘謹扭捏的女孩。	彼女は幼い頃から名家の令嬢として育てられ、次期後継者となる期待を背負っているが、煩雑な掟から離れた彼女は、堅苦しくて気取った少女ではなかった。	어릴 때부터 명문가의 숙녀로 육성되어 후계자가 될 것이라는 기대를 받았지만, 까다로운 규범 밖에서의 그녀는 결코 딱딱하거나 수줍음 많은 소녀가 아니었다.	Although she'd been raised since childhood to be a proper lady, groomed to become the family heiress, beneath all the rigid decorum, she wasn't reserved or bashful.						0
3	她更不会讳疾忌医——何止是不会，她甚至是我见过的所有成年病患者中情绪最稳定的一个。	她更不會逃避問題——何止是不會，她甚至是我見過的所有成年病患者中情緒最穩定的一個。	ましてや病気を隠して治療を拒むようなこともない――それどころか、彼女は私が今まで見てきたティーン症候群の患者の中で、最も情緒が安定している一人だった。	게다가 그녀는 병을 숨기고 치료를 꺼리지도 않았다. 심지어, 내가 본 모든 성인병 환자 중 감정이 가장 안정적인 사람이었다.	Nor had she ever shied away from her illness, in fact, far from it. Among all the Juvosis patients I'd met, she had been the calmest, the most composed.						0
4	当然，那还是她在进行神格神经移植手术之前。	當然，那還是在她進行神格神經移植手術之前。	もちろん、それは彼女が神格神経の移植手術を受ける前の話だが。	물론, 그건 그녀가 만트라 신경 이식 수술을 받기 전의 일이다.	That had been, of course, before she'd undergone the Theotropic Nerves implant.						0
5	咬……不行……分析员……	咬……不行……分析員……	噛んじゃ……だめ……分析員さん……	물면… 안 돼… 분석가…	Bite... No... Adjutant...						0
6	睡梦中的她一直在喃喃着什么，除了我的名字，其他字句都有些模糊。	睡夢中的她一直在喃喃著什麼，除了我的名字，其他字句都有些模糊。	眠っている彼女は何かを呟いたが、私の名前以外の他の言葉は少し聞き取りにくい。	잠든 그녀는 계속 무언가를 중얼거렸는데, 내 이름을 제외하고는 알아들을 수 없는 말들이었다.	In her sleep, she kept murmuring something. Aside from my name, the rest made no sense to me.						0
7	那么只剩下一种可能了。	那麼只剩下一種可能了。	となると、考えられる可能性は一つしかない。	그렇다면 남은 가능성은 한 가지.	Then only one possibility remained.						0
8	我看着熟睡中的克罗瑞娜。	我看著熟睡中的克羅瑞娜。	私は眠っているクラウリナを見つめた。	나는 깊게 잠든 클라리나를 바라보았다.	I looked at the sleeping Clarina.						0
9	手术之后，她身上似乎发生了某些变化，而这些变化，或许她现在还难以言说。	手術之後，她身上似乎發生了某些變化，而這些變化，或許她現在還難以言說。	手術後、彼女の身に何らかの変化が起きた。そしてその変化は、今の彼女には言葉にし難いものなのだろう。	수술이 끝난 후 그녀에게 어떠한 변화가 생긴 것 같았고, 그녀는 아직은 말하기가 곤란한 듯했다.	After the surgery, something about her seemed to have changed, something she probably couldn't yet put into words.						0
10	突然这么着急，发生什么事了吗？	突然這麼著急，發生什麼事了嗎？	そんなに急いで、何かあったのですか？	이렇게 갑자기 부르다니, 무슨 일이라도 있어요?	What's the rush? Did something happen?						0
11	这个回头再解释吧，我要的资料你找到了吗？	這個之後再解釋吧，我要的資料你找到了嗎？	あとで説明する。頼んでいた資料は見つかったか？	그건 나중에 설명해 줄게. 내가 요청한 자료는 찾았어?	I'll explain later. Did you find the files I asked for?						0
12	短时间只找得到这些，从克罗瑞娜术后到现在的各项记录，全在这里了。	短時間只找得到這些，從克羅瑞娜術後到現在的各項記錄，全在這裡了。	短時間ではこれくらいしか見つけられませんでした。クラウリナの術後から現在までの各種記録は、全部ここにあります。	당장은 이것밖에 못 찾았어요. 클라리나의 수술 후부터 지금까지의 각종 기록이 전부 여기 있어요.	These are all the records I could find from after Clarina's surgery on such short notice.						0
13	不过我已经看过一遍，她最近的各项检查都没问题。	不過我已經看過一遍，她最近的各項檢查都沒問題。	でも、一度目を通しましたけど、直近の検査結果は問題ありませんでしたよ。	제가 한번 확인해 봤는데, 최근 검사 결과는 모두 문제없었어요.	I went through them, no abnormalities in her recent tests.						0
14	在今天的训练中，虽然她使用了天启能力，但一切表现也都正常，听说当时分析员也在场？	在今天的訓練中，雖然她使用了天啟能力，但一切表現也都正常，聽說當時分析員也在場？	今日の訓練で、彼女は能力を使いましたが、特に不審な点はありませんでした。分析員もその場にいたと聞きましたが。	오늘 훈련에서 계시 능력을 사용했지만, 모든 것이 정상이던데요. 분석가님도 그때 현장에 계셨다면서요?	Even during today's training, when she used her Manifestation power, everything seemed normal. And I heard you were there?						0
15	嗯，那之后……大概一顿饭的时间吧，她出现了明显异样的表现。	嗯，那之後……大概一頓飯的時間吧，她出現了明顯異樣的表現。	ああ、その後……もっと言えば食事中に、彼女に明らかな異変があった。	응, 그 뒤로… 밥 한 끼 정도의 시간이 지나니까, 분명한 이상 증세가 나타났어.	I was. It wasn't long after that she started acting strange.						0
16	虽然通常不会发生这种事，但也不排除因为激发天启能力而导致身体有异常反应。	雖然通常不會發生這種事，但也不排除因為激發天啟能力而導致身體有異常反應。	普通ならこんなことは起きませんが、覚醒者の力を使ったために起きた異変である可能性は否めません。	드문 일이긴 하지만, 계시 능력 활성화로 몸에 이상 반응이 나타났을 가능성도 배제할 수는 없어요.	It's never happened before, but we can't rule out the possibility of physical reactions triggered by stimulating her Manifestation powers.						0
17	毕竟当时她成为天启者的时候，就有你的参与。	畢竟當時她成為天啟者的時候，就有你的參與。	何せ彼女が覚醒者となった時も、あなたの関与があったのですから。	클라리나가 계시자가 되었을 때, 분석가님도 참여하셨잖아요.	Come to think of it, you were involved when she became a Manifestation.						0
18	还记得吧，当时克罗瑞娜完成神格神经移植手术后，那个“坏消息”。	還記得吧，當時克羅瑞娜完成神格神經移植手術後，那個「壞消息」。	覚えていますよね？当時、クラウリナが神格神経の移植手術を終えたあと、あなたに話したあの「悪い知らせ」。	기억하시죠? 당시 클라리나가 만트라 신경 이식 수술을 완료한 후의 그 '나쁜 소식'이요.	Remember the "bad news" we got about her implant?						0
19	她似乎产生了一些奇幻小说中才有的特殊……特殊体质？或者说癖好？	她似乎產生了一些奇幻小說中才有的特殊……特殊體質？或者說癖好？	とにかく、小説でしか見られない特殊な……体質？もしくは癖？が出たんですよ。	판타지 소설에나 나올 법한 특수… 특이 체질이랄까요? 아니면 특이 취향?	It's like something out of a fantasy novel — some kind of new... physiology. Or maybe we should call it a fetish.						0
20	总之就是，她对你的肉体产生了一些……冲动？	總之就是，她對你的肉體產生了一些……衝動？	要するに、あなたの体に、欲望を持つようになった、みたいな……？	결론적으로, 당신의 육체에 대해 어떤… 충동을 느끼게 되었죠.	In short, she's experiencing certain... urges.						0
21	不只是血液——任何包含你DNA的体液，她应该都会产生本能的欲望。	不只是血液——任何包含你DNA的體液，她應該都會產生本能的慾望。	血液だけでなく、あなたのDNAを含む体液全般を本能的に欲するようになりました。	피뿐만 아니라, 당신의 DNA가 포함된 모든 체액에 대해서 본능적인 욕구를 느낄 거예요.	Not just for your blood. Any body fluid carrying your DNA... becomes instinctively irresistible to her.						0
22	好吧。如果不摄入我的，嗯……体液，会有什么不良反应吗？	好吧。如果不攝入我的，嗯……體液，會有什麼不良反應嗎？	そうか。私の体液を摂取しないと、副作用が起きるのか？	그래. 그럼 나의, 음… 체액을 섭취하지 않으면 부작용 같은 게 생길까?	Fine. So if she doesn't, uh... get any of my fluids — will it affect her?						0
23	那可能还需要再观察一下。目前来看，在神格侵蚀里摄入的血液产生了一些意想不到的效果。	那可能還需要再觀察一下。目前來看，在神格侵蝕裡攝入的血液產生了一些意想不到的效果。	それは、もうちょっと観察しないとわかりませんね。現時点で言えるのは、彼女がこうなったのは、神格侵蝕中に摂取したあなたの血が、意外な効果を生んだからです。	그건 좀 더 관찰해야 해요. 현재로서는, 만트라 침식 중에 섭취한 혈액이 예상치 못한 효과를 일으켰어요.	We're still monitoring. But for now, it looks like your blood during the Flooding triggered some unexpected reactions.						0
24	推测是神格神经摄取了你的DNA，这导致她在和你相处的时候，神格神经就会产生反应，想要摄取更多。	推測是神格神經攝取了你的DNA，這導致她在和你相處的時候，神格神經就會產生反應，想要攝取更多。	一応、神格神経があなたのDNAを摂取した影響だと考えられます。あなたが近くにいると神格神経が反応して、DNAを欲しがるのではないかと思います。	만트라 신경이 분석가님의 DNA를 흡수한 것 같아요. 그래서 당신과 있을 때면 만트라 신경이 반응해서 더 많이 흡수하려고 할 거예요.	We think the Theotropic Nerves took in your DNA — and now, just being near you sets something off. She ends up craving more.						0
25	如果你不在她附近晃悠，大概就不会有什么反应吧。	如果你不在她附近晃，大概就不會有什麼反應吧。	まぁ、逆に言えば、彼女に近寄らなければ大丈夫、ってことです。	분석가님이 그녀 근처에 있지만 않으면, 별다른 반응은 없을 거예요.	As long as you don't spend too much time around her, the urges might not surface.						0
26	看来终于出现了啊，那个未知的“不良反应”。	看來終於出現了啊，那個未知的「不良反應」。	ついに現れたようだな。未知の「副作用」が。	그 알 수 없는 '부작용'이 드디어 나타났군요.	I think we can agree that the urges did surface.						0
27	也许在更早的时候我就该注意到……	也許在更早的時候我就該注意到……	もっと早く気づくべきだった……	내가 더 일찍 알아채야 했는데…	I probably should have noticed it earlier...						0
28	两个人相互依靠的荒岛，还有坠落时她咬到我的嘴角，吸食我的鲜血后倏而生出的翅膀……	兩個人相互依靠的荒島，還有墜落時她咬到我的嘴角，吸食我的鮮血後瞬間長出的翅膀……	二人で寄り添った無人島、墜落時に彼女が私の口元を噛み、私の血を吸ったあとに突如として生えた翼……	무인도에서 서로 의지하던 그때, 그리고 추락할 때 그녀가 내 입술을 물어 내 피를 빨아먹은 순간 돋아난 날개까지…	When we had relied on each other on that deserted island, and when she had bitten my lip, drunk my blood, and suddenly grown wings...						0
29	随着她对神格神经的适应，当初你那一部分被摄取的DNA，对她所产生的影响，恐怕比我们之前预估的还要大。	隨著她對神格神經的適應，當初你那一部分被攝取的DNA，對她所產生的影響，恐怕比我們之前預估的還要大。	彼女が神格神経に適応するにつれて、当時摂取されたあなたのDNAの一部が彼女に、予測していたよりも大きな影響を与えているのかもしれません。	그녀가 만트라 신경에 적응하면서 그때 당신의 DNA를 조금 섭취했던 게, 우리 예상을 뛰어넘을 정도로 그녀에게 영향을 끼쳤나 봐요.	As she adapts to the Theotropic Nerves, it seems your DNA's influence on her might be far greater than we predicted.						0
30	我看着卡罗琳，将当初那个“耐人寻味”的眼神回敬给她。	我看著卡羅琳，將當初那個「耐人尋味」的眼神回敬給她。	私は当時カロリンから向けられた「意味深」な目で彼女を見つめた。	나는 캐롤린을 바라보며, 당시 그 '의미심장한' 눈빛을 되돌려주었다.	I stared at Caroline, returning the "hmm" look she'd given me back then.						0
31	咳咳，别这么看着我。	咳咳，別這麼看著我。	コホン。そんな目で見ないでください。	크흠, 그렇게 보지 마세요.	Ahem... Don't look at me like that.						0
32	总之，更确切的评估还需要进一步检查。	總之，更確切的評估還需要進一步檢查。	とにかく、より正確に診断するにはさらなる検査が必要です。	어쨌든, 더 정확한 평가를 위해서는 추가 검사가 필요해요.	We'll need further tests to make a more precise assessment.						0
33	只能靠你了。	只能靠你了。	あなたに頼るしかありません。	당신에게 달렸죠.	Just take care of her in the meantime.						0
34	卡罗琳给出了中肯的建议，但我总觉得，这件事情应该并没有那么复杂。	卡羅琳給出了中肯的建議，但我總覺得，這件事情應該並沒有那麼複雜。	カロリンは的確なアドバイスをくれたが、この問題はそんなに複雑なものではないとなぜか感じてしまった。	캐롤린은 중립적인 조언을 해주었지만, 나는 사실 이 일이 그리 복잡하지 않다는 생각이 들었다.	Caroline's advice was fair, but somehow I felt like things weren't that complicated.						0
35	或者说，虽然现在的情况看起来复杂，但解决的关键，其实只在我和克罗瑞娜之间。	或者說，雖然現在的情況看起來複雜，但解決的關鍵，其實只在我和克羅瑞娜之間。	というか、今の状況は複雑に見えるが、解決の鍵は、実は私とクラウリナの間にある。	다르게 말하자면, 지금 상황이 복잡해 보이긴 해도, 해결의 열쇠는 사실상 나와 클라리나 사이에만 있다.	Or rather, while it might have seemed complicated on the surface, the key to solving this problem lay in the hands of just Clarina and me.						0
36	不论是我对她的影响，还是她对我的贪恋，命运已经将我和她紧紧连在了一起。	不論是我對她的影響，還是她對我的貪戀，命運已經將我和她緊緊連在了一起。	私が彼女に与える影響であれ、彼女が私に抱く執着心であれ、運命はすでに私と彼女を強く結びつけている。	내가 그녀에게 미치는 영향이든, 나에 대한 그녀의 갈망이든, 운명은 이미 나와 그녀를 단단하게 연결했다.	Whether it was how I was affecting her, or her urges for me, fate had already bound us together.						0
37	回到房间，克罗瑞娜仍然沉睡着，浅浅的呼吸带着身体微微起伏，小脸被宽大的被子围得严实，眉头微微蹙着。	回到房間，克羅瑞娜仍然沉睡著，淺淺的呼吸帶著身體微微起伏，小臉被寬大的被子圍得很緊，眉頭微微蹙著。	部屋に戻ると、クラウリナはまだ深く眠っていた。浅い呼吸に合わせて体がわずかに上下し、顔は大きな布団にしっかりと包まれ、眉をわずかにひそめていた。	방으로 돌아와 보니 클라리나는 여전히 잠들어 있었다. 얕은 숨결에 따라 몸이 조금씩 오르내리고, 작은 얼굴은 커다란 이불에 꽁꽁 싸인 채, 미간을 살짝 찌푸리고 있었다.	When I returned to her room, Clarina was still asleep. She was tucked securely under the blanket. Her body rose and fell slightly along her shallow breaths, and her brows were faintly furrowed.						0
38	（还是不舒服？）	（還是不舒服？）	（まだ気分が悪いのか。）	(아직도 아픈가?)	(Was she still not feeling well?)						0
39	小心地扒开被子摸了摸她的脸颊，还是有些烫。	小心地扒開被子摸了摸她的臉頰，還是有點燙。	慎重に布団をめくって彼女の頬に触れると、まだ少し熱かった。	이불을 살며시 걷어내고 그녀의 얼굴을 만져보니, 아직도 조금 뜨거웠다.	Carefully pulling the blanket aside, I felt her cheek — still a bit too warm.						0
40	我坐回她的床边，手里拿了块清水打湿的新毛巾，轻轻地点在她露在外面的脸颊和额头上。	我坐回她的床邊，手裡拿了塊清水打濕的新毛巾，輕輕地點在她露在外面的臉頰和額頭上。	私はベッドの縁に座り、水で濡らしたタオルを彼女の頬と額にそっと当てた。	나는 그녀의 침대 옆에 다시 앉아, 깨끗한 물에 적신 새 수건으로 그녀의 뺨과 이마에 살짝 대었다.	I sat down beside her bed and gently dabbed at her cheeks and forehead with a clean, damp towel.						0
41	呼……	呼……	ふぅ……	후우…	Whew...						0
42	也许是因为我的动作，也许是感受到我的靠近，她皱着的眉头终于慢慢舒展开来。	也許是因為我的動作，也許是感受到我的靠近，她皺著的眉頭終於慢慢舒展開來。	私の動きの影響か、私の接近を感じたのか、彼女の眉はようやく徐々にほぐれていった。	나의 행동 때문이었는지, 내가 다가왔다는 걸 느꼈는지, 그녀의 찌푸린 미간이 서서히 펴졌다.	Maybe it wiped away some of the discomfort, or maybe she sensed my presence, but the tension in her brows slowly eased.						0
43	对我而言，却有一种混杂着熟悉感的温馨涌了上来……对了，那是在我和克罗瑞娜被困荒岛的时候。	對我而言，卻有一種混雜著熟悉的溫馨感湧了上來……對了，那是在我和克羅瑞娜被困荒島的時候。	すると私の心に、どこか懐かしい温もりが込み上げてきた。……そうだ。私とクラウリナが無人島にいた時もこうだった。	어딘가 익숙한 따스함이 내 마음에 밀려왔다… 기억났다, 나와 클라리나가 무인도에 갇혀 있을 때였다.	A warm, familiar feeling welled up inside me... This reminded me of when we'd been stranded on the island.						0
44	当时，就在我睡过去的时候，模糊的印象里，也感觉到克罗瑞娜就像这样坐在我的床边。	當時，就在我睡過去的時候，模糊的印象裡，也感覺到克羅瑞娜就像這樣坐在我的床邊。	私が眠っていたとき、クラウリナもこうして私のベッドサイドに座っていたんだろうと、ぼんやりながら感じた。	내가 잠들었을 때, 클라리나도 지금의 나처럼 내 침대 옆에 앉아 있었던 것이 어렴풋이 기억났다.	Back then, when I'd drifted to sleep, I'd vaguely felt her sitting by my side just like this.						0
45	握住我的手，嘴里喃喃恳求祈祷着什么。	握住我的手，嘴裡喃喃懇求祈禱著什麼。	私の手を握って、何かを呟きながら祈っていた。	내 손을 잡고, 무언가를 간절히 기도하며 중얼거렸다.	She'd held my hand and murmured some kind of prayer.						0
46	而等我醒来的时候，简陋的小屋被打扫得干净整齐，满是饭菜的香气，床边还有几束新采的野花。	而等我醒來的時候，簡陋的小屋被打掃得乾淨整齊，滿是飯菜的香氣，床邊還有幾束新採的野花。	私が目を覚ましたとき、粗末な小屋はきれいに掃除されていて、食事の香りで満たされ、ベッドの脇には野花の花束がいくつか置いてあった。	깨어나 보니 허름한 오두막은 깨끗하게 정돈되어 음식 냄새가 가득 풍겼고, 침대 옆에는 싱싱한 들꽃 다발도 놓여 있었다.	When I'd woken up, the shabby cabin had been cleaned spotless, the air filled with the smell of warm food, and there had been wildflowers by my bed.						0
