xxx_1317129503	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	那么……分析员是答应我了，那种更近的距离，对吧？	那麼……分析員是答應我了，那種更近的距離，對吧？	それは……いいってことよね？	그럼… 그런 더 가까운 거리를, 분석가도 원하는 거지?	So, Adjutant... the promise earlier, it still counts, right?						0
2	嗯。	嗯。	ああ。	응.	Of course.						0
3	嗯。	嗯。	そう。	응.	Okay, then...						0
4	克罗瑞娜慢慢地走过来，手抚上我的身体。	克羅瑞娜慢慢地走過來，手撫上我的身體。	クラウリナはゆっくりと手で私の体に触れた。	클라리나가 천천히 다가와 내 몸에 손을 올렸다.	Clarina slowly stepped closer, her hand sliding along my body.						0
5	接着她稍稍用力，将我轻轻推倒在馨香柔软的床上。	接著她稍稍用力，將我輕輕推倒在馨香柔軟的床上。	そして、彼女は少し力を入れて、私を香り立つ柔らかいベッドにそっと押し倒した。	그러고는 살짝 힘을 주어, 나를 향기로운 침대 위로 부드럽게 밀어냈다.	With a gentle push, she eased me down onto the soft, fragrant bed.						0
6	完完全全地交融……	完完全全地交融……	それじゃあ、完全に溶け合いましょう……	서로 완전히 얽히는 거야…	I want to be one with you...						0
7	克罗瑞娜一手撑在我的上方，另一只手轻柔地抚摸着我的胸膛。	克羅瑞娜一手撐在我的上方，另一隻手輕柔地撫摸著我的胸膛。	クラウリナは片手を私の上に置き、もう一方の手で私の胸を優しく撫でた。	클라리나가 한 손으로 내 위쪽을 짚고, 다른 손으로는 부드럽게 내 가슴을 어루만졌다.	She braced herself above me with one hand, the other tracing across my chest.						0
8	第一颗扣子、第二颗扣子、第三颗……	第一顆扣子、第二顆扣子、第三顆……	ボタンを一つ、二つ、三つ……	첫 번째 단추, 두 번째 단추, 세 번째…	The first button, second, third...						0
9	我用手掌抚住她的侧脸，鼓励着她的行为。	我用手掌撫住她的側臉，鼓勵著她的行為。	私は手のひらで彼女の頬を撫で、行動を促した。	나는 그녀의 뺨을 감싸며, 그녀의 행동을 격려했다.	I cupped her face with my palm, encouraging her.						0
10	唔……然后……接下来……	嗯……然後……接下來……	えっと……それで……次は……	으음… 그다음… 그다음에는…	And then... Hmm... What next...						0
11	她的脸颊绯红，思考着下一步的行动。	她的臉頰緋紅，思考著下一步的行動。	彼女の頬は赤く染まり、次の行動を考えていた。	얼굴이 붉게 물든 그녀는 다음 행동을 고민했다.	Her cheeks flushed rosy as she pondered.						0
12	真是为难她了，大概刚刚的几个动作对她来说已经是全部的知识储备。	真是為難她了，大概剛剛的幾個動作對她來說已經是全部的知識。	本当に彼女を困らせてしまったようだ。さっきの動きが、おそらく彼女の知識の全てだったのだろう。	난처했을 것이다. 방금 그 몇 가지 동작이 그녀가 아는 모든 것일지도 모르겠다.	The few moves just now had probably been the full extent of her knowledge.						0
13	掌心在她的右脸侧摩挲，我恶作剧地将大拇指伸进樱唇中。	掌心在她的右臉側摩挲，我惡作劇地將大拇指伸進櫻唇中。	手で彼女の右の頬をさすり、私はいたずら心から親指を桜色の唇に差し込んだ。	그녀의 오른뺨을 쓰다듬으며, 나는 앵두 같은 입술 사이로 장난스럽게 엄지를 밀어 넣었다.	I brushed my thumb along her cheek, then mischievously slipped it between her lips.						0
14	磨蹭着湿润的唇瓣，以及小小锋利的刚冒出的虎牙尖。	摩擦著濕潤的唇瓣，以及小小鋒利的剛冒出的虎牙尖。	湿った唇と、生え始めたばかりの小さく鋭い犬歯の先端をなぞった。	촉촉한 입술과 방금 튀어나온 작고 날카로운 송곳니를 문질렀다.	Rubbing against the moist softness, over the small, sharp tips of her fangs.						0
