xxx_2878837819	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	克罗瑞娜觉得很久都没有这么顺利地入睡了。	克羅瑞娜覺得自己很久都沒有這麼順利地入睡了。	クラウリナは久しぶりにすんなりと眠りにつけた。	클라리나는 이토록 쉽게 잠드는 건 정말 오랜만이라고 생각했다.	It had been a long time since Clarina had fallen asleep so peacefully.						0
2	她一会儿梦见自己像是躺在手术台上。	她一下子夢見自己像是躺在手術台上。	彼女は時々、手術台に横たわっているような夢を見る。	그녀는 잠시 후 자신이 수술대에 누워 있는 꿈을 꾸었다.	In her dream, she found herself lying on an operating table—						0
3	安静，冰冷，让她少见地也有些害怕。	安靜，冰冷，讓她少見地也有點害怕。	静かで、冷たくて、彼女も珍しく少し怖くなった。	고요하고 차가운 그곳은 그녀도 드물게 약간 두려웠다.	Silent, cold, and frightening, even for her.						0
4	但很快，他的手牢牢地握住了她，由他传递过来的温暖，带着她走向真正的新生。	但很快，他的手牢牢地握住了她，由他傳遞過來的溫暖，帶著她走向真正的新生。	しかしすぐに、彼の手がしっかりと握ってくれて、彼から伝わってくる温もりが、彼女を本当の新生へと導いた。	하지만 그의 손이 그녀를 단단히 잡아주었고, 그로부터 전해지는 온기는 그녀를 진정 새로운 인생으로 이끌었다.	But soon, his hand gripped hers firmly. The warmth from him guided her toward a new life.						0
5	过了一会儿，她的梦境又回到了和他相拥着从飞机上坠落的那一刻。	過了一下子，她的夢境又回到了和他相擁著從飛機上墜落的那一刻。	しばらくすると、彼女は再び彼と抱き合いながら飛行機から墜落するあの瞬間に戻った。	잠시 후, 그녀는 꿈에서 그와 함께 비행기에서 추락하던 그 순간으로 돌아갔다.	A while later, the dream shifted to the moment when they'd fallen from the airplane, held in each other's arms.						0
6	她还从没经历过那么慌乱危险的时刻。	她還從沒經歷過那麼慌亂危險的時刻。	あんなに慌ただしい危機を経験したことは、彼女にはなかった。	그토록 혼란스럽고 위험한 순간은 처음 겪었다.	It had been the most perilous moment of her life.						0
7	但有他一起，即便两个人在飞速坠落，她也只觉得无比地安全。	但有他一起，即便兩個人在飛速墜落，她也只覺得無比地安全。	しかし、彼と一緒だったから、二人が急速に落下していても、彼女はただただ安心していた。	하지만 두 사람이 빠르게 추락하고 있는데도, 그와 함께하기에 그녀는 그저 안전하다는 느낌만 들었다.	Yet, with him there, even when they were plummeting through the sky, she had felt utterly safe.						0
8	她还记得在医疗舱里她做的那个梦。	她還記得在醫療艙裡她做的那個夢。	彼女は医療カプセルの中で見たあの夢を覚えていた。	그녀는 의료 캡슐 안에서 꾸었던 그 꿈을 아직도 기억한다.	She remembered another dream, the one she'd had inside the medical pod—						0
9	那是她第一次品尝到来自于他的味道。	那是她第一次品嚐到來自於他的味道。	それは彼女が初めて彼の味を口にしたときだった。	처음으로 그의 맛을 알게 된 순간이 바로 그때였다.	The first time she had tasted him.						0
10	梦里，她听见他的声音。	夢裡，她聽見他的聲音。	夢の中で、彼女は彼の声が聞こえた。	꿈속에서, 그녀는 그의 목소리를 들었다.	In that dream, she had heard his voice.						0
11	……克罗瑞娜？	……克羅瑞娜？	……クラウリナ？	… 클라리나?	...Clarina?						0
12	还是那么好听的声音，充满磁性地呼唤着她的名字。	還是那麼好聽的聲音，充滿磁性地呼喚著她的名字。	相変わらず心地のいい素敵な声で、彼女の名前を呼んでいた。	여전히 듣기 좋은 그 목소리로, 너무나도 매력적으로 그녀의 이름을 불렀다.	That charming, magnetic voice calling her name.						0
