xxx_343125310	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	距离那个花香氤氲的夜晚又过去了几天。	距離那個花香氤氳的夜晚又過去了幾天。	花の香りが漂うあの夜から、数日が過ぎた。	꽃향기로 가득했던 그 밤으로부터 며칠이 더 지났다.	A few days had passed since that fragrant night.						0
2	这天，比清晨还要稍早一些时，天还没亮，海姆达尔基地走廊空无一人。	這天，比清晨還要稍早一點時，天還沒亮，海姆達爾基地走廊空無一人。	この日の朝、まだ空が暗い頃、ヘイムダル社員寮の廊下には人影ひとつもなかった。	이날은 새벽보다도 조금 더 이른 시각이었다. 아직 날이 밝지 않은 그때, 헤임달 숙소 복도에는 아무도 없었다.	This morning before dawn, the sky was still dark, and the corridors of Heimdall Base were silent and empty.						0
3	只有一个少女的身影，徘徊在分析员的房门前。	只有一個少女的身影，徘徊在分析員的房門前。	一人の少女だけが、分析員の部屋の前をうろついていた。	분석가의 방문 앞에서 서성이는 어느 소녀의 모습만 보일 뿐이었다.	The girl lingered outside the Adjutant's door.						0
4	但她并不打算敲门。	但她並不打算敲門。	しかし、彼女はドアをノックするつもりはなかった。	하지만 그녀는 문을 두드릴 생각이 없었다.	But she had no intention of knocking.						0
5	自神格移植手术后，她对他的渴求就在以一种不被察觉的方式快速地生长着。	自神格移植手術後，她對他的渴求就在以一種不被察覺的方式快速地生長著。	神格神経移植手術を受けて以来、彼に対する渇望は人知れずに急速に育っていた。	만트라 이식 수술 이후, 그에 대한 그녀의 갈망은 눈치채지 못할 정도로 빠르게 피어나고 있었다.	Ever since her Theotropic Nerves implant, her desire had grown in ways she barely understood.						0
6	一开始，她只是会时不时冒出想要咬他的冲动。	一開始，她只是會經常冒出想要咬他的衝動。	最初はただ、時折彼を噛みたいという衝動が湧くだけだった。	처음에는 그저 그를 깨물고 싶은 충동만 가끔 떠올랐다.	At first, she would only occasionally feel the urge to bite him.						0
7	后来，与他经历了分别，经历了重逢，经历了那样的思念，以及一种找到归宿的喜悦。	後來，與他經歷了分別，經歷了重逢，經歷了那樣的思念，以及一種找到歸宿的喜悅。	その後、彼女は彼との別れと再会を、彼を想う気持ちを、帰る場所を見つけた喜びを、一通り経験した。	그 후 그와 이별을 겪고, 다시 만났고, 그로 인한 그리움과 제자리를 찾은 듯한 기쁨을 경험했다.	Then, after parting and reuniting again, after so much longing and finally the joy of finding where she belonged—						0
8	对他的渴求却并没有因此而平息，反倒愈演愈烈，终于演变成为内心深处极为焦躁的欲念。	對他的渴求卻並沒有因此而平息，反而越演越烈，終於演變成為內心深處極為焦躁的慾念。	だが彼への渇望はそれで収まることはなく、むしろ激しさを増し、ついには心の奥底で焦燥感に満ちた欲望へと変わっていった。	그에 대한 갈망은 이에 따라 잠잠해지기는커녕 오히려 더 격렬해져 결국 마음 깊은 곳에서 매우 초조한 욕망으로 변해갔다.	Her cravings for him weren't quenched. Instead, they only intensified into a restless, consuming need gnawing deep within her.						0
9	尤其当一个假期的小别之后，再次感受他的怀抱，他身上的气味令她着迷沉沦。	尤其當一個假期的小別之後，再次感受他的懷抱，他身上的氣味令她著迷沉淪。	特に短い休暇での別れのあと、再び彼の腕に抱かれ、彼の匂いを感じると、彼女は魅了され、溺れていった。	특히 휴가 때의 짧은 작별 후에 다시 그의 품을 느꼈을 때, 그에게서 나는 향기는 그녀를 사로잡아 헤어 나오지 못하게 만들었다.	Especially after a brief holiday separation, feeling his embrace again and inhaling his scent left her dizzy with delight.						0
10	最初她还有把握能克制自己，只是轻轻咬他几下便可纾解焦灼。	最初她還有把握能克制自己，只是輕輕咬他幾下便可紓解焦灼。	最初は自分を抑える自信があった。軽く彼を噛むだけで、焦燥を和らげることができた。	처음에는 나름대로 자제력이 있었던 그녀는 그를 살짝만 깨물어도 초조함을 해소할 수 있었다.	At first, she'd thought she could control herself, that just a light bite or two would ease the restlessness.						0
11	或者每次与他相处时，闻着那独一无二的属于他的味道，她也可以稍稍平息内心的波澜。	或者每次與他相處時，聞著那獨一無二的屬於他的味道，她也可以稍稍平息內心的波瀾。	あるいは、彼と一緒にいる度に、彼特有の匂いを嗅ぐことで、彼女は心の波を少し静めることができた。	또는 그의 곁에서 그 특유의 향기를 맡으면, 마음속 파도를 조금은 잠재울 수 있었다.	Or simply being near him, breathing in his unique scent, would calm the storm within.						0
12	——然而，渐渐地也不能解渴。	——然而，漸漸地也不能解渴。	――しかし、次第にそれでも渇きを癒せなくなっていった。	하지만 시간이 지날수록, 그것만으로는 갈증이 해소되지 않았다.	But gradually, they were no longer enough.						0
13	那么现在，令她困扰的问题变成了：假如一旦释放内心欲望，她需要做到什么地步，那欲望才能真正平息呢？	那麼現在，令她困擾的問題變成了：假如一旦釋放內心慾望，她需要做到什麼地步，那慾望才能真正平息呢？	すると、一度秘めた欲望をどこまで解放すれば、この渇きを癒やせるのかという悩みが、彼女を困らせた。	이제는 다른 문제가 그녀를 괴롭혔다. 내 안의 욕망을 터트리고 나면, 어느 정도 수위에 도달해야 그 욕망을 가라앉힐 수 있을까?	Now what troubled her most was: if she gave in to her urges, how far would she have to go before she could truly be satisfied?						0
14	她身体里的某种渴求，每天都在叫嚣着——靠近他，攀附他，吸吮他。	她身體裡的某種渴求，每天都在叫囂著——靠近他，攀附他，吸吮他。	彼女の中に存在するある渇望が、毎日のように叫んでいる――彼に近づきたい、彼に絡みつきたい、彼を啜りたい、と。	그녀 몸속의 어떤 갈망이 매일매일 외치고 있었다. 그에게 다가가고, 매달리고, 빨아들이라고.	Something inside her screamed every day, demanding proximity, touch, taste...						0
