xxx_3024281522	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	16区的故事，已经结束了。	16區的故事，已經結束了。	エリア16での出来事は終わった。	16구역의 이야기는 끝났다.	The story of Zone 16 had come to an end.						0
2	一幅幅纷杂的画面从我脑中闪过，最后一点点凝聚在我脑中的，是一段酣畅淋漓的纠缠。	一幅幅紛雜的畫面從我腦中閃過，最後一點點凝聚在我腦中的，是一段酣暢淋漓的糾纏。	様々なシーンが私の脳内を渦巻いて、最後に残ったシーンは、あの熱い夜だった。	혼란스러운 장면들이 머릿속을 스쳐 지나갔고, 마지막에 응축된 건 가슴 뭉클한 감정이었다.	A cascade of fragmented memories rushed through my mind, each one fleeting — until only one lingered: the heat of an unrestrained, passionate night.						0
3	我下意识伸手，揽向身边的温软，结果发现揽进怀里的是一个带着香味的枕头。	我下意識伸手，攬向身邊的柔軟，結果發現攬進懷裡的是一個帶著香味的枕頭。	手を伸ばして、横にある暖かいものを抱きしめる。しかしそれは誰かの体ではなく、いい香りがする枕だった。	무의식적으로 손을 뻗어 옆의 따스한 곳을 끌어안으려 했지만, 안겨 온 것은 향기가 밴 베개였다.	Instinctively, I reached out to embrace the supple body that had warmed me throughout the night — only to find my arms wrapped around a pillow, softly scented with her fragrance.						0
4	恩雅。	恩雅。	エンヤ。	엔야.	Enya.						0
5	我立马坐直身子，可随后躁动的心就稳稳落回了胸口。	我立刻把身體坐直，可隨後躁動的心就穩穩落回了胸口。	私はすぐに体を起こした。だがその胸騒ぎはすぐに落ち着いた。	나는 곧바로 몸을 일으켰지만 금세 요동치던 심장이 다시 차분하게 가라앉았다.	I sat up abruptly, heart pounding — then, my unease soon melted into a quiet calm.						0
6	紫发的少女就坐在床边，笑脸吟吟地望着我。她的眸光里载满如水的柔情。	紫髮的少女就坐在床邊，笑臉吟吟地望著我。她的眼神裡載滿如水的柔情。	紫色の髪の少女はベッドの横に座って、優しい目で私に微笑んでいた。	보랏빛 머리칼을 가진 소녀가 침대 곁에 앉아 부드러운 미소를 띠며 나를 바라보고 있었다. 그 눈빛에는 마치 흐르는 물과 같은 다정함이 가득했다.	There she was: the violet-haired girl, sitting at the edge of the bed, watching me with a smile. Her eyes, shimmering like velvety moonlight, were full of tender warmth.						0
7	我的分析员，你醒来了啊~	我的分析員，你醒了啊~	分析員、起きましたか。	우리 분석가, 깨어났네~	My dear Adjutant, you're finally awake~						0
8	她伸出纤手，送入我的掌心。我轻轻一拉，熟悉的，丰满的，带着幽香的身子便顺势躺在了我的怀里。	她伸出纖手，送入我的掌心。我輕輕一拉，熟悉的，豐滿的，帶著幽香的身體便順勢躺在了我的懷裡。	彼女は繊細な手を私の手のひらに置いた。それを小さく引くだけで、彼女の柔らかい体は私の腕に倒れ込んでくる。	그녀가 가녀린 손을 내밀었다. 나는 그 손을 가볍게 끌어당겼고, 익숙한 곡선이 느껴지는 향기로운 몸이 자연스럽게 내 품에 안겼다.	She extended a delicate hand, slipping it effortlessly into mine. With a soft tug, her familiar, luscious body melted into my embrace.						0
9	你什么时候醒来的。	你什麼時候醒來的。	いつ起きたんだい？	언제 일어났어요?	When did you wake up?						0
10	我低头，下巴蹭着她比绸缎还要光滑柔软的头发，手掌触碰她的脸颊。	我低頭，下巴磨蹭著她比綢緞還要光滑柔軟的頭髮，手掌觸碰她的臉頰。	私は顔を俯け、顎でエンヤのシルクのような髪に触れながら、彼女の頬をさすった。	나는 고개를 숙여 비단보다 부드럽고 매끄러운 그녀의 머리카락에 턱을 대고 손바닥으로 그녀의 뺨을 만졌다.	Lowering my head, I brushed my chin against her hair — silkier than the finest fabric — while my palm caressed her cheek.						0
11	哎呀呀，是什么时候呢？	哎呀呀，是什麼時候呢？	さ～て、いつでしょう。	흐흠, 그게 언제일까~?	Oh, now when could that have been?						0
12	她笑眯眯抓住我的手，轻轻蹭着我的手心。	她笑瞇瞇抓住我的手，輕輕蹭著我的手心。	彼女はニコニコしながら私の手のひらを撫でた。	그녀는 싱긋 웃으며 내 손을 잡더니, 손바닥에 살며시 얼굴을 비볐다.	She chuckled, her fingers curling around mine, lazily stroking my palm as if savoring the touch.						0
13	睡得不舒服吗？	睡得不舒服嗎？	よく眠れなかったのか？	잠을 잘 자지 못했나요?	Did you not sleep well?						0
14	当然不是。不如说，托分析员的福……	當然不是。不如說，託分析員的福……	そんなことないですよ。というか、分析員のおかげで……	그럴 리가 있나~? 오히려 분석가 덕분에…	Of course I did. In fact, thanks to you, last night I...						0
15	恩雅脸上浮现浅浅的红晕，在即将说出某些话时，却是一止，双手捧住自己的脸颊摇了摇头。	恩雅臉上浮現淺淺的紅暈，在即將說出某些話時，卻是一止，雙手捧住自己的臉頰搖了搖頭。	そう言いかけて、エンヤは頬をかすかに赤らめながら、自分の頬を両手で押さえて首を横に振った。	엔야의 얼굴에 옅은 홍조가 떠올랐다. 무언가를 말하려는 듯하다가 이내 멈추고는 두 손으로 자기 뺨을 감싸며 고개를 저었다.	A soft blush rose on her cheeks. She seemed ready to say more but hesitated, cupping her face and shaking her head bashfully.						0
16	不行，有些害羞的话，就算是姐姐我呀，也有些说不出口。	不行，有些害羞的話，就算是姐姐我，也有點說不出口呢。	ううん。こういう恥ずかしい言葉はやっぱり私でも言えません。	안 돼, 이런 부끄러운 말은… 차마 못 하겠어.	My, my... Even I have a few words that are just a little too daring to say.						0
17	总之，分析员不用担心我。	總之，分析員不用擔心我。	とにかく、心配しなくても大丈夫です。	어쨌든, 분석가는 나 걱정 안 해도 돼.	Anyway, you don't need to worry about me, Adjutant.						0
18	我会忽然醒来，只是因为我做了一个梦。	我會忽然醒來，只因為我做了一個夢。	急に目が覚めたのは、ある夢を見たからです。	갑자기 깨어난 건, 꿈을 꿔서 그래.	I woke up just because of a dream.						0
19	什么样的梦？	什麼樣的夢？	どんな夢だ？	어떤 꿈이었나요?	What kind of dream?						0
20	是幸福的梦。	是幸福的夢。	幸せな夢ですよ。	행복한 꿈이었어.	An incredibly delightful one.						0
21	光是想到就难以遏制自己，想要更多的奖励分析员。	光是想到就難以遏制自己，想要更多的獎勵分析員。	思い出しただけでも我慢できなくなっちゃって、もっと分析員を褒めたくなる夢です。	생각만 해도 참을 수가 없네. 분석가에게 더 많은 보상을 주고 싶어져.	Just remembering it makes me want to spoil you even more, Adjutant.						0
22	而且呀！昨天分析员可是努力了一个晚上。	而且啊！昨天分析員可是努力了一個晚上。	それに、分析員は一晩中頑張ってくれたじゃないですか。	게다가, 분석가는 어제 밤새도록 고생했잖아!	And besides~ You really put in quite the effort last night, didn't you?						0
23	姐姐可得给分析员好好补补才行~毕竟啊……	姐姐可是要幫分析員好好補補才可以~畢竟啊……	ちゃんと分析員を労わらないといけません。だって……	그러니까~ 이 누님이 분석가를 잘 챙겨줘야지~ 어쨌든…	I should make sure you get properly recharged~ After all...						0
24	她说到一半，忽然在我的怀里直起身子，看着我，温柔的脸上一点点露出促狭之色，然后抬起带着香气的手指，在我的鼻尖轻轻点了点。	她說到一半，忽然在我的懷裡挺直身體，看著我，溫柔的臉上一點點露出促狹之色，然後抬起帶著香氣的手指，在我的鼻尖輕輕點了點。	そう言いかけて、彼女は私の腕の中から体を起こし、いたずらっぽい笑顔のまま、いい香りがする指で、私の鼻先にちょこんと触れた。	그녀는 말하다가 갑자기 내 품에서 몸을 일으켰다. 나를 바라보는 온화한 얼굴에 장난기가 서서히 드러났다. 그러더니 향기로운 손가락을 들어 내 코끝을 톡 하고 건드렸다.	She trailed off, sitting up in my embrace. Mischief crept into the warmth of her gaze. Then, she raised a finger — sweetly scented — and gave my nose a light tap.						0
