xxx_459112727	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	安卡希雅温馨提醒：	安卡希雅溫馨提醒：	アカシアのやさしいご案内：	아카시아의 알림 사항:	Friendly Reminder From Acacia:						0
2	为了获得更好的体验，游玩该个人故事前，推荐分析员优先观看《自往昔归还》剧情。	為了獲得更好的體驗，遊玩該個人故事前，推薦分析員優先觀看《自往昔歸還》劇情。	エピソードを始める前に、先に『時の還り人』のストーリーを読んだほうがより楽しめるよ。	더 나은 체험을 위해 해당 개인 스토리를 즐기기 전에 먼저 <과거의 귀환> 스토리를 시청할 것을 추천해 드립니다.	For an optimal experience, you are encouraged to complete the "Back From Bygone" main story before playing this Personal File.						0
3	清晨。	清晨。	朝。	이른 아침.	Early morning.						0
4	晨曦浸过窗帘，将碎金般的阳光轻轻抖落在枕畔。	晨曦浸過窗簾，將碎金般的陽光輕輕抖落在枕畔。	カーテン越しの朝日が滲んで、砕けた金色みたいな光が枕元にそっと落ちる。	커튼 사이로 스며든 새벽빛이 부서진 금빛 햇살을 베갯머리에 가볍게 흩뿌렸다.	Dawn seeped through the curtains, casting sunlight like scattered gold beside the pillow.						0
5	我从睡梦中醒来，静静凝视着安卡希雅的睡颜。	我從睡夢中醒來，靜靜凝視著安卡希雅的睡顏。	眠りから覚めた私は、静かにアカシアの寝顔を見つめる。	잠에서 깬 나는 아카시아의 잠든 얼굴을 조용히 응시했다.	I woke up and quietly gazed at Acacia's sleeping face.						0
6	她的脸颊透着半梦半醒间的绯色，嘴角满足的弧度让我倍感安心。	她的臉頰透著半夢半醒間的緋色，嘴角滿足的弧度讓我倍感安心。	半分夢の中の頬はうっすら紅く、口元の満ち足りた弧が、妙に安心させる。	그녀는 반쯤 꿈꾸고 있는 듯했고, 붉은빛이 번진 뺨과 입가의 만족스러운 곡선에 나는 마음이 놓였다.	Her cheeks were tinged with rosy color between dream and waking, and the faint smile on her lips brought me peace of mind.						0
7	不忍打扰安卡希雅的休息，我放轻自己的呼吸，将被角慢慢覆上她肩头。	不忍打擾安卡希雅的休息，我放輕自己的呼吸，將被角慢慢覆上她肩頭。	起こしたくなくて、呼吸を殺しながら、掛け布団をそっと肩まで戻してやる。	나는 아카시아의 휴식을 방해하고 싶지 않아서, 숨소리를 낮추고 이불을 천천히 그녀의 어깨에 덮어주었다.	Not wanting to disturb her rest, I softened my breath and gently pulled the blanket up over her shoulder.						0
8	衣料摩挲的微响，在她的沉眠里缓缓沉落。	衣料摩擦的微響，在她的沉眠裡緩緩沉落。	布が擦れる小さな音が、彼女の眠りに溶けるように、ゆっくりと消えていった。	천이 스치는 미세한 소리가 그녀의 깊은 잠 속으로 천천히 가라앉았다.	The faint rustle of fabric faded into silence as she slept.						0
9	可她似乎是察觉到枕畔空了，睫毛不安地颤动着。	但她似乎是察覺到枕畔空了，睫毛不安地顫動著。	――なのに、枕元が空いた気配を感じたのか、まつげが不安そうに揺れる。	하지만 옆자리가 빈 것을 눈치챘는지 그녀의 속눈썹이 불안하게 떨렸다.	But she seemed to sense the empty space beside her, her eyelashes fluttering uneasily.						0
10	见状，我俯身将她散落的发丝拢回耳后，温热的气息拂过她耳畔。	見狀，我俯身將她散落的髮絲攏回耳後，溫熱的氣息拂過她耳畔。	身をかがめ、耳元へ散った髪をそっと払ってやった。温い息が、彼女の耳をかすめる。	그 모습을 본 내가 몸을 숙여 흩어진 머리카락을 귀 뒤로 쓸어 넘기고, 따뜻한 숨결로 그녀의 귓가를 스쳤다.	Seeing this, I leaned down and tucked loose strands of hair behind her ear, my warm breath brushing against it.						0
11	你先休息吧，我去给你拿早餐。	你先休息吧，我去幫你拿早餐。	もう少し寝てて。朝ごはん、取ってくる。	쉬고 있어, 아침 식사 가져올게.	Go back to sleep. I'll get you some breakfast.						0
12	刚准备离开，忽然感觉衣角有一股拉力。	剛準備離開，忽然感覺衣角有一股拉力。	部屋を出ようとした、その瞬間。服の裾に、ふっと引かれる力がかかる。	막 떠나려는데, 갑자기 옷자락을 당기는 힘이 느껴졌다.	Just as I was about to step away, I suddenly felt a tug at my shirt.						0
