xxx_883132838	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	第二天早上。	第二天早上。	翌朝。	다음 날 아침.	The next morning.						0
2	我早早地起来，却发现安卡希雅不见踪影。	我早早地起來，卻發現安卡希雅不見蹤影。	早めに起きた――が、アカシアの姿が見当たらない。	나는 일찍 일어났지만, 아카시아는 어디에도 보이지 않았다.	I got up early, only to find that Acacia was nowhere to be seen.						0
3	起身看去，纯白色的方盒静置在桌前，浅蓝色的缎带系成略显笨拙的蝴蝶结。	起身看去，純白色的方盒靜置在桌前，淺藍色的緞帶繫成略顯笨拙的蝴蝶結。	起き上がって目をやると、机の上に真っ白な小箱がひとつ。淡い水色のリボンが、不器用な蝶結びで結ばれている。	몸을 일으켜 보니, 순백색의 상자가 책상 앞에 조용히 놓여 있었고, 연한 파란색 리본이 조금 서툴게 나비매듭으로 묶여 있었다.	As I looked around, something caught my eye. A white box sat on the table, tied with a pale blue ribbon.						0
4	——那手法我认得，正是安卡希雅的杰作。	——那手法我認得，正是安卡希雅的傑作。	――その結び方、見覚えがある。アカシアの「作品」だ。	솜씨를 보면 알 수 있었다, 아카시아의 작품이었다.	The bow was uneven, unmistakably her work.						0
5	掀开盒盖时，香氛气息轻轻散开，一盘光碟整齐地铺在丝绒衬垫上。	掀開盒蓋時，香氛氣息輕輕散開，一盤光碟整齊地鋪在絲絨襯墊上。	箱のふたを持ち上げた瞬間、ふわりと香りがほどけた。ベルベットの中敷きにはディスクが整然と並び、その下から真っ白な便箋がすべり出てくる。	상자 뚜껑을 열자 향료의 향기가 은은하게 퍼졌고, 디스크 한 장이 벨벳 안감 위에 가지런히 놓여 있었다.	When I lifted the lid, a gentle fragrance wafted out. A disc lay neatly on a velvet cushion.						0
6	素白信笺从光碟下滑出，字迹是刻意工整的稚气。	素白信箋從光碟下滑出，字跡是刻意工整的稚氣。	字は――わざと丁寧に整えた、どこか幼い筆跡。	디스크 아래에서 미끄러져 나온 순백색의 편지지에는 서툴지만 또박또박 정성 들여 쓴 글씨가 적혀 있었다.	A plain white letter slipped out from under the disc, the handwriting deliberately neat, though the lines still carried a hint of her usual clumsiness.						0
7	致，我的挚爱playername：	致，我的摯愛playername：	いちばん大切なplayernameへ	내 사랑, playername에게	To my beloved playername,						0
8	\n制作人安卡希雅的全新力作，	\n製作人安卡希雅的全新力作，	\nプロデューサー・アカシアの全身全霊の新作、	\n아카시아 프로듀서의 최신작이자,	\nHere's a brand-new title from producer Acacia,						0
9	献给亲爱的，	獻給親愛的，	あなたに捧げる。	자기에게 바치는,	Dedicated to my darling,						0
10	恋爱模拟游戏《安卡希雅~致我的挚爱~》现已完工，	戀愛模擬遊戲《安卡希雅~致我的摯愛~》現已完工，	恋愛シミュレーションゲーム『アカシア～愛しい人へ～』、完成。	연애 시뮬레이션 게임 <아카시아: 사랑을 위하여>가 완성됐어.	The romance sim game ~From Acacia: To My Beloved~ is now complete.						0
11	欢迎前往安卡希雅的宿舍参加测试！	歡迎前往安卡希雅的宿舍參加測試！	アカシアの部屋まで、テストプレイに来てね。	아카시아의 숙소로 와서 테스트에 참여해 줘!	You are officially invited to my room for testing!						0
12	盒底躺着那枚常在她发间闪烁的新月状饰品，边缘还留着细微的体温。	盒底躺著那枚常在她髮間閃爍的新月狀飾品，邊緣還留著細微的體溫。	箱の底には、彼女の髪の間でいつも小さく瞬く――三日月形のアクセサリー。縁に、ほんのり体温が残っていた。	상자 밑바닥에는 그녀의 머리에서 늘 반짝이던 초승달 모양의 장식품이 놓여 있었고, 그 가장자리에는 아직 미세하게 체온이 남아 있었다.	At the bottom of the box rested her crescent-moon hair clip, its edge still holding a trace of her warmth.						0
13	原来这么早起来是去准备惊喜啊。	原來這麼早起來是去準備驚喜啊。	こんな朝早く起きたのは、サプライズの準備か。	서프라이즈 준비 때문에 일찍 일어났구나.	So that's why she got up so early.						0
14	吱呀——	吱呀——	ギギ――	끼익…	*creak*						0
15	门微微开了缝，信件的传递者、那道蓝白色的身影正在透过缝隙隐隐注视着我。	門微微開了縫，信件的傳遞者、那道藍白色的身影正在透過縫隙隱隱注視著我。	ドアがほんの少しだけ開き、手紙の差出人――青白い影が、隙間からこちらをうかがっている。	문이 살짝 열렸고, 편지를 전해준 주인공의 파랗고 하얀 모습이 그 틈새로 나를 주시하고 있는 게 보이는 듯했다.	The door opened a crack. The girl in blue and white, the one who wrote this letter, was peeking at me through the gap.						0
16	在看到我目光后，那道身影缩了回去，似乎生怕我发现一般。	在看到我目光後，那道身影縮了回去，像是怕被我發現。	目が合うと、影はさっと引っ込み、見つかるのが怖いみたいに息まで殺した。	내 시선을 알아채자, 마치 내가 발견하면 안 되는 것처럼 그녀는 뒤로 물러났다.	When she noticed me looking, she froze, then quickly drew back out of sight.						0
17	朝着她的方向笑了笑，揣上光碟，将信笺收好，去往安卡希雅的房间。	朝著她的方向笑了笑，拿上光碟，將信箋收好，去往安卡希雅的房間。	その方向へ小さく笑いかけ、ディスクを手に取り、便箋を丁寧にしまって――アカシアの部屋へ向かった。	그녀가 있는 방향으로 미소 지으며, 디스크를 챙기고 편지지를 잘 접어 넣은 후, 아카시아의 방으로 향했다.	I smiled in her direction, slipped the disc into my pocket, put the letter away, and headed to Acacia's room.						0
18	欢迎亲爱的来参加试玩~	歡迎親愛的來參加试玩~	テストプレイへようこそ、あなた。	자기의 테스트 참여를 환영해~	Welcome to the test, darling~						0
19	今天的游戏是为你专门准备的恋爱模拟游戏。	今天的遊戲是為你專門準備的戀愛模擬遊戲。	今日のゲームは――あなたのためだけに用意した恋愛シミュレーションだよ。	오늘의 게임은 너를 위해 특별히 준비한 연애 시뮬레이션 게임이야.	Today's game is a romance sim created just for you.						0
20	尽管已经知道了游戏的内容，但我还是假装一副没看过的样子。	儘管已經知道了遊戲的內容，但我還是假裝一副沒看過的樣子。	内容はもう知っているのに、私は初見みたいな顔をしてみせる。	게임 내용은 이미 알고 있었지만, 나는 모르는 척 연기했다.	Even though I already knew what the game was about, I pretended I hadn't seen any of it.						0
21	好啊，我很期待安卡希雅的最新大作。	好啊，我很期待安卡希雅的最新大作。	いいな。アカシアの最新作、楽しみにしていた。	좋아, 아카시아의 최신 대작이 정말 기대돼.	Alright, I'm really looking forward to your latest masterpiece, Acacia.						0
22	环顾房间，游戏机已经准备就绪，两个手柄被精心地摆放在垫子上。	環顧房間，遊戲機已經準備就緒，兩個手把被精心地擺放在墊子上。	部屋を見回すと、ゲーム機はすでに起動待ち。二つのコントローラーが、座布団の上に「きちんと」置かれている。	방을 둘러보니 게임기가 이미 준비되어 있었고, 두 개의 게임패드가 방석 위에 정성스럽게 놓여 있었다.	I glanced around the room, noticing that the console was set up and that two controllers had been carefully placed on the cushions.						0
23	我走到坐垫前，顺势坐下，将光碟置入光驱之中。	我走到坐墊前，順勢坐下，將光碟置入光碟機之中。	座布団の前に腰を下ろし、ディスクをドライブに差し込んだ。	나는 방석 앞으로 걸어가 자연스럽게 앉고, 디스크를 드라이브에 넣었다.	I walked over, sat down, and slid the disc into the drive.						0
24	咔嚓——	咔嚓——	カチャッ――	[딸칵!]	Click—						0
25	伴随着光碟连接的清脆提示音，少女也紧贴着我坐下。	伴隨著光碟連上的清脆提示音，少女也緊貼著我坐下。	接続音が小気味よく鳴るのと同時に、少女がぴたりと私の隣へ座る。	디스크가 연결되는 경쾌한 알림음과 함께, 소녀도 나에게 바짝 붙어 앉았다.	A clear chime sounded as the system recognized it. She sat down beside me at once, close enough that our shoulders touched.						0
26	一起。	一起。	一緒にやろう。	같이 하자.	Let's do this together.						0
27	她一边说着，一边撕开了薯片包装。	她一邊說著，一邊撕開了洋芋片包裝。	そう言いながら、彼女はポテチの袋をびりっと開けた。	그녀는 그렇게 말하며 감자칩 봉지를 뜯었다.	As she spoke, she tore open a bag of chips.						0
28	伴随着一阵轻松愉快的BGM，屏幕亮起，游戏主界面出现在眼前。	伴隨著一陣輕鬆愉快的BGM，螢幕亮起，遊戲主介面出現在眼前。	軽やかなBGMとともに画面が明るくなり、メインメニューが表示される。	경쾌하고 즐거운 BGM과 함께 화면이 밝아지면서 게임 메인 화면이 눈앞에 나타났다.	With light, cheerful BGM, the screen lit up, and the game's main menu appeared.						0
29	背景是我和安卡希雅的合照，一串按钮精妙地排在左侧。	背景是我和安卡希雅的合照，一串按鈕精妙地排在左側。	画面の背景は、私とアカシアの写真。左側にはボタンが整然と並んでいた。	배경은 나와 아카시아가 함께 찍은 사진이었고, 왼쪽에는 버튼들이 가지런하게 배치되어 있었다.	The background was a photo of Acacia and me, with a row of options artfully arranged along the left side.						0
30	喏。	喏。	ほら。	자.	Mm.						0
31	安卡希雅用嘴叼起一块薯片，自然地伸到我的嘴边。	安卡希雅用嘴叼起一塊洋芋片，自然地伸到我的嘴邊。	アカシアはポテチを一枚、口にくわえたまま、自然な動きで私の唇の前まで差し出してくる。	아카시아는 입으로 감자칩 한 조각을 물고 자연스럽게 내 입가로 다가왔다.	Acacia held a chip between her lips and leaned in, as if it were the most natural thing in the world.						0
32	在接过薯片的同时，我也顺势按下了“开始游戏”。	在接過洋芋片的同時，我也順勢按下了「開始遊戲」。	それを受け取るのと同時に、私は「はじめる」を押した。	감자칩을 받아먹으면서 나는 자연스럽게 '게임 시작'을 눌렀다.	Taking the chip from her, I pressed "Start Game."						0
33	……	……	……	……	...						0
34	依旧是那个熟悉的校园恋爱故事。	依舊是那個熟悉的校園戀愛故事。	やっぱり、あの「いつもの」学園恋愛ストーリーだ。	여전히 그 익숙한 캠퍼스 로맨스 스토리였다.	It was still that same familiar campus romance story.						0
35	相遇、组建社团、废部危机、泳装回、成功解决。	相遇、組建社團、廢部危機、泳裝回、成功解決。	出会い、二人だけのサークル結成、廃部の危機、そして水着回。ちゃんと解決して、きちんと成功。	만남, 동아리 창설, 해산 위기, 수영복 에피소드, 성공적인 해결.	Two people meeting. A club formed together. The looming threat of disbandment. A summer break by the sea, swimsuits and all. A crisis faced side by side.						0
36	不过，因为我们彼此甜蜜回忆的存在，这次的故事更加生动。	不過，因為我們彼此甜蜜回憶的存在，這次的故事更加生動。	だけど――私たちの甘い記憶が下地にあるせいで、今回の物語は前よりずっと息づいていた。	하지만, 우리의 달콤한 추억들 덕분에 이번 스토리는 더욱 생생했다.	But because of the sweet memories we shared, this playthrough of the story felt much more vivid.						0
37	我们曾共同创立的社团。	我們曾共同創立的社團。	一緒に作ったサークル。	우리가 함께 만든 동아리.	The club we had founded together.						0
38	我们曾在雅卢岛上共同经历的假期。	我們曾在雅盧島上共同經歷的假期。	ガルーアイランドで過ごした、あの休日。	우리가 야루섬에서 함께 보낸 휴가.	The vacation we had spent together on Yallu Island.						0
39	我们曾齐心协力解决了尘白恶魔号的危机……	我們曾齊心協力解決了塵白惡魔號的危機……	Snowbreak Aku-MAの危機を、二人で乗り越えたこと……	우리가 힘을 합쳐 해결한 순백의 악마 위기…	The Snowbreak Aku-MA crisis that we had joined forces to overcome...						0
40	无数美好的回忆化作故事的养料，为这个独属于我的游戏增色不少。	無數美好的回憶化作故事的養料，為這個專屬於我的遊戲增色不少。	そうした全部が「物語の栄養」になって、このゲームを私だけのものにしていく。	수없이 많은 아름다운 추억들이 스토리의 자양분이 되어, 나만을 위한 이 게임을 한층 더 빛나게 했다.	Endless beautiful memories had turned into nourishment for the story, adding extra color to this game made just for me.						0
