xxx_440329416	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	那次难忘的约会之后，我和奈莉德之间多出了一种奇妙的默契。	那次難忘的約會之後，我和奈莉德之間多出了一種奇妙的默契。	あの忘れがたいデートのあと、私とネリーダの間に暗黙の了解ができたようだ。	잊을 수 없는 그날의 데이트 후, 나와 네리다 사이에는 묘한 케미가 생겼다.	After that unforgettable date, a subtle new understanding developed between Nerida and me.						0
2	也许是约会的余韵。谁也没有主动去找谁，偶然在基地遇见也是相视一笑。	也許是約會的餘韻。誰也沒有主動去找誰，偶然在基地遇到也是相視一笑。	デートの余韻とでも言うべきかもしれない。相手に話しかけることもなく、寮でばったり会っても笑い合うだけに留まっている。	데이트의 여운 때문일까. 아무도 서로를 먼저 찾아가지 않았고, 우연히 숙소에서 만나도 서로에게 눈웃음을 지을 뿐이었다.	Perhaps it was the lingering afterglow, neither of us rushed to reach out, and whenever we ran into each other at the Base, we'd simply exchange smiles.						0
3	谁也没有开口。每次见面，就能想到那个长长的吻，那种触感仿佛还停留在唇边。	誰也沒有開口。每次見面，就能想到那個長長的吻，那種觸感彷彿還停留在唇邊。	ふたりとも、なにひとつ喋らなかった。会うたびに、あの長いキスの感触がまだ唇に残っているような気がする。	아무도 먼저 입을 열지 않았다. 마주칠 때마다 그날의 길었던 키스가 떠올랐고, 그때의 촉감이 아직도 입술에 남아 있는 듯했다.	Neither made the first move. Each time we met, I'd recall that lingering kiss, the sensation seemingly preserved on my lips.						0
4	大概不会有人在接吻时开口，自然也不会主动打破这种久久都未消散的气氛。	大概不會有人在接吻時開口，當然也不會主動打破這種久久都未消散的氣氛。	キスをするときに話す人がいないように、今も残っているその曖昧な空気を自ら台無しにする人もいないだろう。	키스할 때 말을 꺼내는 사람은 없듯이, 오랫동안 이어진 이 분위기를 먼저 깨는 일도 당연히 없을 것이다.	No one typically speaks during a kiss, and naturally, we didn't wish to disrupt the delicate atmosphere that persisted afterward.						0
5	于我而言，这样的奈莉德别有一番风情。至于我们的关系又如何变化，我暂时没有去想。	對我而言，這樣的奈莉德別有一番風情。至於我們的關係又如何變化，我暫時沒有去想。	私にとって、そんなネリーダも素敵だと思った。私たちの関係がどう変化していくのかは、まだ考えていない。	이런 네리다는 내게 더욱 특별해 보였다. 다만 우리의 관계가 앞으로 어떻게 변할지에 대해서는 굳이 생각하지 않았다.	To me, there was a distinctive charm to this side of Nerida. As for where our relationship might progress next, I hadn't really thought about it.						0
7	而当这种气氛还在持续的时候，奈莉德似乎要主动出击了——	而當這種氣氛還在持續的時候，奈莉德似乎要主動出擊了——	そんな空気が続くなか、ネリーダはうずうずしだしたようだ。	그런데 이런 분위기가 여전히 지속되고 있을 때, 네리다가 먼저 나서려는 것 같았다.	And just as that atmosphere continued to linger, it appeared Nerida was finally making a move—						0
8	我像往常一样结束了工作，回到房间里准备休息。	我像往常一樣結束了工作，回到房間準備休息。	いつものように仕事を終え、私は部屋に戻って休もうとした。	내가 평소처럼 일을 마치고 방으로 돌아가 쉬려던 때였다.	I finished work as usual and returned to my room to rest.						0
10	忙吗？	忙嗎？	ちょっといいか？	바빠?	Are you busy?						0
11	门没关，奈莉德倚在门框上，弯着嘴角。	門沒關，奈莉德靠在門框上，彎著嘴角。	ネリーダは閉めていないドアに寄りかかって、かすかに笑っていた。	문은 닫혀 있지 않았고, 네리다는 씩 웃으며 문틀에 기대어 있었다.	The door wasn't closed. Nerida leaned against the doorframe, a smile playing on her lips.						0
