xxx_3368881736	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	哇呼——真是好久没回来这里了！	哇呼——真是好久沒回來這裡了！	ワフー！ホント、久々に帰ってきたって感じ～！	와후… 여긴 정말 오랜만이네!	Waahoo — It's been so long since I've been back here!						0
2	泳池这边还是和以前一样啊，那边是我的宿舍，旁边是教学楼……你看你看还有操场！	泳池這邊還是和以前一樣啊，那邊是我的宿舍，旁邊是教學樓……你看你看還有操場！	プールも昔のまんまだし、あっちがあたしの寮で、その隣が教室棟でしょ？ほらほら、グラウンドも見えるよ！	수영장 쪽은 예전이랑 똑같다. 저쪽은 내 기숙사고, 옆에는 강의동이야… 어, 봐봐, 저기 운동장도 있어!	The pool looks just the same, and over there is the dorm, and next to it is the lecture building… Look, look, there's the schoolyard!						0
3	我很想念学校，也不知道学校有没有想我呀~	我很想念學校，也不知道學校有沒有想我呀~	あ～……学校のこと、やっぱ好きなんだなあ。学校のほうも、ちょっとはあたしのこと恋しがってたりするかな～？	난 학교가 너무 그리웠는데, 학교도 나를 그리워했으려나~	I really missed this place. I wonder if the school missed me too~						0
4	此刻的我和米娅正位于新恒提罗中央学院的某处侧门边。	此刻的我和米婭正位於新恆提羅中央學院的某處側門邊。	今、ミアとニューガントラ中央学院の側門のそばに立っている。	지금 나와 미아는 뉴헨틸로 센트럴 아카데미의 어느 쪽문 옆에 있었다.	Mia and I were standing near a side gate of New Hentiro Central Academy.						0
5	门内自然是美好的校园风光，而门外的米娅正轻巧地攀在一棵树的枝杈上眺望校内风景，窈窕身影临风欲举地轻晃。	門內自然是美好的校園風光，而門外的米婭正輕巧地攀在一棵樹的枝叉上眺望校內風景，窈窕身影臨風欲舉地輕晃。	門の内側には、相変わらずの学園風景が広がっている。その外側で、ミアは一本の木の枝にひょいっと腰を下ろし、風に揺られながらキャンパスを見下ろしていた。	문 안쪽에는 아름다운 캠퍼스 풍경이 펼쳐져 있고, 문밖에서는 미아가 나무 위로 가볍게 올라가 교내 풍경을 바라보며 그 예쁜 실루엣이 바람에 날듯 가볍게 흔들리고 있었다.	Beyond the gate, the beautiful campus scenery stretched out, while outside, Mia was perched on a tree branch, gazing into the school. Her slender figure swayed gently in the breeze.						0
6	而我正抬头看着树上的米娅。	而我正抬頭看著樹上的米婭。	私はというと、見上げる形でそのミアを見守っている。	그리고 나는 고개를 들어 나무 위의 미아를 바라보고 있었다.	And I was standing below, looking up at Mia in the tree.						0
7	当心一点，别从树上摔下来了。	當心一點，別從樹上摔下來了。	あまりはしゃぐと危ないぞ。落ちたら大変だ。	조심해, 나무에서 떨어지지 않게.	Be careful. Don't fall off.						0
8	我低声提醒她。	我低聲提醒她。	小声で、そう釘を刺しておく。	나는 낮은 목소리로 그녀에게 주의를 줬다.	I reminded her in a low voice.						0
9	由于时处周末的缘故，校内空无一人。	由於時處週末的緣故，校內空無一人。	週末ということもあってか、校内には人影がない。	주말이라 캠퍼스에는 사람이 전혀 없었다.	Since it was the weekend, the campus was completely empty.						0
