xxx_1007333323	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	你明天还会这么喜欢我吗？	你明天還會這麼喜歡我嗎？	明日も、今日みたいに好きでいてくれますか？	내일도 계속해서 저를 좋아해 주실 건가요?	Will you still like me as much tomorrow?						0
2	不一定。	不一定。	それは約束できないな。	꼭 그렇진 않아.	Maybe not.						0
3	为什么？是我让你感到厌烦了吗？	為什麼？是我讓你感到厭煩了嗎？	どうして？もう私に飽きたのですか？	왜요? 제가 혹시 당신을 귀찮게 했나요?	Why? Are you sick of me already?						0
4	不，因为明天我会比今天更加喜欢你。	不，因為明天我會比今天更喜歡你。	いいや。明日の私は、今日よりもっと君のことが好きになるからだ。	아니, 내일은 오늘보다 널 더 좋아할 예정이거든.	No. Because I'll like you even more tomorrow than I do today.						0
5	咔！	咔！	カット！	컷!	Cut!						0
6	分析员，您辛苦了。	分析員，您辛苦了。	お疲れ様です、分析員さん。	분석가님, 수고하셨어요.	Great work, Adjutant.						0
7	怎么样，这次的镜头，满意了吗？	怎麼樣，這次的鏡頭，滿意了嗎？	どうだ、今のカットは。満足いったか？	이번엔 좀 어때? 만족스러웠어?	How was it? Were you satisfied with that take?						0
8	那次“坦白”过后，薇蒂雅可以更加坦率的邀请我了。	那次「坦白」過後，薇蒂雅可以更坦率的邀請我了。	あの日以来、ヴィディアはより素直に私を誘ってくれるようになった。	당시 '고백' 장면 이후로, 비디야는 나를 더 신뢰할 수 있게 되었다.	After that "confession" last time, it had become easier for Vidya to ask me to spend time with her.						0
9	我也会尽力抽出时间来陪伴她。最近她说自己在筹备一场爱情电影的拍摄计划，但始终没确定男女主角的人设。希望我和她多搭几场戏，确定下感觉。	我也會盡力抽出時間陪伴她。最近她說自己在籌備愛情電影的拍攝計劃，但始終沒確定男女主角的人設。希望我跟她多搭幾場戲，確定下感覺。	私もできるだけ、彼女の誘いに応じるようにしていた。最近、彼女は恋愛映画の撮影を計画している。けれど、主人公とヒロインの設定がなかなか決まらないらしく、私を誘って、こうやって試行錯誤をしているのだった。	나도 그녀와 함께 할 시간을 내려고 최대한 노력할 것이다. 최근에 그녀는 로맨스 영화를 준비 중이라고 말했지만, 주연 배역을 누구로 정할지는 아직 결정하지 못했다고 한다. 따라서 우리는 여러 장면을 연기해 보며 감을 잡아보자고 했다.	I also tried my best to find time for her. Recently, she said she was writing a script for a romance movie, but she still hadn't nailed down the personalities of the main characters. She hoped I could do a few scenes with her to help her pin down the right feeling.						0
10	差不多半个月的时间，傲娇、高冷、软萌……很多系的情侣我们都尝试扮演过。今天我们扮演的是被爱情脑堆满的笨蛋情侣，会在各种词句上厮磨纠缠的那种。	差不多半個月的時間，傲嬌、高冷、軟萌……很多系的情侶我們都嘗試扮演。今天我們扮演的是被愛情腦堆滿的笨蛋情侶，會在各種詞句上廝磨糾纏的那種。	この半月の間に、私達は色んなカップルを演じてみた。今日は典型的なバカップルで、セリフもかなり甘々だった。	우리는 2주라는 시간 동안, 츤데레, 도도한, 귀여운 성격 등 다양한 스타일의 커플을 연기해 보았다. 그리고 오늘, 우리가 연기한 것은 사랑에 빠져서 허둥지둥거리는 바보 커플이었다. 서로 말을 주고받으며 얽히고설키는 그런 것이다.	For a couple of weeks, we had tried playing several different dating archetypes... including clingy, hot-and-cold, and lovey-dovey couples. Today, we were playing a dumb couple head-over-heels for each other, the kind that can't stop spouting sweet nothings.						0
11	为了记下那些会令人脑回路更加坎坷的台词，我竭尽全力。	為了記下那些會令人腦迴路更加坎坷的台詞，我竭盡全力。	あれだけの恥ずかしいセリフを覚えるのは、かなり苦労した。	더 복잡한 대사를 기억하기 위해 나는 최선을 다하는 중이다.	I tried my best to memorize the lines that would fry anyone's brain.						0
12	可惜看薇蒂雅的表情，似乎对今天的这场戏依旧不太满意。或许这就是热爱艺术之人的自我追求？	可惜看薇蒂雅的表情，似乎對今天的這場戲依舊不太滿意。或許這就是熱愛藝術之人的自我追求？	でも、ヴィディアの反応を見るに、今日の結果もいまいちのようだ。さすがはクリエイターというべきか。彼女が求めるクオリティーは相当高いようだ。	하지만 비디야의 표정을 보니 오늘 연기에 여전히 만족을 하지 못하는 모양이다. 아마도 예술을 사랑하는 사람으로서 추구하는 무언가가 있을지도 모른다.	But unfortunately, judging by Vidya's expression, it seemed like she still wasn't satisfied with today's scene. Maybe this was an example of the self-demanding, passionate artist?						0
13	该怎么说呢。	該怎麼說呢。	なんと言いますか……	어떻게 말해야 할까요?	How should I put it...						0
14	不知道是不够深情，还是不够自然，总觉得差了些东西。	不知道是不夠深情，還是不夠自然，總覺得差了些東西。	何かが足りないような気がするんです。感情移入？それとも、自然さでしょうか？	진심이 부족한 건지, 자연스럽지 않은 건지, 뭔가 부족한 느낌이 들어요.	I don't know if it's not loving enough or kind of unnatural... but I feel like something's missing.						0
15	她说着，不由失落地垂下脑袋，像是在呢喃着什么。	她說著，不由失落地垂下腦袋，像是在呢喃著什麼。	彼女は俯いて、ぶつぶつとなにかをつぶやいている。	그녀는 말하면서도 잘 풀리지 않는지 고개를 숙이고 계속해서 무언가를 중얼거렸다.	She lowered her head, disappointed, as she said this. It seemed like she was mumbling to herself.						0
16	……试了这么多场戏，还是没能确定分析员更喜欢怎样性格的女孩。这样下去，到底要到哪天才能和分析员一起体验重要的日子……	……試了這麼多場戲，還是沒能確定分析員比較喜歡怎樣性格的女孩。這樣下去，到底要到哪天才能和分析員一起體驗重要的日子……	……こんなに試しても、まだ分析員さんの好みを掴めないとは。分析員さんと一緒に大事な日を迎えるのは、いつのことになるのやら……	… 이렇게 많은 장면을 시도했음에도 아직까지 분석가님이 어떤 성격의 여자를 좋아하는지 판단하기가 힘들어요. 이렇게 계속하면 대체 언제쯤 분석가님과 중요한 날을 함께할 수 있을지…	...Even after so many scenes together, I still can't pinpoint which kind of girl the Adjutant prefers. If things keep going like this, am I ever going to be able to experience the most important day with the Adjutant...?						0
17	薇蒂雅，你刚才在说什么？	薇蒂雅，你剛才在說什麼？	なんか言ったか？	비디야, 방금 뭐라고 했어?	Vidya, what was that?						0
18	……您，您听错了，我什么都没说。	……您，您聽錯了，我什麼都沒說。	……い、いいえ、何でもありません。	… 아무것도 아니에요, 아무 말도 안 했어요.	...Y—You misheard. I didn't say anything.						0
19	是吗。不过你刚才说不够深情，不够自然的意思是……指我的表演有问题吗？	是嗎。不過你剛才說不夠深情，不夠自然的意思是……指我的表演有問題嗎？	感情移入と自然さがどうとか聞こえたけど……もしかして、私の演技に問題があったとか？	그래? 그런데 진심이 부족하고 자연스럽지 않다는 게… 내 연기에 문제가 있다는 뜻이야?	Really? But when you mentioned it not being loving or natural enough just now... were you referring to my performance?						0
20	啊，我不是说分析员您的表演有问题，我只是……	啊，我不是說分析員您的表演有問題，我只是……	そうじゃないです。ただ……	아, 분석가님의 연기에 문제가 있다는 게 아니에요, 그냥…	Ah, I didn't mean there was something wrong with your performance, Adjutant. I just...						0
21	没关系。我的表演有问题也是理所当然的事情，毕竟不是专业演员出身。	沒關係。我的表演有問題也是理所當然的事情，畢竟不是專業演員出身。	大丈夫だ。私の演技力が足りないのは分かっている。そもそも俳優じゃないしな。	괜찮아. 연기에 문제가 있는 건 당연한 거야, 난 전문 배우가 아니니까.	It's okay. It's only natural for my performance to have some flaws. After all, I'm not a professional actor.						0
22	其实分析员的表演很好，可能只是没进入状态。	其實分析員的表演很好，可能只是沒進入狀態。	分析員さんの演技は結構よかったです。ただちょっと、キャラになりきっていない感じがします。	사실 분석가님의 연기는 훌륭해요, 아마도 완전히 몰입하지 못해서 그런 걸 수도 있어요.	Actually, your acting is great, Adjutant. Maybe you just aren't fully immersed.						0
23	不只是这次，前几次拍摄也一样，拍出来好像都会有种分析员是隔着屏幕在和角色对话的感觉……	不只是這次，前幾次拍攝也一樣，拍出來好像都會有種分析員是隔著螢幕在跟角色對話的感覺……	今回だけじゃなくて、この前もそうでした。なんだか、分析員さんはただ画面の中のキャラクターと会話しているみたいで……	이번뿐만 아니라 이전 촬영에서도 마찬가지였어요. 찍은 영상을 보면 마치 분석가님이 화면 너머에서 캐릭터와 대화하는 것 같은 느낌이 들어요…	Just now and in the earlier takes, it seemed like you were talking to a character through a screen...						0
24	总之，和您平常与我说话的状态，感觉很不一样。	總之，和您平常與我說話的狀態，感覺很不一樣。	とにかく、普段私と会話する時と、ずいぶん違う感じがします。	어쨌든, 평소에 저와 대화하시는 모습과는 많이 다르다는 느낌이에요.	Essentially, it feels really different than how you typically talk to me.						0
25	因为是要扮演戏中的角色，所以状态肯定会和平常会不同吧。	因為是要扮演戲中的角色，所以狀態肯定會和平常不同吧。	キャラを演じているんだから、普段と違うのは当たり前だと思うが。	캐릭터를 연기해야 하니 평소와는 다를 수밖에 없겠지.	Well, I'm playing a character, so it has to be a little different, right?						0
