xxx_3664296932	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	亲爱的，现在是起床的时间了。	親愛的，現在是起床的時間了。	もう朝ですよ、ダーリン。	허니~ 일어날 시간이에요.	Darling, it's time to wake up.						0
2	接下来还有很多工作要做，学小孩子赖床可不好。	接下來還有很多工作要做，學小孩賴床可不好。	お仕事がまだたくさん残ってますから。子供みたいにお寝坊してはいけません。	앞으로 해야 할 일이 많은데 자꾸 이렇게 어린 아이처럼 침대에서 뒹굴면 안 돼요.	There's still a lot of work to do. You can't lie in bed all day like a kid.						0
3	说到这个，我们好像还没有小孩呢。	說到這個，我們好像還沒有小孩呢。	子供と言えば……私たちには、まだ子供がいませんね。	그러고 보니 아직 저희는 아기가 없네요.	Speaking of, I don't think we have any kids yet.						0
4	诶，为什么突然就兴奋起来了……不是，我没有暗示什么。	欸，為什麼突然就興奮起來了……不是，我沒有暗示什麼。	え？ちょっと、どうして急に興奮し始めたんですか？……私は別にそういうつもりで言ったわけじゃ……	아? 갑자기 왜 이렇게 흥분하신 거죠? 전 그런 뜻으로 말한 게 아닌데…	Hey, why are you getting excited all of the sudden... No, I wasn't trying to imply anything.						0
5	等，等一下，分析员，我是让你起床吃早餐，不是吃我……	等，等一下，分析員，我是讓你起床吃早餐，不是吃我……	ま、待ってください、分析員さん。朝ごはんを食べてって言っているんです。私を食べてほしいんじゃなくて……	잠, 잠깐만요, 분석가님, 저를 말하는 게 아니라 아침밥을 드시라고 한 건데…	W—Wait, Adjutant. I woke you to get up and eat breakfast, not eat me...						0
6	先说好了，早上还有工作要做，不能做毫无节制的事情。	先說好了，早上還有工作要做，不能做毫無節制的事情。	朝から仕事が入ってますし、無節操なことは控えてくださいね。	미리 말씀드리지만 아침에는 할 일이 많아서 이런 식으로 무절제하게 행동하면 안 돼요.	Listen up — there's still work to do in the morning. You can't just do whatever you want.						0
b-1											0
7	只是碰碰。	只是碰碰。	少し触れるだけだ。	그냥 살짝 만진 것 뿐이야.	It was just a little touch.						0
8	什么？只是碰一下……真拿你没办法。	什麼？只是碰一下……真拿你沒辦法。	少し……少しだけなら……もう、しょうがないですね。	뭐라고요? 그냥 만진거라고요? 정말이지… 구제불능이네요.	What? Just a little touch...? What am I going to do with you...						0
13	总觉得身体怪怪的……	總覺得身體怪怪的……	うう……体がおかしくなりそうです……	조금 느낌이 이상한 것 같아요…	I feel kinda weird...						0
14	啊……不可以。不是说了只碰碰吗，早上还有工作的……	啊……不行。不是說了只碰碰嗎，早上還有工作的……	あ……だめですよ。少しだけだって約束してくれたじゃないですか。仕事もありますし……	아… 안 돼요. 그냥 만지는 거라고 얘기하셨잖아요. 아침에는 할 일이 있다고요…	Ah... Stop that! Didn't you say it was just a little touch? I have work to do this morning...						0
b-2											0
