xxx_3492133469	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	夜晚，海姆达尔基地。	夜晚，海姆達爾基地。	夜のヘイムダル社員寮。	늦은 밤, 헤임달 숙소.	Night had settled over Heimdall Base.						0
2	一起看望过卜卜的“干娘”后，我便带队外出去执行任务。	一起探望卜卜的「乾娘」後，我便帶隊外出去執行任務。	ブブの「お義母さん」を訪ねたあと、私はミッションでしばらく外出していた。	보보와 함께 '양어머니'를 방문한 후, 팀원을 데리고 임무 수행에 나섰다.	After visiting Bubu's "godmother" together, I'd taken the team out on our latest mission.						0
3	直到返程前一天。	直到返程前一天。	そして帰還する前夜――端末にメッセージが届く。	임무를 완수하고 숙소로 돌아가기 전날,	And now, the day before our return...						0
4	分析员，这里有为你准备的特别惊喜哦~	分析員，這裡有為你準備的特別驚喜哦~	スペシャルなサプライズを用意したよ♪	분석가, 여기 너만을 위해 준비한 특별 서프라이즈가 있어.	Adjutant, I've prepared a special surprise for you~						0
5	我等你回来。	我等你回來。	待ってるね。	네가 돌아오기를 기다릴게.	I'll be waiting when you get back.						0
6	——你的专属小天师：卜卜	——你的專屬小天師：卜卜	――分析員専属の天師、ブブより	분석가만의 점술사: 보보	—Your personal little Geomancer, Bubu						0
7	这次卜卜又会准备什么新奇的东西呢。	這次卜卜又會準備什麼新奇的東西呢。	今度はどんな「面白いネタ」を仕込んだのだろう。	이번에는 또 어떤 신기한 걸 보여줄지 궁금하네.	What sort of surprise did she prepare for me this time...?						0
8	刚要抬手，却看见灯光从没关紧的门缝间漏出。	剛要抬起手，卻看見燈光從沒關緊的門縫裡漏出。	ノックしようとしてふと気づく。ドアが完全に閉まっていない。	막 손을 들려는데, 닫히지 않은 문틈에서 불빛이 새어 나오는 걸 보았다.	I raised my hand to knock — then paused at the faint light spilling through the door, which hadn't been fully shut.						0
9	屋里的人走来走去，门口的光也时不时闪一下。	屋裡的人走來走去，門口的光也時不時閃一下。	微かに中から明かりが漏れ、人影が動いているのがわかる。	방 안의 사람들이 걸어 다니고, 문 앞의 빛도 때때로 반짝이고 있었다.	Someone was inside. The glow shifted gently as a shadow moved behind it.						0
b-1											0
10	抬手敲门	抬手敲門	（ノックする）	손을 들어 문을 두드린다	Knock						0
11	不一会儿，屋里人影渐停，只剩窸窸窣窣的动静。	沒過一下子，屋裡人影漸停，只剩窸窸窣窣的動靜。	中で動く人影が止まり、しばらく何かごそごそ音がする。	잠시 후, 집 안에 사람의 그림자가 점차 멈추고 바스락거리는 소리만 남았다.	Inside, movement slowed — only the faint rustle of fabric remained.						0
12	悄悄推门	悄悄推門	（そっとドアを開ける）	살며시 문을 민다	Quietly push the door open						0
13	把门推开一点，娇小的身影正背对房门摆弄着什么。	把門推開一點，嬌小的身影正背對房門不知道在忙什麼。	そっと扉を開けてのぞき見ると、小柄な背中が何か作業をしている。	문을 열자, 아담한 그림자가 방문을 등진 채 무언가를 만지작거리고 있었다.	I nudged the door open just a crack and caught a glimpse of a petite figure, her back to me, adjusting something.						0
14	我轻轻把门关上，几分钟后，敲响。	我輕輕把門關上，幾分鐘後，敲響。	いったん扉を閉め、数分待ってから改めてノック。	난 문을 살짝 닫았다가, 몇 분 뒤 노크했다.	Quietly, I shut it again. A few minutes later, I knocked once more.						0
15	我回来了。	我回來了。	ただいま。	나 왔어.	I'm back.						0
16	playername，好久不见。	playername，好久不見。	playername、久しぶり♪	오랜만이야, playername.	playername... it's been a while.						0
17	欢迎回家。	歡迎回家。	おかえりなさい。	어서 와.	Welcome home.						0
18	灯笼散发暧昧光线，刚好让人看清房间中央站着的少女。	燈籠散發曖昧光線，剛好讓人看清房間中央站著的少女。	薄暗いランタンの灯りで、部屋の中央にブブが立っていた。	방 한가운데 서 있는 소녀의 모습이 잘 보이도록 조명이 섬세한 빛을 뿜어낸다.	A lantern cast its soft, hazy glow, just enough to illuminate the girl standing in the middle of the room.						0
19	玲珑的身体，被系着铃铛的红线层层缠覆。	玲瓏的身體，被繫著鈴鐺的紅線層層纏繞。	細い体は赤い紐で覆われ…	영롱한 자태는 방울이 달려 있는 붉은 실로 겹겹이 휘감겨 있었다.	Her slender frame was wrapped in crimson threads, each strand adorned with tiny, gleaming bells.						0
20	铃铛错落，红线凌乱。	鈴鐺錯亂，紅線凌亂。	ところどころ、鈴が結びついている。	방울이 흐트러지고, 붉은 실이 헝클어졌다.	The cords tangled and crossed, the bells scattered in delicate clusters.						0
21	越是这样，越衬得肤如凝脂，剔透无瑕。	越是這樣，越襯得膚如凝脂，剔透無瑕。	その姿は、かえって透き通るような肌を際立たせていた。	그럴수록 피부가 더욱 희고 매끄럽고 투명해 보였다.	All of which served only to highlight the purity and grace of her porcelain skin.						0
22	分析员……	分析員……	分析員…	분석가…	Adjutant...						0
23	一呼一吸，少女的胸脯起伏，胸口的铃铛将落未落，轻颤了几下。	一呼一吸，少女的胸脯起伏，胸口的鈴鐺將落未落，輕顫了幾下。	小さな呼吸ごとに、胸の鈴がかすかに揺れる。	숨을 내쉬면서 소녀의 가슴은 들썩였고, 가슴의 방울은 가볍게 몇 번 흔들렸다.	With each subtle breath, her chest rose and fell. A bell near her collarbone quivered, threatening to slip loose.						0
24	她向我伸出手，皓腕轻摆，清脆铃声摇曳，	她向我伸出手，皓腕輕擺，清脆鈴聲搖曳。	ブブは手首をかすかに振り、澄んだ音色がシャリンと。	그녀가 내게 손을 내밀자, 하얀 손목에 묶인 방울도 소리를 냈다.	She extended a hand toward me, a gentle flick of her wrist sending a crystal-clear jingle dancing through the air.						0
25	这是我为playername，精心准备的仪式哦。	這是我為playername，精心準備的儀式哦。	これはね、playernameのために考えた儀式だよ。	이건 내가 playername을(를) 위해 정성스레 준비한 의식이야.	This is a ritual I prepared... just for you, playername.						0
26	纯挚的愿望……	純摯的願望……	純粋な思い――	순수하고 간절한 바람…	An earnest wish...						0
27	成为你最骄傲的队员……	成為你最驕傲的隊員……	「いちばん誇れる隊員になりたい」	분석가가 가장 자랑스러워하는 팀원이 되는 것…	To become your best operative and make you proud.						0
28	并肩在树下，对神明，也是对自己的祈愿……	並肩在樹下，對神明，也是對自己的祈願……	「あの木の下で神様にも誓った、一緒に歩む願い」	나무 밑에 나란히 기대어, 신에게, 그리고 나 자신에게 하는 기도…	To stand beneath the tree beside you, offering prayers — to the gods... and to myself.						0
b-2											0
29	握住她的手	握住她的手	彼女の手を取る	그녀의 손을 잡는다	Take her hand						0
30	我上前一步，握住她的手，稍一用力，将被红线缠覆的少女拉进怀里。	我往前一步，握住她的手，稍微用力，將被紅線纏覆的少女拉進懷裡。	私は近づき、赤い紐まみれのブブの手を取り、ぐっと引き寄せる。	나는 한 걸음 더 나아가 그녀의 손을 잡고, 힘을 조금 주어 빨간 실로 얽힌 소녀를 품으로 끌어당겼다.	I stepped forward and took her hand, drawing her gently into my arms...						0
31	也将这份纯净与美好纳入怀中紧抱住。	也將這份純淨與美好納入懷中緊緊抱住。	その純粋さを、腕の中に納める。	그리고 그 순수함과 아름다움을 함께 끌어안았다.	Along with all her purity, beauty, and warmth.						0
32	唔！	嗯~！	んっ…！	앗!	Ah...!						0
33	丝线牵动，铃铛声一阵乱响。	絲線牽動，鈴鐺聲一陣亂響。	糸が引かれ、鈴がいくつもしゃらしゃら音を立てる。	실이 당겨지고, 방울 소리가 요란하게 울렸다.	The silk threads shifted. The bells chimed in soft flutters, like windchimes stirred by a gentle breeze in a quiet shrine.						0
34	卜卜说的惊喜，是这样的吗？	卜卜說的驚喜，是這樣的嗎？	ブブが言っていたサプライズって、これだったのか。	보보가 말한 서프라이즈가 이런 거야?	So this is the surprise you had for me, Bubu?						0
35	嗯，这是我为playername精心准备的仪式！	嗯，這是我為playername精心準備的儀式！	これはね、playernameのために考えた儀式だよ。	맞아, 이건 내가 playername을(를) 위해 정성스럽게 준비한 의식이야.	Mhm... a ritual I prepared just for you, playername!						0
36	也是我第一次，为一个人，准备这些，还有这样的……自己。	也是我第一次，為一個人，準備這些，還有這樣的……自己。	誰かのために儀式を準備したのも、自分自身をこんなふうに捧げるのも、初めて…	누군가를 위해 이런 걸 준비하는 건 처음이고, 이런 내 모습도… 처음 보여주는 거야.	It's the first time I've ever done anything like this... for anyone. And the first time I've ever... shown this side of myself.						0
37	埋在怀抱里的卜卜扬起脸，手臂不安分地动了几下，随后紧紧抱住我的腰。	埋在懷抱裡的卜卜揚起臉，手臂不安分地動了幾下，隨後緊緊抱住我的腰。	胸元に埋もれていたブブはそっと顔を上げ、落ち着きなく腕を動かして、ぎゅっと私の腰を抱き締める。	품에 안긴 보보는 얼굴을 들고 팔을 몇 번 움직인 후, 내 허리를 꼭 껴안았다.	She looked up from within my embrace, fingers fidgeting briefly before wrapping firmly around my waist.						0
38	嘿，抓到分析员了！	嘿，抓到分析員了！	へへ、捕まえた！	헤헷, 잡았다, 분석가.	Hehe... got you, Adjutant.						0
39	不知什么时候，卜卜悄悄将几根红线缠绕在我的手臂上。	不知道什麼時候，卜卜悄悄將幾條紅線纏繞在我的手臂上。	いつの間にか、私の腕にも数本の赤い紐をくるくる巻いている。	보보는 어느새 붉은 실 몇 가닥을 조용히 내 팔에 감았다.	At some point, she'd quietly looped several red threads around my arm.						0
40	一向大大咧咧的少女，这次很仔细地在我手臂上绑了个松紧适中的结。	一向大大咧咧的少女，這次很仔細地在我手臂上綁了個鬆緊適中的結。	普段ガサツに見える彼女が、今回は結び目まで丁寧に配慮してあり、痛くない程度にしっかり結ばれている。	늘 털털하던 소녀가 이번에는 내 팔에 적당하게 느슨한 매듭을 묶었다.	For once, the girl who usually hurried through everything tied the knot with unexpected care — not too loose, not too tight.						0
41	既不会影响我的动作，又实实在在地同我联结在了一起。	既不會影響我的動作，又實實在在地與我連結在了一起。	私が動きやすいように余裕はあるが、しっかり結ばれて離れない。	내 움직임에 영향을 주지 않으면서도 나와 연결될 수 있게 말이다.	It didn't restrict my movements — yet it still bound us, unmistakably.						0
42	反倒是她自己因为动来动去，身上的丝线更加理不清楚。	反倒是她自己因為動來動去，身上的絲線更理不清了。	でもその動作で、ブブ自身の紐もさらに絡まってしまったようだが。	오히려 그녀가 움직이느라 몸에 감긴 실이 더욱 엉켜버렸다.	As for her... she ended up even more tangled than before, soft, winding patterns of red thread clinging to her limbs.						0
43	这样，我和分析员就永远分不开啦。	這樣，我和分析員就永遠分不開啦。	これでずーっと離れないよ。	이렇게 하면 이제 나와 분석가는 영원히 떨어질 수 없어.	Now we'll never be apart.						0
44	我哑然失笑，卜卜也目光灼灼地看着我。	我啞然失笑，卜卜也目光灼灼地看著我。	思わず笑いがこみ上げると、ブブもまっすぐこっちを見返す。	그 말에 나는 피식 웃었고, 보보는 이글거리는 눈빛으로 날 바라보았다.	I let out a soft chuckle. She looked up at me, eyes alight with an affection too deep to hide.						0
45	尽管早已心意互通，但此刻我俩身上真实存在的红线，让这份亲密有了实感。	儘管早已心意相通，但此刻我們身上真實存在的紅線，讓這份親密有了真實感。	既に気持ちは通じ合っているけれど、こうして実際に体が結びつくと、絆をいっそう感じる。	비록 마음은 이미 통했지만, 지금 이 순간 우리 둘에게 실제로 존재하는 붉은 실이 그 친밀감을 실감하게 해주었다.	Our hearts had long found each other — but now, bound by these real, crimson threads, the closeness felt undeniable.						0
46	卜卜。	卜卜。	ブブ。	보보.	Bubu.						0
47	嗯？	嗯？	なに？	응?	Hmm?						0
b-3											0
48	触摸她发际的红线。	觸摸她髮際的紅線。	彼女の髪飾りに通した赤い紐をそっと指でなぞる。	그녀의 머리칼의 붉은 실을 만진다.	Brush the red thread near her forehead						0
49	我觉得，这个仪式……	我覺得，這個儀式……	なあ、この儀式って…	내 생각에 이 의식 말이야…	About this ritual...						0
50	少女屏住呼吸，又期待又紧张。	少女摒住呼吸，又期待又緊張。	ブブは息を詰め、期待と緊張に胸を震わせている。	소녀는 숨을 죽인 채, 기대하면서도 잔뜩 긴장했다.	She held her breath, caught in the flutter between nerves and hope.						0
b-4											0
51	亲吻她	親吻她	（キスを交わす）	그녀에게 키스한다	Kiss her						0
52	该不会我的小天师大人把哪个步骤弄错了吧？	該不會我的小天師大人把哪個步驟搞錯了吧？	もしかして手順を間違えていないか？	설마 우리 점술사님의 의식 절차에 문제가 생긴 건 아니겠지?	You sure you didn't mess something up, my little Geomancer?						0
53	不然怎么红线在我们身上似乎越缠越紧了？	不然怎麼紅線在我們身上好像越纏越緊了？	紐がどんどんきつくなっているけど。	붉은 실이 우리 사이로 점점 더 조여드는 것 같은데?	Because these threads... seem to be tying us tighter and tighter.						0
54	啊？我……	啊？我……	えっ？い、いや…その…	어? 그게…	Ah... I... um...						0
