xxx_1929177499	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	……从耶洛沙再次返回世界树后没几天，猫汐尔就完成了绘本的文字部分。	……從耶洛沙再次返回世界樹後沒幾天，貓汐爾就完成了繪本的文字部分。	……イェロシャからユグドラシル社へ戻って数日後、マーシルは絵本の本文を書き上げた。	… 옐로샤에서 위그드라실로 돌아오고 며칠 뒤, 캣 시에라는 그림책의 글을 완성했다.	A few days after returning to Yggdrasil from Yehrus, Mauxir finally finished writing the story for her picture book.						0
2	不过，距离正式发布还需要一些时间。	不過，距離正式發布還需要一些時間。	ただ、正式に公開するまでには、もう少し時間がかかる。	하지만, 정식 출간까지는 아직 시간이 더 필요할 것이다.	Still, it would be a while before it could be published.						0
3	毕竟，一本真正的绘本可不能缺少“插图”。	畢竟，一本真正的繪本可不能缺少「插畫」。	絵本には「絵」が欠かせないからだ。	어쨌든 그림책이라면 '삽화'를 빼놓을 수 없으니까.	After all, a real picture book couldn't go without illustrations.						0
4	我曾提议，可以请部队里擅长绘画的人来帮忙完成配图，但猫汐尔很坚决地摇了摇头。	我曾提議，可以請部隊裡擅長繪畫的人來幫忙完成配圖，但貓汐爾很堅決地搖了搖頭。	部隊の中で絵の得意な者に挿絵を頼もうと提案したが、マーシルは首を横に振った。	나는 부대에서 그림을 잘 그리는 사람에게 삽화 작업을 부탁하자고 제안했지만, 캣 시에라는 단호하게 고개를 저었다.	I once suggested asking someone in the team who was good at drawing to help with the artwork, but Mauxir shook her head without hesitation.						0
5	嗯……虽然知道分析员和米娅也是好意喵……	嗯……雖然知道分析員和米婭也是好意喵……	ううん……分析員とミアが私のために言ってくれてるのはわかってるニャン……	음… 분석가와 미아의 호의는 알지만…	Mm... I know you and Mia mean well, nya...						0
6	但这是我和分析员之间的故事，我想亲手把它画完。	但這是我和分析員之間的故事，我想親手把它畫完。	でもこれは、私と分析員の物語ニャン。自分で最後まで描きたいニャン。	하지만 이건 나와 분석가의 이야기니까, 내가 직접 완성하고 싶다.	But this is a story between you and me. I want to draw it myself.						0
7	就算是从来没学过的绘画，我也愿意从头开始学起喵~	就算是從來沒學過的繪畫，我也願意從頭開始學起喵~	絵を描いたことはないけど、いちから勉強するニャン。	그림을 배워본 적은 없지만, 배워서라도 직접 그리고 싶어~	Even if I've never learned to draw before... I'll start from scratch, nya.						0
8	少女如此回答道。	少女如此回答道。	少女はそう答えた。	소녀가 대답했다.	That was her answer.						0
9	……	……	……	……	...						0
10	一路走来。	一路走來。	ここまでの道のりで。	여기까지 오는 동안.	All this time...						0
