xxx_3039299800	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	猫猫温情提示：	貓貓溫情提示：	ネコちゃんより：	냥이의 알림 사항:	Friendly Reminder From Mauxir:						0
2	为了获得更好的体验，游玩该个人故事前，推荐分析员优先观看《镜中烬火》剧情。	為了獲得更好的體驗，遊玩該個人故事前，推薦分析員優先觀看《鏡中燼火》劇情。	このエピソードを始める前に、まず『鏡の焔』のストーリーを読んでほしいニャン。	더 나은 체험을 위해 해당 개인 스토리를 즐기기 전에 먼저 '거울 속 불씨' 스토리를 시청할 것을 추천해 드립니다.	For an optimal experience, you are encouraged to complete the "Reflection of Valor" main story before playing this Personal File.						0
3	很久很久以前，森林中有一座小小的木屋，外面爬满了翠绿的藤蔓。	很久很久以前，森林中有一座小小的木屋，外面爬滿了翠綠的藤蔓。	むかしむかし、森の中に木の小屋があり、外側は鮮やかな緑のツタで覆われていた。	아주 오래전, 숲속에는 초록색 덩굴로 가득 뒤덮인 작은 오두막이 있었다.	Once upon a time, deep in the forest stood a wooden cottage, its walls covered in lush green vines.						0
4	里面，生活着两只总是依偎在一起，暖呼呼的小猫。	裡面，生活著兩隻總是依偎在一起，暖呼呼的小貓。	その中には、いつも寄り添って暮らす、ぽかぽかと温かい二匹の子ネコがいた。	그 안에는 서로 의지하며 다정하게 지내는 작은 고양이 두 마리가 살고 있었다.	Inside lived two little cats who were always curled up together, snug and purring.						0
5	一只，是有着灰色毛发，脸蛋酷酷的，但是爪子却很温暖的小灰猫。	一隻，是有著灰色毛髮，臉蛋酷酷的，但是爪子卻很溫暖的小灰貓。	一匹は灰色の毛並みで、顔つきはクールだが、手がとても温かい子ネコ。	한 마리는 표정은 차갑지만 발바닥만큼은 따뜻한 작은 회색 고양이였다.	One was gray, with cool features, but the warmest paws you could ever imagine.						0
6	另一只，则是被月亮施与了魔法与灵魂，浑身软乎乎的玩偶猫。	另一隻，則是被月亮施與了魔法與靈魂，渾身軟乎乎的玩偶貓。	もう一匹は、月の魔法と魂を授けられた、全身がふわふわのぬいぐるみネコだった。	다른 한 마리는 달에게서 마법과 영혼을 받아 온몸이 보드라운 인형 고양이였다.	The other was a soft, plush doll cat, given magic and a soul by the moon itself.						0
7	过去因为没有痛觉，玩偶猫总是一只猫跑去各种危险的地方玩耍。	過去因為沒有痛覺，玩偶貓總是一隻貓跑去各種危險的地方玩耍。	痛みを感じないせいで、かつてぬいぐるみネコはいつもひとりで危険な場所へ遊びに行っていた。	과거에는 통증을 느끼지 못했기에, 인형 고양이는 혼자서 온갖 위험한 곳에 가서 놀곤 했다.	But lacking any sense of pain, the doll cat would often run off alone to play in all sorts of dangerous places.						0
8	从高高的房檐跳下，穿过尖尖的碎玻璃……	從高高的屋簷跳下，穿過尖尖的碎玻璃……	高い軒先から飛び降りたり、鋭く割れたガラスを通り抜けたり……	높은 처마에서 뛰어내리고, 날카로운 유리 파편 사이를 지나다니고…	Jumping from high rooftops, dashing through sharp broken glass...						0
9	她不懂得害怕，也因此一直没有伙伴。	她不懂得害怕，也因此一直沒有夥伴。	彼女は怖さを知らず、そのせいでずっと仲間もいなかった。	두려움을 몰랐기에 친구도 없었다.	Her reckless nature tended to make other cats keep their distance.						0
10	直到，小灰猫的出现改变了一切。	直到，小灰貓的出現改變了一切。	そんな彼女の全てを変えたのは、灰色の子ネコだった。	그러다 등장한 작은 회색 고양이가 모든 것을 바꿔놓았다.	Until that gray cat appeared.						0
11	他总是守着她，当遇到危险时，就会用那只暖烘烘的爪子搂住她。	他總是守著她，當遇到危險時，就會用那隻暖烘烘的爪子摟住她。	彼はいつもそばで見守り、危険が迫ればその温かい手で抱き寄せてくれる。	그는 항상 그녀를 지켜주었고, 위험할 때면 언제나 따뜻한 발로 그녀를 감싸안았다.	He was always by her side. When danger was near, he would wrap her up with those warm paws of his.						0
12	“会受伤的！”	「會受傷的！」	「ケガしちゃうよ！」	"그러다 다쳐!"	"You'll get hurt!"						0
13	每到这时，玩偶猫就会眨巴眨巴那对纽扣眼睛。	每到這時，玩偶貓就會眨眨那對像鈕釦的眼睛。	ぬいぐるみネコはボタンの目をぱちぱちと瞬かせる。	그럴 때마다 인형 고양이는 단추 눈을 깜빡거렸다.	Every time the doll cat heard this, she would just blink her round eyes.						0
14	虽然她不懂得什么叫作“受伤”，但是她的心还是渐渐感受到了温暖。	雖然她不懂得什麼叫作「受傷」，但是她的心還是漸漸感受到了溫暖。	彼女は「ケガ」というものが何なのか理解していなかったが、心の奥では温もりを感じ始めていた。	 '다친다'는 게 무엇인지는 이해할 수 없었지만, 그녀의 마음은 점점 따뜻함을 느끼기 시작했다.	Though she didn't understand what "hurt" felt like, she did feel warmth creeping over her.						0
15	而在一场席卷木屋的深夜大火中，正是小灰猫毅然背起她，冲破烈焰。	而在一場席捲木屋的深夜大火中，正是小灰貓毅然背起她，衝破烈焰。	ある深夜、木の小屋をのみ込む火災の中、灰色の子ネコは彼女を背負い、炎を突き破って駆け抜けた。	그리고 어느 깊은 밤 오두막을 집어삼킨 화재에서, 작은 회색 고양이는 주저 없이 그녀를 업고 불길을 뚫고 나왔다.	One night, the wooden cottage caught fire. The gray cat carried her on his back and broke through the flames without hesitation.						0
16	自此，两只小猫便成了一对相亲相爱的猫猫伴侣。	自此，兩隻小貓便成了一對相親相愛的貓貓伴侶。	それ以来、二匹は仲良しになった。	그때부터 그 두 마리의 고양이는 서로 사랑하는 연인이 되었다.	From that moment on, the two cats became inseparably in love.						0
17	在小灰猫的陪伴下，玩偶猫渐渐驱散了孤独。	在小灰貓的陪伴下，玩偶貓漸漸驅散了孤獨。	灰色の子ネコと一緒に過ごすうち、ぬいぐるみネコは少しずつ孤独を追い払っていった。	작은 회색 고양이 곁에서 인형 고양이는 점차 외로움을 떨쳐냈다.	With the gray cat beside her, the doll cat gradually drove away her loneliness.						0
18	虽然玩偶猫依旧不知晓疼痛为何物，但在小灰猫的注目下，她也学会了轻轻走路。	雖然玩偶貓依舊不知道疼痛是什麼，但在小灰貓的注目下，她也學會了輕輕走路。	ぬいぐるみネコは今も痛みを知らなかったが、彼に見守られながら、そっと歩くことを覚えた。	인형 고양이는 여전히 아픔을 몰랐지만, 작은 회색 고양이의 보살핌 아래 살금살금 걷는 법을 배웠다.	She still didn't understand pain — but under his watchful gaze, she began to tread more carefully.						0
19	尽管她的皮肤无法感知疼痛，但至少，能清晰地感知到从小灰猫身上传来的暖意。	儘管她的皮膚無法感知疼痛，但至少，能清晰地感知到從小灰貓身上傳來的暖意。	たとえ皮膚に痛みを感じなくても、灰色の子ネコから伝わる温もりははっきりとわかった。	비록 그녀의 피부는 고통을 느낄 수 없었지만, 적어도 작은 회색 고양이에게서 전해지는 따뜻함만큼은 선명하게 느낄 수 있었다.	She couldn't feel pain, but at least she could clearly feel the warmth radiating from him.						0
20	她不想再因为自己的缘故，让小灰猫的那双眼睛里再浮现出任何担忧了。	她不想再因為自己的緣故，讓小灰貓的那雙眼中再浮現出任何擔憂了。	もう自分のせいで、彼の瞳にあの心配の色を浮かばせたくなかった。	그녀는 더 이상 자신 때문에 작은 회색 고양이의 눈에 걱정이 자리 잡는 것을 보고 싶지 않았다.	And she didn't want that worried look to ever appear in his eyes again because of her.						0
21	而也正因如此……	而也正因如此……	だからこそ……	그리고 바로 그 때문에…	For that reason...						0
22	在一个月圆的晚上。	在一個月圓的晚上。	ある満月の夜。	보름달이 뜬 어느 날 밤.	On the night of a full moon.						0
23	玩偶猫悄悄爬上屋顶。	玩偶貓悄悄爬上屋頂。	ぬいぐるみネコはそっと屋根に登り、	인형 고양이는 조용히 지붕 위로 올라갔다.	The doll cat quietly climbed onto the roof.						0
